,Unnamed: 0,first-author,first-author-affiliation,last-author,last-author-affiliation,title
159,159,Felix Leibfried,PROWLER.io,Jordi Grau-Moya,PROWLER.io,A Unified Bellman Optimality Principle Combining Reward Maximization and Empowerment.
160,160,Shaofeng Zou,"University at Buffalo, the State University of New York",Yingbin Liang,The Ohio State University,Finite-Sample Analysis for SARSA with Linear Function Approximation.
161,161,Falcon Dai,TTI-Chicago,Matthew Walter,TTI-Chicago,Maximum Expected Hitting Cost of a Markov Decision Process and Informativeness of Rewards.
162,162,Max Simchowitz,Berkeley,Kevin Jamieson,U Washington,Non-Asymptotic Gap-Dependent Regret Bounds for Tabular MDPs.
163,163,Wang Chi Cheung,"Department of Industrial Systems Engineering and Management, National University of Singapore",Wang Chi Cheung,"Department of Industrial Systems Engineering and Management, National University of Singapore",Regret Minimization for Reinforcement Learning with Vectorial Feedback and Complex Objectives.
164,164,Hao(Jackson) Cui,Google,Roni Khardon,"Indiana University, Bloomington",Sampling Networks and Aggregate Simulation for Online POMDP Planning.
165,165,Tengyu Xu,The Ohio State University,Yingbin Liang,The Ohio State University,Two Time-scale Off-Policy TD Learning: Non-asymptotic Analysis over Markovian Samples.
166,166,Amir-massoud Farahmand,Vector Institute and University of Toronto,Amir-massoud Farahmand,Vector Institute and University of Toronto,Value Function in Frequency Domain and the Characteristic Value Iteration Algorithm.
167,167,Himanshu Sahni,Georgia Institute of Technology,Ilya Kuzovkin,OffWorld,Addressing Sample Complexity in Visual Tasks Using HER and Hallucinatory GANs.
168,168,Peter Anderson,Georgia Tech,Stefan Lee,Oregon State University,Chasing Ghosts: Instruction Following as Bayesian State Tracking.
169,169,Boaz Barak,Harvard University,Yueqi Sheng,Harvard University ,(Nearly) Efficient Algorithms for the Graph Matching Problem on Correlated Random Graphs.
170,170,Eduard Eiben,"Royal Holloway, University of London",Stefan Szeider,Vienna University of Technology,The Parameterized Complexity of Cascading Portfolio Scheduling.
171,171,Jinjin Tian,Carnegie Mellon University,Aaditya Ramdas,Carnegie Mellon University,ADDIS: an adaptive discarding algorithm for online FDR control with conservative nulls.
172,172,Ryan Tibshirani,Carnegie Mellon University,Aaditya Ramdas,CMU,Conformal Prediction Under Covariate Shift.
173,173,Ryoma Sato,Kyoto University,Hisashi Kashima,Kyoto University/RIKEN Center for AIP,Approximation Ratios of Graph Neural Networks for Combinatorial Problems.
174,174,Boris Hanin,Texas A&M,David Rolnick,UPenn,Deep ReLU Networks Have Surprisingly Few Activation Patterns.
175,175,Minshuo Chen,Georgia Tech,Tuo Zhao,Georgia Tech,Efficient Approximation of Deep ReLU Networks for Functions on Low Dimensional Manifolds.
176,176,Shirin Jalali,Nokia Bell Labs,Iraj Saniee,Nokia Bell Labs,Efficient Deep Approximation of GMMs.
177,177,Nicolas Keriven,Ecole Normale Supérieure,Gabriel Peyré,CNRS and ENS,Universal Invariant and Equivariant Graph Neural Networks.
178,178,Fengxiang He,The University of Sydney,Dacheng Tao,University of Sydney,Control Batch Size and Learning Rate to Generalize Well: Theoretical and Empirical Evidence.
