,Unnamed: 0,first-author,,first-author-affiliation,last-author,,last-author-affiliation,title
239,239,Kacper P Chwialkowski,Male,University College London,Arthur Gretton,Male,"Gatsby Unit, UCL",A Wild Bootstrap for Degenerate Kernel Tests.
240,240,Tofigh Naghibi Mohamadpoor,Male,Zalando,Beat Pfister,Male,ETH Zurich,A Boosting Framework on Grounds of Online Learning.
241,241,De Wen Soh,Male,Yale University,Sekhar C Tatikonda,Male,Yale University,Testing Unfaithful Gaussian Graphical Models.
242,242,Xiaojian Wu,Male,University of Massachusetts Amherst,Shlomo Zilberstein,Male,Univ of Mass,Stochastic Network Design in Bidirected Trees.
243,243,Yining Wang,Male,Carnegie Mellon University,Jun Zhu,Male,Tsinghua University,Spectral Methods for Supervised Topic Models.
244,244,Hsiao-Yu Tung,Male,Carnegie Mellon University,Alex Smola,Male,Amazon - We are hiring!,Spectral Methods for Indian Buffet Process Inference.
245,245,Mingjun Zhong,Male,University of Edinburgh,Charles Sutton,Male,Google,"Signal Aggregate Constraints in Additive Factorial HMMs, with Application to Energy Disaggregation."
246,246,Li Xu,Male,Lenovo IVCL,Jiaya Jia,Male,CUHK,Deep Convolutional Neural Network for Image Deconvolution.
247,247,Jiashi Feng,Male,UC Berkeley,Shuicheng Yan,Male,National University of Singapore,Robust Logistic Regression and Classification.
248,248,Marthinus C du Plessis,Male,Tokyo Institute of Technology,Masashi Sugiyama,Male,RIKEN / University of Tokyo,Analysis of Learning from Positive and Unlabeled Data.
249,249,Vitaly Kuznetsov,Male,HRT,Umar Syed,Male,Google Research,Multi-Class Deep Boosting.
250,250,Mohammad Taha Bahadori,Male,U of Southern California,Yan Liu,Male,University of Southern California,Fast Multivariate Spatio-temporal Analysis via Low Rank Tensor Learning.
251,251,Prateek Jain,Male,Microsoft Research,Sewoong Oh,Male,UIUC,Provable Tensor Factorization with Missing Data.
252,252,Deepti Pachauri,Male,3M,Vikas Singh,Male,UW-Madison,Permutation Diffusion Maps (PDM) with Application to the Image Association Problem in Computer Vision.
253,253,Xinghao Pan,Male,UC Berkeley,Michael Jordan,Male,UC Berkeley,Parallel Double Greedy Submodular Maximization.
254,254,David Woodruff,Male,IBM Research,David Woodruff,Male,IBM Research,Low Rank Approximation Lower Bounds in Row-Update Streams.
255,255,Thang Bui,Male,University of Sydney,Richard Turner,Male,University of Cambridge,Tree-structured Gaussian Process Approximations.
256,256,Yann N Dauphin,Male,Facebook AI Research,Yoshua Bengio,Male,University of Montreal,Identifying and attacking the saddle point problem in high-dimensional non-convex optimization.
257,257,Adams Wei Yu,Male,Carnegie Mellon University,Suvrit Sra,Male,MIT,Efficient Structured Matrix Rank Minimization.
258,258,Josip Djolonga,Male,"Google Research, Brain Team",Andreas Krause,Male,ETH Zurich,From MAP to Marginals: Variational Inference in Bayesian Submodular Models.
