,first-author-affiliation,last-author-affiliation,title
0," Machine Learning Lab, Kohli Center on Intelligent Systems, International Institute of Information Technology - Hyderabad, India"," Machine Learning Lab, Kohli Center on Intelligent Systems, International Institute of Information Technology - Hyderabad, India",Improving surveillance using cooperative target observation
1," Indian Institute of Science, Bangalore"," Indian Institute of Science, Bangalore",Query complexity of tournament solutions
2," School of Computing and Digital Futures Institute, Teesside University, UK"," MLG, Département d'Informatique, Université Libre de Bruxelles, Belgium and AI lab, Computer Science Department, Vrije Universiteit Brussel, Belgium",Centralized versus personalized commitments and their influence on cooperation in group interactions
3," Department of Computer Science, North Carolina State University, Raleigh, NC"," Department of Computer Science, North Carolina State University, Raleigh, NC",KONT: computing tradeoffs in normative multiagent systems
4," Department of Computing, Imperial College London, UK"," Department of Computing, Imperial College London, UK",Parameterised verification of infinite state multi-agent systems via predicate abstraction
5," School of Information Systems, Singapore Management University"," School of Information Systems, Singapore Management University",Decentralized planning in stochastic environments with submodular rewards
6," Institut für Informatik, Heinrich-Heine-Universität Düsseldorf, Düsseldorf, Germany"," Institut für Informatik, Heinrich-Heine-Universität Düsseldorf, Düsseldorf, Germany",Solving seven open problems of offline and online control in borda elections
7," School of Information Systems, Singapore Management University"," School of Information Systems, Singapore Management University",Collective multiagent sequential decision making under uncertainty
8," School of Computer Science, College of Management, Rishon LeZion, Israel"," School of Computer Science, College of Management, Rishon LeZion, Israel",Nurturing group-beneficial information-gathering behaviors through above-threshold criteria setting
