,Unnamed: 0,first-author,first-author-affiliation,last-author,last-author-affiliation,title
0,0,Shiva Kasiviswanathan,Amazon,Prem Melville,IBM Watson Research,Online L1-Dictionary Learning with Application to Novel Document Detection.
1,1,Zhirong Yang,Aalto University,Erkki Oja,Aalto University,Clustering by Nonnegative Matrix Factorization Using Graph Random Walk.
2,2,Yacov Crammer,Technion,Yishay Mansour,Tel-Aviv University,Learning Multiple Tasks using Shared Hypotheses.
3,3,Nisheeth Srivastava,University of California San Diego,Paul R Schrater,University of Minnesota,Rational inference of relative preferences.
4,4,Maksims Volkovs,University of Toronto,Richard Zemel,Vector Institute/University of Toronto,Efficient Sampling for Bipartite Matching Problems.
5,5,Yu Zhou,Huazhong University of Science and Technology,Longin Jan J Latecki,Temple University,Fusion with Diffusion for Robust Visual Tracking.
6,6,Jiarong Jiang,Two Sigma Investments LP,Jason Eisner,Johns Hopkins + Microsoft,Learned Prioritization for Trading Off Accuracy and Speed.
7,7,Zahra Zamani,ANU and NICTA,Kristian Kersting,University of Bonn and Fraunhofer IAIS,Symbolic Dynamic Programming for Continuous State and Observation POMDPs.
8,8,Richard G Gibson,University of Alberta,Duane Szafron,University of Alberta,Efficient Monte Carlo Counterfactual Regret Minimization in Games with Many Player Actions.
9,9,Kevin Swersky,Google,Ryan Adams,Princeton University,Cardinality Restricted Boltzmann Machines.
10,10,Simon Lyons,University of Edinburgh,Simo Sarkka,Aalto University,The Coloured Noise Expansion and Parameter Estimation of Diffusion Processes.
11,11,Katherine Chen,University of Alberta,Michael Bowling,DeepMind / University of Alberta,Tractable Objectives for Robust Policy Optimization.
12,12,Dan Ciresan,IDSIA,Jürgen Schmidhuber,"Swiss AI Lab, IDSIA (USI & SUPSI) - NNAISENSE",Deep Neural Networks Segment Neuronal Membranes in Electron Microscopy Images.
13,13,Uri M Maoz,Caltech,Christof Koch,Allen Institute for Brain Science,A System for Predicting Action Content On-Line and in Real Time before Action Onset in Humans – an Intracranial Study.
14,14,Won Hwa Kim,University of Wisconsin,Vikas Singh,UW-Madison,Wavelet based multi-scale shape features on arbitrary surfaces for cortical thickness discrimination.
15,15,Falk Lieder,UC Berkeley,Noah Goodman,Stanford University,"Burn-in, bias, and the rationality of anchoring."
16,16,Nan Li,Temple University,Longin Jan J Latecki,Temple University,Clustering Aggregation as Maximum-Weight Independent Set.
17,17,Jacquelyn A Shelton,TU Berlin,Jörg Lücke,TU Berlin,Why MCA? Nonlinear Spike-and-slab Sparse Coding for Neurally Plausible Image Encoding.
18,18,Chris Hinrichs,UW-Madison,Sterling C Johnson,UW-Madison,Q-MKL: Matrix-induced Regularization in Multi-Kernel Learning with Applications to Neuroimaging.
