,year,first-author,first-author-affiliation,last-author,last-author-affiliation,journal/conference,title,number-of-authors,paper-url,DBLP-url
0,2011,Noa Agmon,"Bar-Ilan University, Computer Science Department, Ramat Gan, Israel",Peter Stone,"University of Texas at Austin, USA",AAAI,Multiagent Patrol Generalized to Complex Environmental Conditions.,3,http://www.aaai.org/ocs/index.php/AAAI/AAAI11/paper/view/3564,https://dblp.org/rec/conf/aaai/AgmonUS11
1,2011,Ozgur Akgun,nan,Brahim Hnich,nan,AAAI,Extensible Automated Constraint Modelling.,5,http://www.aaai.org/ocs/index.php/AAAI/AAAI11/paper/view/3687,https://dblp.org/rec/conf/aaai/AkgunMJFH11
2,2011,Baris Akgün,Bariş Akgün,Andrea Lockerd Thomaz,"University of Texas at Austin, Deaprtment of Electrical and Computer Engineering, TX, USA",AAAI,Learning Tasks and Skills Together From a Human Teacher.,4,http://www.aaai.org/ocs/index.php/AAAI/AAAI11/paper/view/3553,https://dblp.org/rec/conf/aaai/AkgunSST11
3,2011,Saleema Amershi,nan,Desney S. Tan,Microsoft Research,AAAI,Effective End-User Interaction with Machine Learning.,4,http://www.aaai.org/ocs/index.php/AAAI/AAAI11/paper/view/3736,https://dblp.org/rec/conf/aaai/AmershiFKT11
4,2011,Bo An 0001,"Nanyang Technological University, Singapore",Christopher Kiekintveld,"University of Texas at El Paso, USA",AAAI,Refinement of Strong Stackelberg Equilibria in Security Games.,5,http://www.aaai.org/ocs/index.php/AAAI/AAAI11/paper/view/3461,https://dblp.org/rec/conf/aaai/AnTOSK11
5,2011,Dimitrios Antos,nan,Barbara J. Grosz,"Harvard University, Cambridge, USA",AAAI,The Influence of Emotion Expression on Perceptions of Trustworthiness in Negotiation.,4,http://www.aaai.org/ocs/index.php/AAAI/AAAI11/paper/view/3438,https://dblp.org/rec/conf/aaai/AntosMGG11
6,2011,Jim Apple,nan,Bryan Smith,nan,AAAI,Green Driver - AI in a Microcosm.,10,http://www.aaai.org/ocs/index.php/AAAI/AAAI11/paper/view/3648,https://dblp.org/rec/conf/aaai/AppleCCDFGKLSS11
7,2011,Nimar S. Arora,nan,Erik B. Sudderth,"University of California, Irvine, CA, USA",AAAI,Global Seismic Monitoring - A Bayesian Approach.,4,http://www.aaai.org/ocs/index.php/AAAI/AAAI11/paper/view/3602,https://dblp.org/rec/conf/aaai/AroraRKS11
8,2011,Tsz-Chiu Au,nan,Peter Stone,"University of Texas at Austin, USA",AAAI,Enforcing Liveness in Autonomous Traffic Management.,3,http://www.aaai.org/ocs/index.php/AAAI/AAAI11/paper/view/3762,https://dblp.org/rec/conf/aaai/AuSS11
9,2011,Amos Azaria,nan,Claudia V. Goldman,nan,AAAI,Strategic Information Disclosure to People with Multiple Alternatives.,4,http://www.aaai.org/ocs/index.php/AAAI/AAAI11/paper/view/3694,https://dblp.org/rec/conf/aaai/AzariaRKG11
10,2011,Philip Bachman,nan,Doina Precup,"McGill University, Montreal, Canada",AAAI,Learning Compact Representations of Time-Varying Processes.,2,http://www.aaai.org/ocs/index.php/AAAI/AAAI11/paper/view/3541,https://dblp.org/rec/conf/aaai/BachmanP11
11,2011,Chris Colin Baillie,nan,Edoardo Pignotti,nan,AAAI,Assessing Quality in the Web of Linked Sensor Data.,3,http://www.aaai.org/ocs/index.php/AAAI/AAAI11/paper/view/3488,https://dblp.org/rec/conf/aaai/BaillieEP11
12,2011,Bikramjit Banerjee,nan,Landon Kraemer,nan,AAAI,Branch and Price for Multi-Agent Plan Recognition.,2,http://www.aaai.org/ocs/index.php/AAAI/AAAI11/paper/view/3714,https://dblp.org/rec/conf/aaai/BanerjeeK11
13,2011,Forrest Sheng Bao,nan,Forrest Sheng Bao,nan,AAAI,The AC(C) Language - Integrating Answer Set Programming and Constraint Logic Programming.,1,http://www.aaai.org/ocs/index.php/DC/DC11/paper/view/3552,https://dblp.org/rec/conf/aaai/Bao11
14,2011,Forrest Sheng Bao,nan,Yuanlin Zhang 0002,"Texas Tech University, Lubbock, TX, USA",AAAI,Medical Treatment Conflict Resolving in Answer Set Programming.,3,http://www.aaai.org/ocs/index.php/AAAI/AAAI11/paper/view/3546,https://dblp.org/rec/conf/aaai/BaoZZ11
15,2011,David Michael Barbella,nan,Kenneth D. Forbus,"Northwestern University, Illinois, USA",AAAI,Analogical Dialogue Acts - Supporting Learning by Reading Analogies in Instructional Texts.,2,http://www.aaai.org/ocs/index.php/AAAI/AAAI11/paper/view/3739,https://dblp.org/rec/conf/aaai/BarbellaF11
16,2011,Elias Bareinboim,nan,Judea Pearl,Turing Award,AAAI,Controlling Selection Bias in Causal Inference.,2,http://www.aaai.org/ocs/index.php/AAAI/AAAI11/paper/view/3522,https://dblp.org/rec/conf/aaai/BareinboimP11
17,2011,Joseph Kelly Barker,nan,Richard E. Korf,nan,AAAI,Solving 4x5 Dots-And-Boxes.,2,http://www.aaai.org/ocs/index.php/AAAI/AAAI11/paper/view/3495,https://dblp.org/rec/conf/aaai/BarkerK11
18,2011,Samuel Barrett,nan,Peter Stone,"University of Texas at Austin, USA",AAAI,Ad Hoc Teamwork in Variations of the Pursuit Domain.,2,http://www.aaai.org/ocs/index.php/AAAI/AAAI11/paper/view/3517,https://dblp.org/rec/conf/aaai/BarrettS11
19,2011,Nicola Basilico,nan,Nicola Gatti 0001,"Polytechnic University of Milan, Italy",AAAI,Automated Abstractions for Patrolling Security Games.,2,http://www.aaai.org/ocs/index.php/AAAI/AAAI11/paper/view/3574,https://dblp.org/rec/conf/aaai/BasilicoG11
20,2011,Navid Bazzazzadeh,nan,Roland Eils,nan,AAAI,Reconstructing the Stochastic Evolution Diagram of Dynamic Complex Systems.,3,http://www.aaai.org/ocs/index.php/AAAI/AAAI11/paper/view/3483,https://dblp.org/rec/conf/aaai/BazzazzadehBE11
21,2011,Vaishak Belle,nan,Gerhard Lakemeyer,"RWTH Aachen University, Germany",AAAI,A Semantical Account of Progression in the Presence of Uncertainty.,2,http://www.aaai.org/ocs/index.php/AAAI/AAAI11/paper/view/3715,https://dblp.org/rec/conf/aaai/BelleL11
22,2011,Jur van den Berg,"University of Utah, Salt Lake City, Utah, USA",Kenneth Y. Goldberg,"University of California, Berkeley, USA",AAAI,Anytime Nonparametric A.,4,http://www.aaai.org/ocs/index.php/AAAI/AAAI11/paper/view/3680,https://dblp.org/rec/conf/aaai/BergSHG11
23,2011,Francis Bisson,nan,Hengameh Irandoust,nan,AAAI,Provoking Opponents to Facilitate the Recognition of their Intentions.,4,http://www.aaai.org/ocs/index.php/AAAI/AAAI11/paper/view/3442,https://dblp.org/rec/conf/aaai/BissonKBI11
24,2011,Piero A. Bonatti,nan,Luigi Sauro,nan,AAAI,Adding Default Attributes to EL++.,3,http://www.aaai.org/ocs/index.php/AAAI/AAAI11/paper/view/3588,https://dblp.org/rec/conf/aaai/BonattiFS11
25,2011,Byron Boots,nan,Geoffrey J. Gordon,"Machine Learning Department, Carnegie Mellon University",AAAI,An Online Spectral Learning Algorithm for Partially Observable Nonlinear Dynamical Systems.,2,http://www.aaai.org/ocs/index.php/AAAI/AAAI11/paper/view/3703,https://dblp.org/rec/conf/aaai/BootsG11
