,first-author,,first-author-affiliation,last-author,,last-author-affiliation,title
339,Zhuoran Yang,Male,Princeton University,Han Liu,Male,Princeton University,High-dimensional Non-Gaussian Single Index Models via Thresholded Score Function Estimation
340,Garrett Bernstein,Male,University of Massachusetts Amherst,Gerome Miklau,Male,"University of Massachusetts, Amherst",Differentially Private Learning of Graphical Models using CGMs
341,Walter Dempsey,Male,University of Michigan,David Gustafson,Male,University of Wisconsin-Madison,"iSurvive: An Interpretable, Event-time Prediction Model for mHealth"
342,Edouard Grave,Male,Facebook AI Research,Herve Jegou,Male,Facebook AI Research,Efficient softmax approximation for GPUs
343,Tsubasa Ochiai,Male,Doshisha University,John Hershey,Male,MITSUBISHI ELECTRIC RESEARCH LABORATORIES,Multichannel End-to-end Speech Recognition
344,Riad Akrour,Male,TU Darmstadt,Gerhard Neumann,Male,University of Lincoln,Local Bayesian Optimization of Motor Skills
345,Ioannis Mitliagkas,Male,Stanford University,Lester Mackey,Male,Microsoft Research,Improving Gibbs Sampler Scan Quality with DoGS
346,Jose Miguel Hernandez-Lobato,Male,University of Cambridge,alan Aspuru-Guzik,Male,,Parallel and Distributed Thompson Sampling for Large-scale Accelerated Exploration of Chemical Space
347,Sheng Chen,Male,University of Minnesota,Arindam Banerjee,Male,University of Minnesota,Robust Structured Estimation with Single-Index Models
348,János Höner,Male,TU Berlin / MathPlan,Nico Görnitz,Male,TU Berlin,Minimizing Trust Leaks for Robust Sybil Detection
349,Mingmin Zhao,Male,MIT,Matt Bianchi,Male,Massachusetts General Hospital,Learning Sleep Stages from Radio Signals: A Conditional Adversarial Architecture
350,Yingzhen Li,Male,University of Cambridge,Yarin Gal,Male,University of Cambridge,Dropout Inference in Bayesian Neural Networks with Alpha-divergences
351,Tsung-Hsien Wen,Male,University of Cambridge,Steve Young J Young,Male,University of Cambridge,Latent Intention Dialogue Models
352,Yaron Singer,Male,Harvard,Avinatan Hassidim,Male,Bar Ilan University,Robust Guarantees of Stochastic Greedy Algorithms
353,Georg Ostrovski,Male,Google DeepMind,Remi Munos,Male,DeepMind,Count-Based Exploration with Neural Density Models
354,Nilesh Tripuraneni,Male,UC Berkeley,Richard E Turner,Male,University of Cambridge,Magnetic Hamiltonian Monte Carlo
355,Aditya Chaudhry,Male,University of Virginia,Quanquan Gu,Male,University of Virginia,Uncertainty Assessment and False Discovery Rate Control in High-Dimensional Granger Causal Inference
356,Xixian Chen,Male,The Chinese University of Hong Kong,Irwin King,Male,CUHK,Toward Efficient and Accurate Covariance Matrix Estimation on Compressed Data
357,Naman Agarwal,Male,Princeton University,Karan Singh,Male,Princeton University,The Price of Differential Privacy For Online Learning
358,Takayuki Osogami,Male,IBM Research - Tokyo,Taro Sekiyama,Male,IBM Research - Tokyo,Bidirectional learning for time-series models with hidden units
