,first-author,,first-author-affiliation,last-author,,last-author-affiliation,title
99,Yuanzhi Li,Male,Princeton University,Yingyu Liang,Male,Princeton University,Provable Alternating Gradient Descent for Non-negative Matrix Factorization with Strong Correlations
100,Yuchen Zhang,Male,Stanford,Martin Wainwright,Male,University of California at Berkeley,Convexified Convolutional Neural Networks
101,Fan Ma,Male,Xian Jiaotong University,Xuanyi Dong,Male,University of Technology Sydney,Self-Paced Co-training
102,Juyong Kim,Male,Seoul National University,Sung Ju Hwang,Male,UNIST / AItrics,SplitNet: Learning to Semantically Split Deep Networks for Parameter Reduction and Model Parallelization
103,Matthew Hoffman,Male,Google Research,Matthew Hoffman,Male,Google Research,Learning Deep Latent Gaussian Models with Markov Chain Monte Carlo
104,Qi Lei,Female,University of Texas at Austin,Pradeep Ravikumar,Male,Carnegie Mellon University,Doubly Greedy Primal-Dual Coordinate Descent for Sparse Empirical Risk Minimization
105,Nir Baram,Male,Technion - Israel Institute of Technology,Shie Mannor,Male,Technion,End-to-End Differentiable Adversarial Imitation Learning
106,Tian Gao,Male,IBM Research,Murray Campbell,Male,IBM,Local-to-Global Bayesian Network Structure Learning
107,Lihong Li,Male,Microsoft Research,Dengyong Zhou,Male,Microsoft Research,Provably Optimal Algorithms for Generalized Linear Contextual Bandits
108,Rong Ge,Male,Duke University,Yi Zheng,Male,Duke University,No Spurious Local Minima in Nonconvex Low Rank Problems: A Unified Geometric Analysis
109,Maithra Raghu,Female,Google Brain / Cornell University,Jascha Sohl-Dickstein,Male,Google Brain,On the Expressive Power of Deep Neural Networks
110,Tomoya Sakai,Male,The University of Tokyo / RIKEN,Masashi Sugiyama,Male,RIKEN / The University of Tokyo,Semi-Supervised Classification Based on Classification from Positive and Unlabeled Data
111,Chelsea Finn,Female,UC Berkeley,Sergey Levine,Male,Berkeley,Model-Agnostic Meta-Learning for Fast Adaptation of Deep Networks
112,Liping Liu,,Columbia University,David Blei,Male,Columbia University,Zero-Inflated Exponential Family Embeddings
113,Tianbao Yang,Male,The University of Iowa,Lijun Zhang,Male,Nanjing University,A Richer Theory of Convex Constrained Optimization with Reduced Projections and Improved Rates
114,Sammie Katt,Male,Northeastern University,Chris Amato,Male,Northeastern University,Learning in POMDPs with Monte Carlo Tree Search
115,XIUYAN NI,Female,"THE GRADUATE CENTER, CUNY",Chao Chen,Male,City University of New York (CUNY),Composing Tree Graphical Models with Persistent Homology Features for Clustering Mixed-Type Data
116,Wen Sun,Male,Carnegie Mellon University,Ashish Kapoor,Male,Microsoft Research,Safety-Aware Algorithms for Adversarial Contextual Bandit
117,Mostafa Rahmani,Male,University of Central Florida,George Atia,Male,University of Central Florida,"Coherence Pursuit: Fast, Simple, and Robust Subspace Recovery"
118,Itay Safran,Male,Weizmann Institute of Science,Ohad Shamir,Male,Weizmann Institute of Science,Depth-Width Tradeoffs in Approximating Natural Functions With Neural Networks
