,first-author,,first-author-affiliation,last-author,,last-author-affiliation,title
259,Jonas Mueller,Male,MIT,Tommi Jaakkola,Male,MIT,Sequence to Better Sequence: Continuous Revision of Combinatorial Structures
260,Zeyuan Allen-Zhu,Male,Microsoft Research / Princeton / IAS,Zeyuan Allen-Zhu,Male,Microsoft Research / Princeton / IAS,Natasha: Faster Non-Convex Stochastic Optimization Via Strongly Non-Convex Parameter
261,Noam Brown,Male,Carnegie Mellon University,Tuomas Sandholm,Male,Carnegie Mellon University,Reduced Space and Faster Convergence in Imperfect-Information Games via Pruning
262,Matej Balog,Male,University of Cambridge,Adrian Weller,Male,University of Cambridge,Lost Relatives of the Gumbel Trick
263,Jacob Devlin,Male,Microsoft Research,Pushmeet Kohli,Male,Microsoft Research,RobustFill: Neural Program Learning under Noisy I/O
264,Jialei Wang,Male,University of Chicago,Tong Zhang,Male,HKUST,Efficient Distributed Learning with Sparsity
265,Shashank Singh,Male,Carnegie Mellon University,Barnabás Póczos,Male,CMU,Nonparanormal Information Estimation
266,Tasha Nagamine,Female,Columbia University,Nima Mesgarani,Male,Columbia University,Visualizing and Understanding Multilayer Perceptron Models: A Case Study in Speech Processing
267,Yinchong Yang,Male,"Ludwig-Maximilians-Universität München, Siemens AG",Volker Tresp,Male,University of Munich,Tensor-Train Recurrent Neural Networks for Video Classification
268,Yair Carmon,Male,Stanford University,Aaron Sidford,Male,Stanford,“Convex Until Proven Guilty”: Dimension-Free Acceleration of Gradient Descent on Non-Convex Functions
269,David Balduzzi,Male,Victoria University Wellington,David Balduzzi,Male,Victoria University Wellington,Strongly-Typed Agents are Guaranteed to Interact Safely
270,Guangyong Chen,Male,The Chinese University of Hong Kong,Pheng Ann Heng,Male,"Shenzhen Institutes of Advanced Technology, Chinese Academy of Sciences",Learning to Aggregate Ordinal Labels by Maximizing Separating Width
271,Matko Bošnjak,Male,University College London,Sebastian Riedel,Male,UCL,Programming with a Differentiable Forth Interpreter
272,Mostafa Rahmani,Male,University of Central Florida,George Atia,Male,University of Central Florida,Innovation Pursuit: A New Approach to the Subspace Clustering Problem
273,Jayadev Acharya,Male,Cornell University,Ananda Suresh,Male,Google,A Unified Maximum Likelihood Approach for Estimating Symmetric Properties of Discrete Distributions
274,Mukund Sundararajan,Male,Google Inc.,Qiqi Yan,Male,Google Inc.,Axiomatic Attribution for Deep Networks
275,Chong Wang,Male,Microsoft Research,Li Deng,Male,Citadel,Sequence Modeling via Segmentations
276,Qunwei Li,Male,Syracuse University,Pramod K Varshney,Male,Syracuse University,Convergence Analysis of Proximal Gradient with Momentum for Nonconvex Optimization
277,Hoang Le,Male,Caltech,Patrick Lucey,Male,STATS LLC.,Coordinated Multi-Agent Imitation Learning
278,Pengtao Xie,Male,Carnegie Mellon University,Eric Xing,Male,Carnegie Mellon University,Uncorrelation and Evenness: a New Diversity-Promoting Regularizer
