,first-author,,first-author-affiliation,last-author,,last-author-affiliation,title
199,Tolga Bolukbasi,Male,Boston University,Venkatesh Saligrama,Male,Boston University,Adaptive Neural Networks for Efficient Inference
200,Junier Oliva,Male,Carnegie Mellon University,Jeff Schneider,Male,CMU/Uber,The Statistical Recurrent Unit
201,Sebastian Stich,Male,EPFL,Martin Jaggi,Male,EPFL,Approximate Steepest Coordinate Descent
202,Assaf Hallak,Male,Technion,Shie Mannor,Male,Technion,Consistent On-Line Off-Policy Evaluation
203,John Ingraham,Male,Harvard University,Debora Marks,Female,Harvard Medical School,Variational Inference for Sparse and Undirected Models
204,Rakshit Trivedi,Male,Georgia Institute of Technology,Le Song,Male,Georgia Institute of Technology,Know-Evolve: Deep Temporal Reasoning for Dynamic Knowledge Graphs
205,Di Wang,Male,UC Berkeley,Satish Rao,Male,UC Berkeley,Capacity Releasing Diffusion for Speed and Locality.
206,Manolis Tsakiris,Male,Johns Hopkins University,Rene Vidal,Male,Johns Hopkins University,Hyperplane Clustering Via Dual Principal Component Pursuit
207,jaehong yoon,Male,UNIST,Sung Ju Hwang,Male,UNIST / AItrics,Combined Group and Exclusive Sparsity for Deep Neural Networks
208,Jakob Foerster,Male,University of Oxford,David Sussillo,Male,"Google Brain, Google Inc.",Input Switched Affine Networks: An RNN Architecture Designed for Interpretability
209,Tyler Johnson,Male,University of Washington,Carlos Guestrin,Male,,StingyCD: Safely Avoiding Wasteful Updates in Coordinate Descent
210,Nan Jiang,Male,Microsoft Research,Robert Schapire,Male,Microsoft Research,Contextual Decision Processes with low Bellman rank are PAC-Learnable
211,Andrew Wrigley,Male,Australian National University,Nan Ye,Male,Queensland University of Technology,Tensor Belief Propagation
212,Changwei Hu,Male,Duke University,Lawrence Carin,Male,Duke,Deep Generative Models for Relational Data with Side Information
213,Zeyuan Allen-Zhu,Male,Microsoft Research / Princeton / IAS,Yuanzhi Li,Male,Princeton University,Doubly Accelerated Methods for Faster CCA and Generalized Eigendecomposition
214,Nhat Ho,Male,University of Michigan,Dinh Phung,Male,Deakin University,Multilevel Clustering via Wasserstein Means
215,Colin Raffel,Male,Google Brain,Douglas Eck,Male,Google Brain,Online and Linear-Time Attention by Enforcing Monotonic Alignments
216,Qianxiao Li,Male,"Institute of High Performance Computing, A*STAR",Weinan E,Male,Princeton University,Stochastic modified equations and adaptive stochastic gradient algorithms
217,Ron Appel,Male,caltech.edu,Pietro Perona,Male,caltech.edu,A Simple Multi-Class Boosting Framework with Theoretical Guarantees and Empirical Proficiency
218,Insu Han,Male,Korea Advanced Institute of Science and Technology,Jinwoo Shin,Male,KAIST,Faster Greedy MAP Inference for Determinantal Point Processes
