,first-author,first-author-gender,first-author-affiliation,last-author,last-author-gender,last-author-affiliation,title
46,Kai Zhong,Male,University of Texas at Austin,Inderjit Dhillon,Male,UT Austin & Amazon,Recovery Guarantees for One-hidden-layer Neural Networks
47,Yingce Xia,Male,University of Science and Technology of China,Tie-Yan Liu,Male,Microsoft,Dual Supervised Learning
48,Joao Henriques,Male,University of Oxford,Andrea Vedaldi,Male,University of Oxford,Warped Convolutions: Efficient Invariance to Spatial Transformations
49,Youssef Mroueh,Male,IBM T.J Watson Research Center,Vaibhava Goel,Male,IBM,McGan: Mean and Covariance Feature Matching GAN
50,Stephen Tu,Male,UC Berkeley,Benjamin Recht,Male,Berkeley,Breaking Locality Accelerates Block Gauss-Seidel
51,Tuomas Haarnoja,Male,UC Berkeley,Sergey Levine,Male,Berkeley,Reinforcement Learning with Deep Energy-Based Policies
52,Hongyu Yang,Male,Massachusetts Institute of Technology,Margo Seltzer,Male,Harvard University,Scalable Bayesian Rule Lists
53,Yichi Zhou,Male,Tsinghua University,Jun Zhu,Male,Tsinghua University,Identify the Nash Equilibrium in Static Games with Random Payoffs
54,Zilong Tan,Male,Duke University,Sayan Mukherjee,Male,Duke University,Partitioned Tensor Factorizations for Learning Mixed Membership Models
55,Shaked Shammah,Male,"Hebrew University, Jerusalem",Ohad Shamir,Male,Weizmann Institute of Science,Failures of Gradient-Based Deep Learning
56,ROI Livni,Male,Princeton,Amir Globerson,Male,Tel Aviv University,Learning Infinite Layer Networks without the Kernel Trick
57,Renata Khasanova,Female,Ecole Polytechnique Federale de Lausanne (EPFL),Pascal Frossard,Male,EPFL,Graph-based Isometry Invariant Representation Learning
58,Augustus Odena,Male,Google Brain,Jon Shlens,Male,Google Brain,Conditional Image Synthesis with Auxiliary Classifier GANs
59,Hoai An Le Thi,Female,"Theoretical and Applied Computer Science Laboratory, University of Lorraine",Bach Tran,Male,University of Lorraine,Stochastic DCA for the Large-sum of Non-convex Functions Problem and its Application to Group Variable Selection in Classification
60,Nikhil Mishra,Male,UC Berkeley,Igor Mordatch,Male,OpenAI,Prediction and Control with Temporal Segment Models
61,John C Urschel,Male,Massachusetts Institute of Technology,Victor-Emmanuel Brunel,Male,Massachusetts Institute of Technology,Learning Determinantal Point Processes with Moments and Cycles
62,Zeyuan Allen-Zhu,Male,Microsoft Research / Princeton / IAS,Yuanzhi Li,Male,Princeton University,Follow the Compressed Leader: Faster Online Learning of Eigenvectors and Faster MMWU
63,Xueyu Mao,Male,University of Texas at Austin,Deepayan Chakrabarti,Male,"University of Texas, Austin",On Mixed Memberships and Symmetric Nonnegative Matrix Factorizations
64,Charbel Sakr,Male,University of Illinois at Urbana-Champaign,Naresh Shanbhag,Male,University of Illinois,Analytical Guarantees on Numerical Precision of Deep Neural Networks
65,Haim Avron,Male,Tel Aviv University,Amir Zandieh,Male,EPFL,Random Fourier Features for Kernel Ridge Regression: Approximation Bounds and Statistical Guarantees
66,Tao Lei,Male,MIT CSAIL,Tommi Jaakkola,Male,MIT,Deriving Neural Architectures from Sequence and Graph Kernels
67,Taeksoo Kim,Male,SK T-Brain,Jiwon Kim,Female,SK T-Brain,Learning to Discover Cross-Domain Relations with Generative Adversarial Networks
68,Junqi Tang,Male,the University of Edinburgh,Mike E Davies,Male,University of Edinburgh,Gradient Projection Iterative Sketch for Large-Scale Constrained Least-Squares
69,Kavosh Asadi,Male,Brown University,Michael L. Littman,Male,Brown University,An Alternative Softmax Operator for Reinforcement Learning
70,Yarin Gal,Male,University of Cambridge,Zoubin Ghahramani,Male,University of Cambridge & Uber,Deep Bayesian Active Learning with Image Data
71,Sayak Ray Chowdhury,Male,Indian Institute of Science,Aditya Gopalan,Male,Indian Institute of Science,On Kernelized Multi-armed Bandits
72,Jiali Mei,Male,EDF R&D & Université Paris-Sud,Georges Hébrail,Male,EDF Lab Paris-Saclay,Nonnegative Matrix Factorization for Time Series Recovery From a Few Temporal Aggregates
73,Shuai Zheng,Male,Hong Kong University of Science and Technology,James Kwok,Male,Hong Kong University of Science and Technology,Follow the Moving Leader in Deep Learning
74,Hal Daumé,Male,University of Maryland,Paul Mineiro,Male,Microsoft,Logarithmic Time One-Against-Some
75,Piotr Bojanowski,Male,Facebook,Armand Joulin,Male,Facebook,Unsupervised Learning by Predicting Noise
76,Martin Arjovsky,Male,New York University,Léon Bottou,Male,Facebook,Wasserstein Generative Adversarial Networks
77,Cem Aksoylar,Male,,Venkatesh Saligrama,Male,Boston University,Connected Subgraph Detection with Mirror Descent on SDPs
78,Mehrdad Farajtabar,Male,Georgia Tech,Hongyuan Zha,Male,Georgia Institute of Technology,Fake News Mitigation via Point Process Based Intervention
79,Tammo Rukat,Male,University of Oxford,Christopher Yau,Male,University of Birmingham,Bayesian Boolean Matrix Factorisation
80,Daniele Calandriello,Male,INRIA Lille,Michal Valko,Male,Inria Lille - Nord Europe,Second-Order Kernel Online Convex Optimization with Adaptive Sketching
81,Sebastian Mair,Male,Leuphana University Lüneburg,Ulf Brefeld,Male,Leuphana University,Frame-based Data Factorizations
82,Liang Zhao,Male,The City University of New York,Bo Yuan,Male,"City College of New York, CUNY",Theoretical Properties for Neural Networks with Weight Matrices of Low Displacement Rank
83,Pang Wei Koh,Male,Stanford University,Percy Liang,Male,Stanford University,Understanding Black-box Predictions via Influence Functions
84,Mingsheng Long,Male,Tsinghua University,Michael Jordan,Male,UC Berkeley,Deep Transfer Learning with Joint Adaptation Networks
85,Shengjia Zhao,Male,Stanford University,Stefano Ermon,Male,Stanford University,Learning Hierarchical Features from Deep Generative Models
86,Mingyi Hong,Male,Iowa State University,Ming-Min Zhao,Male,Zhejiang University,Prox-PDA: The Proximal Primal-Dual Algorithm for Fast Distributed Nonconvex Optimization and Learning Over Networks
87,Deepak Pathak,Male,UC Berkeley,Prof. Darrell,Male,University of California at Berkeley,Curiosity-driven Exploration by Self-supervised Prediction
