,first-author,,first-author-affiliation,last-author,,last-author-affiliation,title
399,Anshumali Shrivastava,Male,Rice University,Anshumali Shrivastava,Male,Rice University,Optimal Densification for Fast and Accurate Minwise Hashing
400,Wittawat Jitkrittum,Male,UCL,Arthur Gretton,Male,Gatsby Computational Neuroscience Unit,An Adaptive Test of Independence with Analytic Kernel Embeddings
401,Gygli Gygli,Male,Gifs.com,Anelia Angelova,Female,Google Brain,Deep Value Networks Learn to Evaluate and Iteratively Refine Structured Outputs
402,Tim Shi,Male,Stanford University,Percy Liang,Male,Stanford University,World of Bits: An Open-Domain Platform for Web-Based Agents
403,Jonas Gehring,Male,Facebook AI Research,Yann Dauphin,Male,Facebook AI Research,Convolutional Sequence to Sequence Learning
404,Andrea Hornakova,Female,Max Planck Institute for Informatics,Bjoern Andres,Male,MPI for Informatics,Analysis and Optimization of Graph Decompositions by Lifted Multicuts
405,Mason McGill,Male,California Institute of Technology,Pietro Perona,Male,caltech.edu,Deciding How to Decide: Dynamic Routing in Artificial Neural Networks
406,Carlos Villacampa-Calvo,Male,Universidad Autónoma de Madrid,Daniel Hernandez-Lobato,Male,Universidad Autonoma de Madrid,Scalable Multi-Class Gaussian Process Classification using Expectation Propagation
407,Rajat Sen,Male,University of Texas at Austin,Sanjay Shakkottai,Male,University of Texas at Austin,Identifying Best Interventions through Online Importance Sampling
408,Bo Dai,Male,Georgia Tech,Le Song,Male,Georgia Institute of Technology,Stochastic Generative Hashing
409,Mathieu Carrière,Male,Inria Saclay,Steve Oudot,Male,,Sliced Wasserstein Kernel for Persistence Diagrams
410,Wen Sun,Male,Carnegie Mellon University,Drew Bagnell,Male,Carnegie Mellon University,Deeply AggreVaTeD: Differentiable Imitation Learning for Sequential Prediction
411,Oren Rippel,Male,"WaveOne, Inc.",Lubomir Bourdev,Male,"WaveOne, Inc.",Real-Time Adaptive Image Compression
412,Zichao Yang,Male,Carnegie Mellon University,Taylor Berg-Kirkpatrick,Male,,Improved Variational Autoencoders for Text Modeling using Dilated Convolutions
413,Zeyuan Allen-Zhu,Male,Microsoft Research / Princeton / IAS,Yining Wang,Male,CMU,Near-Optimal Design of Experiments via Regret Minimization
414,Alexander Pritzel,Male,Deepmind,Charles Blundell,Male,DeepMind,Neural Episodic Control
415,Kurt Cutajar,Male,EURECOM,Maurizio Filippone,Male,Eurecom,Random Feature Expansions for Deep Gaussian Processes
416,Jason Hartford,Male,University of British Columbia,Matt Taddy,Male,MICROSOFT,Deep IV: A Flexible Approach for Counterfactual Prediction
417,Hantian Zhang,Male,ETH Zurich,Ce Zhang,Male,ETH Zurich,"ZipML: Training Linear Models with End-to-End Low Precision, and a Little Bit of Deep Learning"
418,Matthew Schlegel,Male,Indiana University,Martha White,Female,University of Alberta/Indiana University,Adapting Kernel Representations Online Using Submodular Maximization
