,first-author-affiliation,last-author-affiliation,title
0," School of Information Systems, Singapore Management University"," School of Information Systems, Singapore Management University",Achieving stable and fair profit allocation with minimum subsidy in collaborative logistics
1," Kno.e.sis, Wright State University, Dayton OH"," Kno.e.sis, Wright State University, Dayton OH",Understanding city traffic dynamics utilizing sensor and textual observations
2," IBM Research, University of Southampton, Universiti Brunei Darussalam"," IBM Research, University of Southampton, Universiti Brunei Darussalam",An axiomatic framework for ex-ante dynamic pricing mechanisms in smart grid
3," Facebook, Inc.", Oregon State University,Multi-instance multi-label class discovery: a computational approach for assessing bird biodiversity
4," School of Computer Engineering, Nanyang Technological University, Singapore and Energy Research Institute @NTU, Nanyang Technological University, Singapore"," Department of Traffic Information Management and Routing Optimization, BMW Group, Germany",Multiagent-based route guidance for increasing the chance of arrival on time
5," Department of Computer Science and Engineering, University of Minnesota, Twin Cities, Minneapolis, MN"," Department of Computer Science and Engineering, University of Minnesota, Twin Cities, Minneapolis, MN",Understanding dominant factors for precipitation over the Great Lakes Region
6," Duke University, Durham, NC"," Duke University, Durham, NC",A unifying variational inference framework for Hierarchical Graph-Coupled HMM with an application to influenza infection
7," College of Information Studies, University of Maryland"," College of Information Studies, University of Maryland",Topic models to infer socio-economic maps
8," Informatics Institute, University of Amsterdam", HH Hollands Noorderkwartier,Energy- and cost-efficient pumping station control
9," School of Information Systems, Singapore Management University"," School of Information Systems, Singapore Management University",Shortest path based decision making using probabilistic inference
10," School of Information Systems, Singapore Management University"," College of Information and Computer Sciences, University of Massachusetts Amherst",Robust decision making for stochastic network design
11," Ghent University, Belgium"," University of Michigan, Ann Arbor, MI",Optimizing infrastructure enhancements for evacuation planning
12," IBM Research-China, China"," IBM Research-China, China",Spatially regularized streaming sensor selection
13, University of Southern California, Michigan State University,Preventing illegal logging: simultaneous optimization of resource teams and tactics for security
14," Cheriton School of Computer Science, University of Waterloo, Waterloo, ON, Canada"," Cheriton School of Computer Science, University of Waterloo, Waterloo, ON, Canada",Big-data mechanisms and energy-policy design
15," Brown University, Providence, RI"," University of Michigan, Ann Arbor, MI",Benders decomposition for large-scale prescriptive evacuations
16," School of Information Technologies, The University of Sydney, Australia and National ICT Australia (NICTA)"," School of Information Technologies, The University of Sydney, Australia and National ICT Australia (NICTA)",Predicting spatio–temporal propagation of seasonal influenza using variational Gaussian process regression
17," Optimisation Research Group, NICTA Canberra Research Lab, Canberra, ACT, Australia"," Optimisation Research Group, NICTA Canberra Research Lab, Canberra, ACT, Australia",Intelligent habitat restoration under uncertainty
18," The Weather Company, Andover, MA"," The Weather Company, Andover, MA",Adaptable regression method for ensemble consensus forecasting
19," College of Information and Computer Sciences, University of Massachusetts, Amherst, MA"," College of Information and Computer Sciences, University of Massachusetts, Amherst, MA",Optimizing resilience in large scale networks
20," Department of Computer Science, Stanford University"," Department of Computer Science, Stanford University",Transfer learning from deep features for remote sensing and poverty mapping
21," Electronics and Computer Science, University of Southampton, UK"," Electronics and Computer Science, University of Southampton, UK",An algorithm to coordinate measurements using stochastic human mobility patterns in large-scale Participatory Sensing settings
