,first-author-affiliation,last-author-affiliation,title
0," School of Computer Science and Engineering, Southeast University, China and State Key Laboratory for Novel Software Technology, Nanjing University, China"," School of Engineering and Applied Science, Aston University, UK",Unsupervised storyline extraction from news articles
1," MITRE, McLean, VA"," Navy Center for Applied Research in AI, Naval Research Laboratory, Washington, DC",Hierarchical planning: relating task and goal decomposition with task sharing
2, UC Berkeley, UC Berkeley,Markovian state and action abstractions for MDPS via hierarchical MCTS
3," LAAS-CNRS, Université de Toulouse, France"," LAAS-CNRS, Université de Toulouse, France",Which contingent events to observe for the dynamic controllability of a plan
4," Universidad Simón Bolívar, Caracas, Venezuela"," ICREA & Universitat Pompeu Fabra, Barcelona, Spain",Factored probabilistic belief tracking
5," SIFT, LLC"," SIFT, LLC",Maintaining evolving domain models
6," Univ. Grenoble Alpes, Grenoble, France and CNRS, Grenoble, France"," Univ. Grenoble Alpes, Grenoble, France and CNRS, Grenoble, France",A branch-and-price algorithm for scheduling observations on a telescope
7," Department of Computer Science , University of Southern California"," Department of Computer Science , University of Southern California",Improved solvers for bounded-suboptimal multi-agent path finding
8," Department of Computer Science, Tufts University, Medford, Massachusetts"," Department of Computer Science, Tufts University, Medford, Massachusetts",Online symbolic gradient-based optimization for factored action MDPs
9," Universitat Pompeu Fabra, Barcelona, Spain"," ICREA & Universitat Pompeu Fabra, Barcelona, Spain",∃-STRIPS: existential quantification in planning and constraint satisfaction
