,Unnamed: 0,first-author,,first-author-affiliation,last-author,,last-author-affiliation,title
59,59,Kamalika Chaudhuri,Female,UCSD,Kaushik Sinha,Male,The Ohio State University,Near-optimal Differentially Private Principal Components.
60,60,Jayadev Acharya,Male,Cornell University,Alon Orlitsky,Male,"University of California, San Diego",Tight Bounds on Redundancy and Distinguishability of Label-Invariant Distributions.
61,61,Xavier Bresson,Male,City University of Hong Kong,James von Brecht,Male,UCLA,Convergence and Energy Landscape for Cheeger Cut Clustering.
62,62,Risi Kondor,Male,The University of Chicago,Walter H Dempsey,Male,University of Chicago,Multiresolution analysis on the symmetric group.
63,63,Kumar Sricharan,Male,University of Michigan Ann Arbor,Alfred Hero,Male,University of Michigan,Ensemble weighted kernel estimators for multivariate entropy estimation.
64,64,Yunlong He,Male,Facebook,Haesun Park,Female,Georgia Tech,Learning the Dependency Structure of Latent Factors.
65,65,Evan W Archer,Male,Sony AI,Il Memming Park,Male,Stony Brook University,Bayesian estimation of discrete entropy with mixtures of stick-breaking priors.
66,66,Nicholas Ruozzi,Male,Columbia University,Nicholas Ruozzi,Male,Columbia University,The Bethe Partition Function of Log-supermodular Graphical Models.
67,67,Chad Scherrer,Male,"Galois, Inc",David Haglin,Male,Pacific Northwest National Laboratory,Feature Clustering for Accelerating Parallel Coordinate Descent.
68,68,Tuo Zhao,Male,Johns Hopkins University       Princeton University,Han Liu,Male,Tencent AI Lab,High-dimensional Nonparanormal Graph Estimation via Smooth-projected Neighborhood Pursuit.
69,69,Shinsuke Koyama,Male,The Institute of Statistical Mathematics,Shinsuke Koyama,Male,The Institute of Statistical Mathematics,Coding efficiency and detectability of rate fluctuations with non-Poisson neuronal firing.
70,70,Arthur Gretton,Male,"Gatsby Unit, UCL",Kenji Fukumizu,Male,Institute of Statistical Mathematics / Preferred Networks / RIKEN AIP,Optimal kernel choice for large-scale two-sample tests.
71,71,Chuanxin Niu,Male,University of Southern California,Terence Sanger,Male,USC,Multi-scale Hyper-time Hardware Emulation of Human Motor Nervous System Based on Spiking Neurons using FPGA.
72,72,Vijay Mahadevan,Male,Yahoo!,Nuno Vasconcelos,Male,UC San Diego,On the connections between saliency and tracking.
73,73,Levi Boyles,Male,UC Irvine,Max Welling,Male,University of Amsterdam / Qualcomm AI Research,The Time-Marginalized Coalescent Prior for Hierarchical Clustering.
74,74,Sean Gerrish,Male,Princeton University,David Blei,Male,Columbia University,How They Vote: Issue-Adjusted Models of Legislative Behavior.
75,75,Romain Cazé,Male,Ecole Normale Supérieure INSERM U960,Boris S Gutkin,Male,"Group for Neural Theory, DEC, ENS, Paris, France",Spiking and saturating dendrites differentially expand single neuron computation capacity..
76,76,Suvrit Sra,Male,MIT,Suvrit Sra,Male,MIT,Scalable nonconvex inexact proximal splitting.
77,77,Shusen Wang,Male,UC Berkeley,Zhihua Zhang,Male,Shanghai Jiao Tong University,A Scalable CUR Matrix Decomposition Algorithm: Lower Time Complexity and Tighter Bound.
78,78,Aaron Dennis,Male,Brigham Young University,Dan Ventura,Male,Brigham Young University,Learning the Architecture of Sum-Product Networks Using Clustering on Variables.
