,first-author,first-author-affiliation,last-author,last-author-affiliation,title
39,Charlie Dickens,Alan Turing Institute & University of Warwick,David Woodruff,Carnegie Mellon University,Leveraging Well-Conditioned Bases: Streaming and Distributed Summaries in Minkowski $p$-Norms
40,Martin Riedmiller,DeepMind,Jost Springenberg,DeepMind,Learning by Playing - Solving Sparse Reward Tasks from Scratch
41,Mario Srouji,Stanford University,Russ Salakhutdinov,Carnegie Mellen University,Structured Control Nets for Deep Reinforcement Learning
42,Yanan Sui,Stanford,Yisong Yue,Caltech,Stagewise Safe Bayesian Optimization with Gaussian Processes
43,Ricardo Baptista,Massachusetts Institute of Technology,Matthias Poloczek,University of Arizona,Bayesian Optimization of Combinatorial Structures
44,Jiaxuan You,Stanford University,Jure Leskovec,Stanford University,GraphRNN: Generating Realistic Graphs with Deep Auto-regressive Models
45,Sikun Yang,TU Darmstadt,Heinz Koeppl,TU Darmstadt,Dependent Relational Gamma Process Models for Longitudinal Networks
46,Kaushik Sinha,Wichita State University,Kaushik Sinha,Wichita State University,K-means clustering using random matrix sparsification
47,Vaggos Chatziafratis,Stanford University,Moses Charikar,Stanford University,Hierarchical Clustering with Structural Constraints
48,Cijo Jose,Idiap Research Institute,Francois Fleuret,Idiap research institute,Kronecker Recurrent Units
49,Konstantinos Kamnitsas,Imperial College London,Aditya Nori,Microsoft Research Cambridge,Semi-Supervised Learning via Compact Latent Space Clustering
50,Ben Krause,University of Edinburgh,Steve Renals,University of Edinburgh,Dynamic Evaluation of Neural Sequence Models
51,Kyriacos Shiarlis,Latent Logic LTD,Ingmar Posner,University of Oxford,TACO: Learning Task Decomposition via Temporal Alignment for Control
52,Jiaxin Shi,Tsinghua University,Jun Zhu,Tsinghua University,A Spectral Approach to Gradient Estimation for Implicit Distributions
53,Alexander Buchholz,ENSAE-CREST Paris,Stephan Mandt,UC Irvine,Quasi-Monte Carlo Variational Inference
54,Nir Rosenfeld,Harvard University,Yaron Singer,Harvard,Learning to Optimize Combinatorial Functions
55,Shipra Agarwal,Columbia,Vahab Mirrokni,Google Research,"Proportional Allocation: Simple, Distributed, and Diverse Matching with High Entropy"
56,Keyulu Xu,MIT,Stefanie Jegelka,MIT,Representation Learning on Graphs with Jumping Knowledge Networks
57,Aleksandar Bojchevski,Technical University of Munich,Stephan Günnemann,Technical University of Munich,NetGAN: Generating Graphs via Random Walks
58,Jayadev Acharya,Cornell University,Huanyu Zhang,Cornell University,INSPECTRE: Privately Estimating the Unseen
