,first-author-affiliation,last-author-affiliation,title
0," School of Computer Science and IT, RMIT University, Melbourne, Australia"," CSIRO Energy Technology, Sydney, Australia",Integrating learning into a BDI Agent for environments with changing dynamics
1," Applied Mathematics, Cornell University"," Pop Med & Diagnostic Sci, Cornell University",Embedding system dynamics in agent based models for complex adaptive systems
2," CSE, SUNY at Buffalo and Southeast University, China"," CSE, SUNY at Buffalo",Kinship verification through transfer learning
3," Pervasive Computing Center, Institute of Computing Technology, CAS, Beijing,China and Graduate University of the Chinese Academy of Sciences, Beijing, China"," Pervasive Computing Center, Institute of Computing Technology, CAS, Beijing,China and Graduate University of the Chinese Academy of Sciences, Beijing, China",Cross-people mobile-phone based activity recognition
4," State Key Laboratory of Intelligent Technology and Systems, Tsinghua National Laboratory for Information Science and Technology, Department of Computer Science and Technology, Tsinghua University, Beijing, China"," State Key Laboratory of Intelligent Technology and Systems, Tsinghua National Laboratory for Information Science and Technology, Department of Computer Science and Technology, Tsinghua University, Beijing, China",CHIME: an efficient error-tolerant Cinese pinyin input method
5," Department of Computer Science, University of Maryland, College Park, Maryland"," Department of Computer Science, University of Maryland, College Park, Maryland",A geometric view of conjugate priors
6," Microsoft Research, Redmond, WA and Computer Science & Engineering, DUB, University of Washington, Seattle, WA"," Microsoft Corporation, Redmond, WA",Human-guided machine learning for fast and accurate network alarm triage
7," Technion-Israel Institute of Technology, Haifa, Israel"," LMU München, Munich, Germany",Lower bounds for width-restricted clause learning on formulas of small width
8, Microsoft Research, Microsoft Research,Community detection in social networks through community formation games
9," UHP-Nancy 1 - LORIA, UMR, CNRS, INPL, INRIA, Nancy 2, UHP, Vandoeuvre-lès-Nancy, France"," UHP-Nancy 1 - LORIA, UMR, CNRS, INPL, INRIA, Nancy 2, UHP, Vandoeuvre-lès-Nancy, France",An algorithm for adapting cases represented in ALC
10," Università di Parma, Parma, Italy"," New Mexico State University, Las Cruces, NM",Exploring protein fragment assembly using CLP
11," NICTA and University of New South Wales, Sydney, Australia"," NICTA and University of New South Wales, Sydney, Australia",Translation-based constraint answer set solving
12," University of Amsterdam, The Netherlands"," University of Liverpool, United Kingdom",Incentive engineering for Boolean games
13," Department of Computer Science, Cornell University"," Department of Computer Science, Cornell University",A flat histogram method for computing the density of states of combinatorial problems
14," NICT, Multilingual Translation Laboratory"," NICT, Multilingual Translation Laboratory",picoTrans: using pictures as input for machine translation on mobile devices
15," University of Strathclyde, UK"," University of Chieti-Pescara, Italy",Automatic construction of efficient multiple battery usage policies
16," Universität Potsdam, Potsdam, Germany"," Simon Fraser University, Canada and Griffith University, Australia and Universität Potsdam, Potsdam, Germany",Finite model computation via answer set programming
17," Department of Computer Science, University of Maryland, College Park, MD"," Department of Computer Science, University College London, London, UK",Measuring the good and the bad in inconsistent information
18," Department of Computer Science, University of Toronto, Toronto, Ontario, Canada"," Department of Computer Science, University of Toronto, Toronto, Ontario, Canada",A correctness result for reasoning about one-dimensional planning problems
19," School of Computing Science, Simon Fraser University, Burnaby, BC, Canada"," School of Computing Science, Simon Fraser University, Burnaby, BC, Canada",A transitivity aware matrix factorization model for recommendation in social networks
20," MPI Tübingen, Germany"," MPI Tübingen, Germany",Reinforcement learning to adjust robot movements to new situations
21," Department of CS and Information Systems, Birkbeck College London, UK"," Department of CS and Information Systems, Birkbeck College London, UK",The combined approach to ontology-based data access
22," Dept. of Informatics, Aristotle University of Thessaloniki, Thessaloniki, Greece"," Dept. of Informatics, Aristotle University of Thessaloniki, Thessaloniki, Greece",Reasoning and proofing services for semantic web agents
23, Oxford University Computing Laboratory, Oxford University Computing Laboratory,Efficient rule-based inferencing for OWL EL
24," Stanford University, Department of Computer Science"," Stanford University, Department of Computer Science",Flexible tree matching
25," School of Informatics and Computing, Indiana University, Bloomington, IN"," School of Informatics and Computing, Indiana University, Bloomington, IN",Enhancing case adaptation with introspective reasoning and web mining
26," University of British Columbia, Vancouver, Canada"," Yahoo! Research, Sunnyvale, CA",Recommender systems: missing data and statistical model estimation
27," Radboud University Nijmegen, Nijmegen, Netherlands"," Radboud University Nijmegen, Nijmegen, Netherlands","Mind the eigen-gap, or how to accelerate semi-supervised spectral learning algorithms"
28," School of Physical and Mathematical Sciences, Nanyang Technological University, Singapore"," Robotics Institute, Carnegie Mellon University",Ties matter: complexity of voting manipulation revisited
29," Intelligence, Agents, Multimedia Group, School of Electronics and Computer Science, University of Southampton, Southampton, UK"," Intelligence, Agents, Multimedia Group, School of Electronics and Computer Science, University of Southampton, Southampton, UK",An on-line algorithm for semantic forgetting
