,first-author-affiliation,last-author-affiliation,title
0," Nanyang Technological University, Singapore"," Nanyang Technological University, Singapore",A trust prediction approach capturing agents' dynamic behavior
1," KR & KM Research Group, Universität Mannheim, Mannheim, Germany"," KR & KM Research Group, Universität Mannheim, Mannheim, Germany",Log-linear description logics
2," Department of Computer Science, University of Toronto"," Department of Computer Science, University of Toronto",Eliciting additive reward functions for Markov decision processes
3," Department of Computer Science, University of Toronto"," Department of Computer Science, University of Toronto",Robust online optimization of reward-uncertain MDPs
4," Logistics, Decision and Information Sciences, Wageningen University, The Netherlands"," Cork Constraint Computation Centre,University College Cork, Ireland","Finding (α, ϑ)-solutions via sampled SCSPs"
5," Department of Computer Science, Katholieke Universiteit Leuven, Heverlee, Belgium"," Department of Computer Science, Katholieke Universiteit Leuven, Heverlee, Belgium",Lifted probabilistic inference by first-order knowledge compilation
6," Department of Computer Science and Engineering, Mississippi State University"," Department of Computer Science, University of Massachusetts, Amherst",Learning optimal Bayesian networks using A* search
7," Computer Science Department, National Institute for Astrophysics, Optics and Electronics, Puebla, Mexico"," Computational Intelligence Group, Technical University of Madrid, Madrid, Spain",Bayesian chain classifiers for multidimensional classification
8," School of Information Technologies, University of Sydney, Sydney, Australia"," School of Information Technologies, University of Sydney, Sydney, Australia",CCR: a content-collaborative reciprocal recommender for online dating
9," The University of Tokyo, Tokyo, Japan"," The University of Tokyo, Tokyo, Japan",Relation adaptation: learning to extract novel relations with minimum supervision
10," Department of Computer Science, Shanghai Jiao Tong University, China and Microsoft Research Asia, China"," Department of Computer Science, Shanghai Jiao Tong University, China",Leveraging unlabeled data to scale blocking for record linkage
11," Department of Computer Science and Engineering, Hong Kong University of Science and Technology, Hong Kong, China"," Department of Computer Science and Engineering, Hong Kong University of Science and Technology, Hong Kong, China",A convex formulation of modularity maximization for community detection
12," Oxford University Computing Laboratory, Oxford, UK"," Oxford University Computing Laboratory, Oxford, UK",What to ask to an incomplete semantic web reasoner?
13," The University of Manchester, Manchester, United Kingdom"," Universität Bremen, Bremen, Germany",The modular structure of an ontology: atomic decomposition
14, NTT Cyber Space Laboratories, Nihon University,Fast algorithm for affinity propagation
15," Trinity College Dublin, Dublin, Ireland"," University College Dublin, Belfield, Ireland","Mining the web for the ""voice of the herd"" to track stock market bubbles"
16," School of Informatics, University of Edinburgh, Edinburgh, United Kingdom"," School of Informatics, University of Edinburgh, Edinburgh, United Kingdom",Relevance feedback between web search and the semantic web
17," IDEAS Research Institute, Robert Gordon University, Aberdeen, UK"," IDEAS Research Institute, Robert Gordon University, Aberdeen, UK",Finding the hidden gems: recommending untagged music
18," NTT Communication Science Laboratories, Kyoto, Japan"," NTT Communication Science Laboratories, Kyoto, Japan",Fashion coordinates recommender system using photographs from fashion magazines
19," The University of Tokyo, Japan"," The University of Tokyo, Japan",Mining longitudinal network for predicting company value
20," The Pennsylvania State University, College Park, PA"," The Pennsylvania State University, College Park, PA",Context sensitive topic models for author influence in document networks
21," Tata Consultancy Services, Innovation Labs, Delhi, India"," Tata Consultancy Services, Innovation Labs, Delhi, India",Multi-perspective linking of news articles within a repository
22," CENTRIA, Universidade Nova de Lisboa"," Computer Science Department, Carnegie Mellon University, Pittsburgh, PA",Social abstract argumentation
23," QCIS Centre, FEIT, University of Technology, Sydney, NSW, Australia"," Department of Computer Science, Hefei University of Technology, Hefei, China and Department of Computer Science, University of Vermont, Burlington, VT",Cross-domain collaborative filtering over time
24," School of Computing and Information Engineering, University of Ulster, Northern Ireland, UK"," School of Computing and Information Engineering, University of Ulster, Northern Ireland, UK",Minimally complete recommendations
25," NTT Cyber Solutions Laboratories, NTT Corporation, Yokosuka-Shi Kanagawa, Japan"," NTT Cyber Solutions Laboratories, NTT Corporation, Yokosuka-Shi Kanagawa, Japan",User similarity from linked taxonomies: subjective assessments of items
26," AKSW, BIS, Institut für Informatik, Universität Leipzig, Leipzig, Germany"," AKSW, BIS, Institut für Informatik, Universität Leipzig, Leipzig, Germany",LIMES: a time-efficient approach for large-scale link discovery on the web of data
27," Department of Computer Science and Engineering, Hong Kong University of Science and Technology, Hong Kong"," Department of Computer Science and Engineering, Hong Kong University of Science and Technology, Hong Kong",Transfer learning to predict missing ratings via heterogeneous user feedbacks
28," University of Illinois, Urbana-Champaign"," University of Illinois, Urbana-Champaign",Making better informed trust decisions with generalized fact-finding
29," Microsoft Research Asia, Beijing, China"," Microsoft Research Asia, Beijing, China",Short text conceptualization using a probabilistic knowledgebase
