,first-author-affiliation,last-author-affiliation,title
0," Department of Computer Science, University of Texas at Dallas, Richardson, TX"," Department of Computer Science, University of Texas at Dallas, Richardson, TX",Learning cause identifiers from annotator rationales
1," Department of Computer Science and Human Language Technology Center of Excellence, Johns Hopkins University"," Department of Computer Science and Human Language Technology Center of Excellence, Johns Hopkins University",Learning bilingual lexicons using the visual similarity of labeled web images
2," State Key Laboratory of Intelligent Technology and Systems, Tsinghua National Laboratory for Information Science and Technology, Department of Computer Sci. and Tech., Tsinghua University"," State Key Laboratory of Intelligent Technology and Systems, Tsinghua National Laboratory for Information Science and Technology, Department of Computer Sci. and Tech., Tsinghua University",Semantic relationship discovery with wikipedia structure
3," Key Laboratory for Information System Security, Ministry of Education, Tsinghua National Laboratory for Information Science and Technology, School of Software, Tsinghua University, Beijing, China"," Buzzlabs, Bellevue WA",Short text classification improved by learning multi-granularity topics
4, University of Illinois, University of Illinois,Online latent structure training for language acquisition
5," Alpage, INRIA & Univ. Paris Diderot"," Alpage, INRIA & Univ. Paris Diderot and IRIT, Univ. Toulouse",Predicting globally-coherent temporal structures from texts via endpoint inference and graph decomposition
6," Department of Computer Science, University of Illinois at Urbana-Champaign"," Department of Computer Science, University of Illinois at Urbana-Champaign",Learning from natural instructions
7," CISUC, University of Coimbra, Portugal"," CISUC, University of Coimbra, Portugal",Automatic discovery of fuzzy synsets from dictionary definitions
8," Department of Computer Science, University of British Columbia, Canada"," Microsoft Research Asia, Beijing, China",Unsupervised modeling of dialog acts in asynchronous conversations
9," JiangSu Provincial Key Lab for Computer Information Processing Technology, School of Computer Science and Technology Soochow University"," JiangSu Provincial Key Lab for Computer Information Processing Technology, School of Computer Science and Technology Soochow University",Improve tree kernel-based event pronoun resolution with competitive information
10," State Key Laboratory of Intelligent Technology and Systems and Tsinghua National Laboratory for Information Science and Technology and Dept. of Computer Science and Technology, Tsinghua University, Beijing, China"," State Key Laboratory of Intelligent Technology and Systems and Tsinghua National Laboratory for Information Science and Technology and Dept. of Computer Science and Technology, Tsinghua University, Beijing, China",Incorporating reviewer and product information for review rating prediction
11," Natural Language Processing Lab, Soochow University, China"," Department of CBS, The Hong Kong Polytechnic University",Semi-supervised learning for imbalanced sentiment classification
12," School of Computer Science and Technology, Harbin Institute of Technology, Harbin, China and Microsoft Research Asia, Beijing, China"," College of Computer Science, Chongqing University, Chongqing, China",Collective semantic role labeling for tweets with clustering
13," HKUST, Human Language Technology Center, Department of Computer Science and Engineering, University of Science and Technology, Clear Water Bay, Hong Kong"," HKUST, Human Language Technology Center, Department of Computer Science and Engineering, University of Science and Technology, Clear Water Bay, Hong Kong",SMT versus AI redux: how semantic fames evaluate MT more accurately
14," Department of Social Informatics, Kyoto University, Kyoto, Japan"," Department of Social Informatics, Kyoto University, Kyoto, Japan",Constraint optimization approach to context based word selection
15," Spoken Language Systems Laboratory, LF/INESC-ID, Instituto Superior Técnico, Technical University of Lisbon, Lisboa, Portugal"," Spoken Language Systems Laboratory, LF/INESC-ID, Instituto Superior Técnico, Technical University of Lisbon, Lisboa, Portugal",An approach to answer selection in question-answering based on semantic relations
16," School of Communication and Information, Rutgers University, New Brunswick, NJ"," School of Communication and Information, Rutgers University, New Brunswick, NJ",Learning for deep language understanding
17," Computer Science Department, ""Politehnica"" University of Bucharest, Romania"," ERIC Laboratoire, Université Lumière, Lyon 2, France",Improving topic evaluation using conceptual knowledge
18," Dipartimento di Informatica, Sapienza Università di Roma"," Dipartimento di Informatica, Sapienza Università di Roma",A graph-based algorithm for inducing lexical taxonomies from scratch
19," SUPELEC, IMS Research Group and UMI, GeorgiaTech, CNRS, Metz, France"," SUPELEC, IMS Research Group, Metz, France",Sample efficient on-line learning of optimal dialogue policies with kalman temporal differences
20," Human Language Technology Research Institute, University of Texas at Dallas, Richardson, TX"," Human Language Technology Research Institute, University of Texas at Dallas, Richardson, TX",Ensemble-based coreference resolution
21," Digital Trowel and Hebrew University of Jerusalem, Israel"," Digital Trowel and Hebrew University of Jerusalem, Israel",Unsupervised lexicon acquisition for HPSG-based relation extraction
22," Artificial Intelligence Group, Bielefeld University, Germany"," Artificial Intelligence Group, Bielefeld University, Germany",Interfacing virtual agents with collaborative knowledge: open domain question answering using wikipedia-based topic models
23," School of Computing, Teesside University, Middlesbrough, UK"," School of Computing, Teesside University, Middlesbrough, UK",Affect sensing in metaphorical phenomena and dramatic interaction context
24," School of Computing, National University of Singapore"," School of Computing, National University of Singapore","Entity linking with effective acronym expansion, instance selection and topic modeling"
25," School of Computer Science, Shanghai Key Laboratory of Intelligent Information Processing, Fudan University, Shanghai, China"," Department of Computer Science, The University of North Carolina at Charlotte",Learning inter-related statistical query translation models for English-Chinese bi-directional CLIR
26," School of Computer Science, Shanghai Key Laboratory of Intelligent Information Processing, Fudan University, Shanghai, China"," School of Computer Science, Shanghai Key Laboratory of Intelligent Information Processing, Fudan University, Shanghai, China",Fusion of multiple features and supervised learning for Chinese OOV term detection and POS guessing
27," MIT Computer Science and Artificial Intelligence Laboratory, Cambridge, MA"," MIT Computer Science and Artificial Intelligence Laboratory, Cambridge, MA",DetH: approximate hierarchical solution of large Markov decision processes
28," Universidad Simón Bolívar, Caracas, Venezuela"," ICREA & Universitat Pompeu Fabra, Barcelona, Spain",Planning under partial observability by classical replanning: theory and experiments
29," Computer Science Department, Cornell University"," Computer Science Department, Cornell University",Risk-sensitive policies for sustainable renewable resource allocation
