,first-author-affiliation,last-author-affiliation,title
0," University of Southern California, Los Angeles, CA", Transportation Security Administration,GUARDS: innovative application of game theory for national airport security
1," CIRSFID, University of Bologna, Italy"," CIRSFID, University of Bologna, Italy",Norm compliance of rule-based cognitive agents
2, Carnegie Mellon University," Google, Pittsburgh",Theoretical justification of popular link prediction heuristics
3," Bell Labs, Alcatel-Lucent, Centre de Villarceaux, Nozay, France"," Bell Labs, Alcatel-Lucent, Centre de Villarceaux, Nozay, France",Evaluation of group profiling strategies
4, Carnegie Mellon University, Carnegie Mellon University,Connecting the dots between news articles
5, The Hebrew University, Toyota Technological Institute,Learning linear and kernel predictors with the 0-1 loss function
6," Oxford University Mobile Robotics Group, Oxford, UK"," Oxford University Mobile Robotics Group, Oxford, UK",Adaptive data compression for robot perception
7," MIT Computer Science and Artificial Intelligence Laboratory, Cambridge, MA"," MIT Computer Science and Artificial Intelligence Laboratory, Cambridge, MA",Active exploration for robust object detection
8," VU University Amsterdam, Amsterdam, The Netherlands"," VU University Amsterdam, Amsterdam, The Netherlands",A framework for longitudinal influence measurement between communication content and social networks
9, Google," Université Paris 6, LIP6, France",WSABIE: scaling up to large vocabulary image annotation
10," Department of Computer Science, University of Toronto, Toronto, Canada"," Department of Computer Science, University of Toronto, Toronto, Canada",Analysis of adjective-noun word pair extraction methods for online review summarization
11," Dept. of Computer Science, National Taiwan University, Taipei, Taiwan"," Dept. of Computer Science, National Taiwan University, Taipei, Taiwan",Large linear classification when data cannot fit in memory
12," Computer Science and Engineering, University of Michigan, Ann Arbor"," Computer Science and Engineering, University of Michigan, Ann Arbor",Solving the multiagent selection and scheduling problem
13," Dipartimento di Ingegneria dell'Informazione, Università di Brescia, Brescia, Italy"," Dipartimento di Ingegneria dell'Informazione, Università di Brescia, Brescia, Italy",Decision support through argumentation-based practical reasoning
14," School of Engineering and Advanced Technology, Massey University, Palmerston North, New Zealand"," School of Engineering and Advanced Technology, Massey University, Palmerston North, New Zealand",Behaviour recognition in smart homes
15," Robotic Embedded Systems Lab, Department of Computer Science, University of Southern California, Los Angeles, California"," Robotic Embedded Systems Lab, Department of Computer Science, University of Southern California, Los Angeles, California",Statement of thesis research: multi-robot sampling strategies for large-scale oceanographic experiments
16," Institute of Control and System Theory, Department of Electrical Engineering and Computer Science, University of Kassel, Germany"," Institute of Control and System Theory, Department of Electrical Engineering and Computer Science, University of Kassel, Germany",Control of robotic systems for safe interaction with human operators
17," Institute of Informatics, Federal University of Rio Grande do Sul, Porto Alegre, RS, Brazil"," Institute of Informatics, Federal University of Rio Grande do Sul, Porto Alegre, RS, Brazil",Combining machine learning and optimization techniques to determine 3-D structures of polypeptides
18," Grupo de Tecnología Informática, Inteligencia Artificial, Departamento de Sistemas Informáticos y Computación, Universitat Politècnica de València, Valencia, Spain"," Grupo de Tecnología Informática, Inteligencia Artificial, Departamento de Sistemas Informáticos y Computación, Universitat Politècnica de València, Valencia, Spain",An agent-oriented software engineering methodology to develop adaptive virtual organizations
19," Federal University of Rio Grande do Sul, Brazil"," Federal University of Rio Grande do Sul, Brazil",Towards social problem-solving with human subjects
20," University of Southern California, Los Angeles, CA"," University of Southern California, Los Angeles, CA",Towards spatial methods for socially assistive robotics: validation with children with autism spectrum disorders
21," Department of Computing Science, University of Alberta, Edmonton, Alberta, Canada"," Department of Computing Science, University of Alberta, Edmonton, Alberta, Canada",Regret minimization in multiplayer extensive games
22," Institute for Logic, Language and Computation, University of Amsterdam"," Institute for Logic, Language and Computation, University of Amsterdam",Combinatorial aggregation
23," Department of Computer Science and Engineering, University of Minnesota"," Department of Computer Science and Engineering, University of Minnesota",Combining spatial and temporal aspects of prediction problems to improve prediction performance
24," Department of Computer Science, University of Kentucky"," Department of Computer Science, University of Kentucky",A decision-theoretic academic advisor
25," University of São Paulo, São Paulo, Brazil"," University of São Paulo, São Paulo, Brazil",Belief revision on computation tree logic
26," IIIA, CSIC, Universitat Autònoma de Barcelona, Bellaterra, Spain"," IIIA, CSIC, Universitat Autònoma de Barcelona, Bellaterra, Spain",Distributed constraint optimization problems related with soft arc consistency
27," Department of Computer Science and Electrical Engineering, University of Maryland Baltimore County, Baltimore, MD"," Department of Computer Science and Electrical Engineering, University of Maryland Baltimore County, Baltimore, MD",A trust and reputation model for supply chain management
28, NICTA and The Australian National University, NICTA and The Australian National University,Graph pruning and symmetry breaking on grid maps
29," Dept of Computer Science and Engineering, University of Washington, Seattle, WA"," Dept of Computer Science and Engineering, University of Washington, Seattle, WA",Towards scalable mdp algorithms
