,first-author-affiliation,last-author-affiliation,title
0," College of Computer, National University of Defense Technology, Changsha, P.R. China and Department of Computing, Hong Kong Polytechnic University, Hong Kong"," Department of Computing, Hong Kong Polytechnic University, Hong Kong",A wikipedia based semantic graph model for topic tracking in blogosphere
1," School of Computer Science and Engineering, Southeast University, China"," State Key Laboratory for Novel Software Technology, Nanjing University, China",Matching large ontologies based on reduction anchors
2," Software and Information Systems Dept., University of North Carolina at Charlotte"," National Key Laboratory for Novel Software Technology, Nanjing University, China",Line orthogonality in adjacency eigenspace with application to community partition
3," Department of Computer Science and Engineering, Hong Kong University of Science and Technology, Hong Kong"," Department of Computer Science and Engineering, Hong Kong University of Science and Technology, Hong Kong",Source-selection-free transfer learning
4," State Key Laboratory of Intelligent Technology and Systems, Tsinghua National Laboratory for Information Science and Technology, Department of Computer Science and Technology, Tsinghua University, Beijing, China"," State Key Laboratory of Intelligent Technology and Systems, Tsinghua National Laboratory for Information Science and Technology, Department of Computer Science and Technology, Tsinghua University, Beijing, China",Predicting epidemic tendency through search behavior analysis
5," Oak Ridge National Laboratory, Oak Ridge, Tennessee"," Department of Computer Science, The University of Hong Kong, Hong Kong S.A.R., P.R. China",Mining user dwell time for personalized web search re-ranking
6," Institute of Industrial Science, The University of Tokyo, Japan"," Institute of Industrial Science, The University of Tokyo, Japan",Efficient searching top-k semantic similar words
7," University of Ottawa, Ottawa, Canada"," University of Ottawa, Ottawa, Canada","Recommender systems from ""words of few mouths"""
8," Institut de Robòtica i Informàtica Industrial, CSIC-UPC, Barcelona, Spain"," Bernstein Center for Computational Neuroscience, Göttingen, Germany",Integrating task planning and interactive learning for robots to work in human environments
9," Department of Information Systems Engineering, Faculty of Engineering Sciences, Ben-Gurion University of the Negev, Israel"," Department of Information Systems Engineering, Faculty of Engineering Sciences, Ben-Gurion University of the Negev, Israel",Plan recognition in virtual laboratories
10, Fondazione Bruno Kessler, Fondazione Bruno Kessler,A comprehensive approach to on-board autonomy verification and validation
11," Computer Science and Artificial Intelligence Laboratory, Massachusetts Institute of Technology"," Computer Science and Artificial Intelligence Laboratory, Massachusetts Institute of Technology",Non-linear Monte-Carlo search in civilization II
12," School of Computing, University of Leeds, Leeds, United Kingdom"," School of Computing, University of Leeds, Leeds, United Kingdom",Buried utility pipeline mapping based on multiple spatial data sources: a bayesian data fusion approach
