,first-author-affiliation,last-author-affiliation,title
0," Department of Computer Science, University of Rochester, Rochester, NY"," Department of Computer Science, University of Rochester, Rochester, NY",Recognizing multi-agent activities from GPS data
1," NICTA & ANU, Canberra, Australia"," Fraunhofer IAIS, Sankt Augustin, Germany",Symbolic dynamic programming for first-order POMDPs
2," Intel Corporation, Intel Labs, Santa Clara"," Computer Science Department, University of Massachusetts, Amherst",Compressing POMDPs using locality preserving non-negative matrix factorization
3," Department of Computer Science, Tufts University, Medford, MA"," Department of Computer Science, Tufts University, Medford, MA",Relational partially observable MDPs
4," Dept. of Computer Science, University of Toronto, Toronto, ON, Canada"," Dept. of Computer Science, University of Toronto, Toronto, ON, Canada",Simultaneous elicitation of preference features and utility
5," Dept of Computer Science and Engineering, University of Washington, Seattle, WA"," Dept of Computer Science and Engineering, University of Washington, Seattle, WA",Decision-theoretic control of crowd-sourced workflows
6," Department of Computer Science, University of California, Los Angeles, Los Angeles, CA"," Department of Computer Science, University of California, Los Angeles, Los Angeles, CA",Respecting markov equivalence in computing posterior probabilities of causal graphical features
7," Knowledge Dicovery Department, Fraunhofer IAIS, Sankt Augustin, Germany"," Knowledge Dicovery Department, Fraunhofer IAIS, Sankt Augustin, Germany",Informed lifting for message-passing
8," Department of Computer Science and Engineering, University of Washington, Seattle, WA"," Department of Computer Science and Engineering, University of Washington, Seattle, WA",Efficient belief propagation for utility maximization and repeated inference
9," Department of Computer Science and Engineering, University of Washington, Seattle, WA"," Department of Computer Science and Engineering, University of Washington, Seattle, WA",Efficient lifting for online probabilistic inference
10," Department of Information and Computer Science, University of California, Irvine"," Department of Information and Computer Science, University of California, Irvine",New mini-bucket partitioning heuristics for bounding the probability of evidence
11," New Mexico State University, Department of Computer Science"," New Mexico State University, Department of Computer Science",On the use of prime implicates in conformant planning
12," School of Electronics and Computer Science, University of Southampton, Southampton, UK"," School of Electronics and Computer Science, University of Southampton, Southampton, UK",ε-first policies for budget-limited multi-armed bandits
13," Department of Computer Science, Katholieke Universiteit Leuven, Celestijnenlaan, B-3001 Heverlee, Belgium"," Department of Computer Science, Katholieke Universiteit Leuven, Celestijnenlaan, B-3001 Heverlee, Belgium",DTPROBLOG: a decision-theoretic probabilistic prolog
14, Nicola Gatti," Dipartimento di Elettronica e Informazione, Politecnico di Milano, Milano, Italy",Asynchronous multi-robot patrolling against intrusions in arbitrary topologies
15," Department of Mechanical Engineering and Applied Mechanics, University of Pennsylvania, Philadelphia, PA"," Department of Computer and Information Science, University of Pennsylvania, Philadelphia, PA",Search-based path planning with homotopy class constraints
16,,,Design and implementation of two-level synchronization for interactive music robot
17," Department of Computer Science, University of North Carolina at Chapel Hill"," Department of Computer Science, University of North Carolina at Chapel Hill",g-Planner: real-time motion planning and global navigation using GPUs
18," Department of Electrical and Computer Engineering, Carnegie Mellon University, Pittsburgh, PA"," The Robotics Institute, Carnegie Mellon University, Pittsburgh, PA",A single-step maximum a posteriori update for bearing-only SLAM
19," IIIA, Institut d'Investigació en Intel.ligència Artificial, CSIC, Consejo Superior de Investigaciones Científicas, Campus UAB, Bellaterra, Spain"," IIIA, Institut d'Investigació en Intel.ligència Artificial, CSIC, Consejo Superior de Investigaciones Científicas, Campus UAB, Bellaterra, Spain",Saving redundant messages in BnB-ADOPT
20," Charles University in Prague, Faculty of Mathematics and Physics, Department of Theoretical Computer Science and Mathematical Logic, Praha 1, Czech Republic"," Charles University in Prague, Faculty of Mathematics and Physics, Department of Theoretical Computer Science and Mathematical Logic, Praha 1, Czech Republic",An optimization variant of multi-robot path planning is intractable
21," Department of Computer Science and Engineering, University of Texas at Arlington, Arlington, TX"," Department of Computer Science and Engineering, University of Texas at Arlington, Arlington, TX",Multi-label classification: inconsistency and class balanced K-nearest neighbor
22," Institut für Informatik/I12, TU München, München, Germany"," Department of Computer Science, University of Waikato, Hamilton, New Zealand",Fast conditional density estimation for quantitative structure-activity relationships
23," Information Engineering and Computer Science Department, University of Trento - Via Sommarive, Trento - Italy"," Information Engineering and Computer Science Department, University of Trento - Via Sommarive, Trento - Italy",Predicting structural and functional sites in proteins by searching for maximum-weight cliques
24," Computing Science Department, University of Alberta, Edmonton, Alberta, Canada"," Computing Science Department, University of Alberta, Edmonton, Alberta, Canada",A cross-entropy method that optimizes partially decomposable problems: a new way to interpret NMR spectra
25," Computer Science, University of Missouri, Columbia, Missouri"," Computer Science, University of Missouri, Columbia, Missouri",A fast heuristic search algorithm for finding the longest common subsequence of multiple strings
26," Department of Computer Science, University of Minnesota", Northwestern University,GTPA: a generative model for online mentor-apprentice networks
27, Computer Science and Engineering," Computer Science and Engineering and Information Sciences and Technology, The Pennsylvania State University, University Park, PA",Adopting inference networks for online thread retrieval
28," School of Computer Science, Carnegie Mellon University, Pittsburgh, PA"," School of Computer Science, Carnegie Mellon University, Pittsburgh, PA",Toward an architecture for never-ending language learning
29," Department of Computer Science and Engineering, Shanghai Jiao Tong University, Shanghai, China"," Department of Computer Science and Engineering, Hong Kong University of Science and Technology, Hong Kong",Visual contextual advertising: bringing textual advertisements to images
