,first-author-affiliation,last-author-affiliation,title
0," Department of Computer Science, University of Southern California, Los Angeles, CA"," Department of Computer Science, University of Southern California, Los Angeles, CA",Sequential incremental-value auctions
1," School of Engineering and Applied Sciences, Harvard University"," School of Engineering and Applied Sciences, Harvard University",Tolerable manipulability in dynamic assignment without money
2," School of Computer Science, Reykjavík University"," School of Computer Science, Reykjavík University",Learning simulation control in general game-playing agents
3," University of Washington, Seattle, WA"," Microsoft Research, Redmond, WA",User-specific learning for recognizing a singer's intended pitch
4," College of Computer Science, Chongqing University, China"," College of Computer Science, Chongqing University, China",A computational model for saliency maps by using local entropy
5," Mechanical Engineering Department, University of California, Riverside, California"," Computer Science Department, Harvey Mudd College, Claremont, California",Grouping strokes into shapes in hand-drawn diagrams
6," Department of Computer Science, Dresden University of Technology"," Department of Computer Science, Dresden University of Technology",Symmetry detection in general game playing
7," Carnegie Mellon University, Pittsburgh, PA"," Microsoft Research, One Microsoft Way, Redmond, WA",Generalized task markets for human and machine computation
8," School of Computer Science and Engineering, The University of New South Wales, Australia"," School of Computer Science and Engineering, The University of New South Wales, Australia",A general game description language for incomplete information games
9," School of Computer Science and Engineering, The University of New South Wales, Australia"," Department of Computer Science, Dresden University of Technology, Germany",A temporal proof system for general game playing
10, College of Information Sciences and Technology, College of Information Sciences and Technology,What is an opinion about? exploring political standpoints using opinion scoring model
11, Columbia University, Columbia University,Automatic attribution of quoted speech in literary narrative
12," School of Computing, University of Utah"," School of Computing, University of Utah",Kernelized sorting for natural language processing
13," Graduate School of Information Science and Technology, Hokkaido University, Kita-ku, Sapporo, Japan"," Graduate School of Information Science and Technology, Hokkaido University, Kita-ku, Sapporo, Japan",CAO: a fully automatic emoticon analysis system
14, University of Central Florida, University of Central Florida,Extracting ontological selectional preferences for non-pertainym adjectives from the google corpus
15," Key Lab. of Intelligent Information Processing, Institute of Computing Technology, Chinese Academy of Sciences, Beijing, China"," Key Lab. of Intelligent Information Processing, Institute of Computing Technology, Chinese Academy of Sciences, Beijing, China",Forest-based semantic role labeling
16," Information Systems Laboratory, Department of Systems Engineering & Engineering Management, The Chinese University of Hong Kong, Shatin, N.T., Hong Kong"," Information Systems Laboratory, Department of Systems Engineering & Engineering Management, The Chinese University of Hong Kong, Shatin, N.T., Hong Kong",Bidirectional integration of pipeline models
17," Department of Computer Science, University of Massachusetts, Amherst, MA"," Department of Computer Science, University of Massachusetts, Amherst, MA",Finite-state controllers based on mealy machines for centralized and decentralized POMDPs
18," School of Computing, University of Southern Mississippi, Hattiesburg, MS"," Dept of Mathematics, University of Southern Mississippi, Hattiesburg, MS",Multi-agent plan recognition: formalization and algorithms
19," School of Computer Science, McGill University, Montreal, QC, Canada"," School of Computer Science, McGill University, Montreal, QC, Canada",Using bisimulation for policy transfer in MDPs
20," Faculty of Industrial Engineering & Management, Technion, Israel"," Faculty of Computer Science, Technion, Israel",To max or not to max: online learning for speeding up optimal planning
21," School of Computing, National University of Singapore, Singapore"," School of Computing, National University of Singapore, Singapore",An analytic characterization of model minimization in factored markov decision processes
22," Department of Computer Science, Stanford University, Stanford, CA"," Department of Computer Science, The University of Texas at Austin, Austin, TX",Using closed captions as supervision for video activity recognition
23," Massachusetts Institute of Technology, Cambridge, MA"," Massachusetts Institute of Technology, Cambridge, MA",PUMA: planning under uncertainty with macro-actions
24," INRIA, Nancy, France"," SAP, Walldorf, Germany",SAP speaks PDDL
25," Graduate School for Integrative Sciences & Engineering, National University of Singapore, Singapore"," Department of Computer Science, National University of Singapore, Singapore",Structured parameter elicitation
26," Department of Computer Science and Engineering, University of Washington, Seattle, WA"," Department of Computer Science and Engineering, University of Washington, Seattle, WA",SixthSense: fast and reliable recognition of dead ends in MDPs
27," Knexus Research Corporation; Springfield, VA"," Navy Center for Applied Research in Artificial Intelligence; Naval Research Laboratory; Washington, DC",Planning in dynamic environments: extending HTNs with nonlinear continuous effects
28," Universitat Pompeu Fabra, Barcelona, Spain"," ICREA & Universitat Pompeu Fabra, Barcelona, Spain",Probabilistic plan recognition using off-the-shelf classical planners
29," University of Toronto, Toronto, Ontario, Canada"," University of Toronto, Toronto, Ontario, Canada",Robust policy computation in reward-uncertain MDPs using nondominated policies
