,first-author-affiliation,last-author-affiliation,title
0, Lafayette College, The University of Texas at Austin,Evolving compiler heuristics to manage communication and contention
1," Department of Computer Science, University of British Columbia, Vancouver, B.C., Canada"," Department of Computer Science, University of British Columbia, Vancouver, B.C., Canada",Comparing position auctions computationally
2," Cavendish Laboratory, University of Cambridge, JJ Thomson Avenue, Cambridge, UK"," Cavendish Laboratory, University of Cambridge, JJ Thomson Avenue, Cambridge, UK",Intelligently aiding human-guided correction of speech recognition
3," School of Engineering and Applied Siences, Wyss Institute for Biologically-Inspired Engineering, Harvard University"," School of Engineering and Applied Siences, Wyss Institute for Biologically-Inspired Engineering, Harvard University",Biologically-inspired control for multi-agent self-adaptive tasks
4," ICREA & Universitat Pompeu Fabra, Barcelona, Spain"," ICREA & Universitat Pompeu Fabra, Barcelona, Spain",The model-based approach to autonomous behavior: a personal view
5," University of Southern California, Computer Science"," Georgia Institute of Technology, Industrial and Systems Engineering",Progress on agent coordination with cooperative auctions
6," Department of Computer Science, University of Massachusetts, Amherst, MA"," Department of Computer Science, University of Massachusetts, Amherst, MA",Representation discovery in sequential decision making
7," Mobile Robotics Lab, Department of Computer Science, SIU Edwardsville, Edwardsville, IL"," Mobile Robotics Lab, Department of Computer Science, SIU Edwardsville, Edwardsville, IL",A distributed method for evaluating properties of a robot formation
8," Department of Software and Information Systems, The University of North Carolina at Charlotte, Charlotte, NC"," Department of Computer Science, University of Massachusetts Amherst, Amherst, MA",Towards multiagent meta-level control
9," Faculty of Engineering and Natural Sciences, Sabanci University, Istanbul, Turkey"," Faculty of Engineering and Natural Sciences, Sabanci University, Istanbul, Turkey",Finding semantic inconsistencies in UMLS using answer set programming
10," Institute of Informatics, Federal University of Rio Grande do Sul, Brazil"," Department of Informatics, Federal University of Pelotas, Brazil",Combining human reasoning and machine computation: towards a memetic network solution to satisfiability
11," Developmental Robotics Laboratory, Department of Electrical and Computer Engineering, Iowa State University"," Developmental Robotics Laboratory, Department of Electrical and Computer Engineering, Iowa State University",Interactive categorization of containers and non-containers by unifying categorizations derived from multiple exploratory behaviors
12," Department of Computer Science and Electrical Engineering, University of Maryland Baltimore County"," Department of Computer Science and Electrical Engineering, University of Maryland Baltimore County",A trust model for supply chain management
13," Department of Computer Science, Montclair State University, Montclair, NJ"," Department of Computer Science, Montclair State University, Montclair, NJ and Department of Linguistics, Montclair State University, Montclair, NJ",Intelligent time-aware query translation for text sources
14," Department of Computer Engineering, Istanbul Technical University, Istanbul, Turkey"," Department of Computer Engineering, Istanbul Technical University, Istanbul, Turkey",Temporal planning for interacting durative actions with continuous effects
15," Computer Science Department, University of Massachusetts Amherst"," Computer Science Department, University of Massachusetts Amherst",Control model learning for whole-body mobile manipulation
16," University of Connecticut, Storrs, CT"," University of Connecticut, Storrs, CT",Towards interesting patterns of hard CSPs with functional constraints
17," School of Computer Science, Carnegie Mellon University, Pittsburgh, PA"," School of Computer Science, Carnegie Mellon University, Pittsburgh, PA",Integrating transfer learning in synthetic student
18," School of Computer Science and Information Engineering, Hefei University of Technology, Anhui, China"," School of Computer Science and Information Engineering, Hefei University of Technology, Anhui, China",Learning from concept drifting data streams with unlabeled data
19," Department of Computer Science, University of Vermont"," Department of Computer Science, University of Vermont",A phrase-based method for hierarchical clustering of web snippets
20," Mobile Robotics Lab, Department of Computer Science, SIU Edwardsville, Edwardsville, IL"," Mobile Robotics Lab, Department of Computer Science, SIU Edwardsville, Edwardsville, IL",Distributed auction-based initialization of mobile robot formations
21," The University of Texas at Dallas, Richardson, TX"," The University of Texas at Dallas, Richardson, TX",Materializing inferred and uncertain knowledge in RDF datasets
22," Computer Science and Engineering, University of Michigan Ann Arbor, MI"," Computer Science and Engineering, University of Michigan Ann Arbor, MI",Relational reinforcement learning in infinite mario
23," University of Massachusetts Amherst, Amherst, MA"," University of Massachusetts Amherst, Amherst, MA",Evolved intrinsic reward functions for reinforcement learning
24," University of Windsor, Windsor, Ontario, Canada"," University of Windsor, Windsor, Ontario, Canada",Team formation with heterogeneous agents in computer games
25," Department of Computer Science, University of Maryland, College Park, MD"," Department of Computer Science, University of Maryland, College Park, MD",Semantic search in linked data: opportunities and challenges
26," Department of Electrical and Computer Engineering, Rutgers University, Piscataway, NJ"," Department of Electrical and Computer Engineering, Rutgers University, Piscataway, NJ",Task space behavior learning for humanoid robots using gaussian mixture models
27," Faculty of Engineering and Natural Sciences, Sabanci University, Istanbul, Turkey"," Faculty of Engineering and Natural Sciences, Sabanci University, Istanbul, Turkey",Genome rearrangement: a planning approach
28," Developmental Robotics Laboratory, Department of Electrical and Computer Engineering, Iowa State University"," Developmental Robotics Laboratory, Department of Electrical and Computer Engineering, Iowa State University",Toward learning to press doorbell buttons
29," MOE KLINNS Lab and SKLMS Lab, Xi'an Jiaotong University, Xi'an, P.R.China"," MOE KLINNS Lab and SKLMS Lab, Xi'an Jiaotong University, Xi'an, P.R.China",Learning to surface deep web content
