,first-author-affiliation,last-author-affiliation,title
0," Information School, University of Washington"," Computational Mathematics and Cybernetics, Moscow State University",Optimal strategies for reviewing search results
1," Information Sciences and Technology, Pennsylvania State University, University Park, PA"," Yahoo! Research, New York, NY",Prioritization of domain-specific web information extraction
2," Yahoo Labs, Sunnyvale, CA"," Yahoo Labs, Sunnyvale, CA",Session based click features for recency ranking
3," Pennsylvania State University University Park, PA"," Pennsylvania State University University Park, PA",Utilizing context in generative bayesian models for linked corpus
4," Indian Institute of Technology Bombay, Powai, Mumbai, India"," Indian Institute of Technology Bombay, Powai, Mumbai, India",PR + RQ ≈ PQ: transliteration mining using bridge language
5," Concordia University, Canada"," University of Namur, Belgium",On the reputation of agent-based web services
6, Pohang University of Science and Technology, Hong Kong University of Science and Technology,Towards an intelligent code search engine
7," Department of Electronics and Informatics, Ryukoku University, Otsu, Japan"," Institute of Scientific and Industrial Research, Osaka University, Osaka, Japan",Learning to predict opinion share in social networks
8," State Key Laboratory of Intelligent Technology and Systems, Tsinghua National Laboratory for Information Science and Technology, Department of Computer Science and Technology, Tsinghua University, Beijing, China"," State Key Laboratory of Intelligent Technology and Systems, Tsinghua National Laboratory for Information Science and Technology, Department of Computer Science and Technology, Tsinghua University, Beijing, China",Sentiment analysis with global topics and local dependency
9," Department of Computing, Macquarie University, Sydney, NSW, Australia"," Department of Computing, Macquarie University, Sydney, NSW, Australia",Subjective trust inference in composite services
10," Department of Computer Science and Engineering, University of Washington, Seattle, WA"," Department of Computer Science and Engineering, University of Washington, Seattle, WA",Temporal information extraction
11," Department of Computing, Macquarie University, NSW, Australia"," Department of Computing, Macquarie University, NSW, Australia",Optimal social trust path selection in complex social networks
12," Department of Computer Science and Engineering, The Chinese University of Hong Kong, Shatin, N.T., Hong Kong"," Department of Computer Science and Engineering, The Chinese University of Hong Kong, Shatin, N.T., Hong Kong",Diversifying query suggestion results
13," The University of Texas at Dallas, Richardson, TX"," The University of Texas at Dallas, Richardson, TX",Materializing and persisting inferred and uncertain knowledge in RDF datasets
14," KR & KM Research Group, Universität Mannheim, Germany"," KR & KM Research Group, Universität Mannheim, Germany",A probabilistic-logical framework for ontology matching
15," Microsoft Research, One Microsoft Way, Redmond, WA"," Indian Institute of Technology Kanpur, Kanpur, Uttar Pradesh, India",Predicting the importance of newsfeed posts and social network friends
16," Media Solution Center, Samsung Electronics, Suwon-Si, Gyeonggi-Do, Korea"," Media Solution Center, Samsung Electronics, Suwon-Si, Gyeonggi-Do, Korea",Extraction and visualization of implicit social relations on social networking services
17," Oxford University Computing Laboratory Wolfson Building, Parks Road, Oxford, UK"," Oxford University Computing Laboratory Wolfson Building, Parks Road, Oxford, UK",How incomplete is your semantic web reasoner? systematic analysis of the completeness of query answering systems
18," ISTI - CNR Pisa, Italy"," Digital Enterprise Research Institute, National University of Ireland, Galway",A general framework for representing and reasoning with annotated semantic web data
19," Department of Computer Science, Rensselaer Polytechnic Institute, Troy, NY"," Department of Computer Science, Rensselaer Polytechnic Institute, Troy, NY",Integrity constraints in OWL
20," Southwestern University of Finance and Economics, China"," Southwestern University of Finance and Economics, China",News recommendation in forum-based social media
21," College of Computer Science, Zhejiang University, Hangzhou, China"," Zhejiang Health Information Center, Hangzhou, China",Modeling dynamic multi-topic discussions in online forums
22," Department of Computer Science, Yale University, New Haven, Connecticut and Department of Computer Science, The University of Hong Kong, Hong Kong, P.R. China"," Department of Computer Science, The University of Hong Kong, Hong Kong, P.R. China",Keyword extraction and headline generation using novel word features
23," Institute of Industrial Science, The University of Tokyo, Japan"," Institute of Industrial Science, The University of Tokyo, Japan",Fast algorithms for top-k approximate string matching
24," Department of Computer Science and Technology, Key Lab of High Confidence Software Technologies (Ministry of Education), Peking University"," Department of Computer Science and Technology, Key Lab of High Confidence Software Technologies (Ministry of Education), Peking University",Temporal and social context based burst detection from folksonomies
25," Department of Computer Science and Information Engineering, National Taiwan University, Taiwan (R.O.C)"," Department of Computer Science and Information Engineering, National Taiwan University, Taiwan (R.O.C)",Commonsense knowledge mining from the web
26," Department of Computer Science and Engineering, The Chinese University of Hong Kong, Shatin, N.T., Hong Kong"," Department of Computer Science and Engineering, The Chinese University of Hong Kong, Shatin, N.T., Hong Kong",UserRec: a user recommendation framework in social tagging systems
27," Cork Constraint Computation Centre, Department of Computer Science, University College Cork, Ireland"," Cork Constraint Computation Centre, Department of Computer Science, University College Cork, Ireland",Automated modelling and solving in constraint programming
28," School of Engineering & Applied Sciences, Harvard University, Cambridge, MA"," School of Engineering & Applied Sciences, Harvard University, Cambridge, MA",Hidden market design
29, U. of Texas at Austin, Hebrew U.,Ad hoc autonomous agent teams: collaboration without pre-coordination
