,Unnamed: 0,first-author,first-author-gender,first-author-affiliation,last-author,last-author-gender,last-author-affiliation,title
131,131,Kamil Nar,Male,"University of California, Berkeley",Shankar Sastry,Male,"Department of EECS, UC Berkeley",Step Size Matters in Deep Learning.
132,132,Arthur Jacot-Guillarmod,Male,EPFL,Franck Gabriel,Male,EPFL,Neural Tangent Kernel: Convergence and Generalization in Neural Networks.
133,133,Shibani Santurkar,Male,MIT,Aleksander Madry,Male,MIT,How Does Batch Normalization Help Optimization?.
134,134,Tianyu Pang,Male,Tsinghua University,Jun Zhu,Male,Tsinghua University,Towards Robust Detection of Adversarial Examples.
135,135,Zhouyuan Huo,Male,University of Pittsburgh,Heng Huang,Male,University of Pittsburgh,Training Neural Networks Using Features Replay.
136,136,Lionel Gueguen,Male,UBER,Jason Yosinski,Male,Uber AI Labs; Recursion,Faster Neural Networks Straight from JPEG.
137,137,Chang Xiao,Male,Columbia University,Changxi Zheng,Male,Columbia University,BourGAN: Generative Networks with Metric Embeddings.
138,138,Matthew O'Kelly,Male,University of Pennsylvania,John Duchi,Male,Stanford,Scalable End-to-End Autonomous Vehicle Testing via Rare-event Simulation.
139,139,Aran Nayebi,Male,Stanford University,Daniel Yamins,Male,Stanford University,Task-Driven Convolutional Recurrent Models of the Visual System.
140,140,Nan Ke,Female,"MILA, University of Montreal",Yoshua Bengio,Male,U. Montreal,Sparse Attentive Backtracking: Temporal Credit Assignment Through Reminding.
141,141,Fabian Sinz,Male,University Tübingen,Andreas Tolias,Male,Baylor College of Medicine,Stimulus domain transfer in recurrent models for large scale cortical population prediction on video.
142,142,Naman Agarwal,Male,princeton,Brendan McMahan,Male,Google,cpSGD: Communication-efficient and differentially-private distributed SGD.
143,143,Rafael Frongillo,Male,CU Boulder,Bo Waggoner,Male,Microsoft,Bounded-Loss Private Prediction Markets.
144,144,Gabriele Farina,Male,Carnegie Mellon University,Tuomas Sandholm,Male,Carnegie Mellon University,Ex ante coordination and collusion in zero-sum multi-player extensive-form games.
145,145,Raef Bassily,Male,The Ohio State University,Om Thakkar,Male,Boston University,Model-Agnostic Private Learning.
146,146,Ludwig Schmidt,Male,MIT,Aleksander Madry,Male,MIT,Adversarially Robust Generalization Requires More Data .
147,147,Tolga Birdal,Male,Technical University of Munich,Slobodan Ilic,Male,Siemens AG,Bayesian Pose Graph Optimization via Bingham Distributions and Tempered Geodesic MCMC.
148,148,Rudrasis Chakraborty,Male,University of Florida,Baba C Vemuri,Male,"University of Florida, USA",A Statistical Recurrent Model on the Manifold of Symmetric Positive Definite Matrices.
149,149,Longquan Dai,Male,Nanjing University of Science and Technology,Jinhui Tang,Male,Nanjing University of Science and Technology,Designing by Training: Acceleration Neural Network for Fast High-Dimensional Convolution.
150,150,Stanislav Pidhorskyi,Male,Lane Department of Computer Science and Electrical Engineering of West Virginia University,Gianfranco Doretto,Male,West Virginia University,Generative Probabilistic Novelty Detection with Adversarial Autoencoders.
151,151,Zhisheng Zhong,Male,Peking University,Chao Zhang,Male,Peking University,Joint Sub-bands Learning with Clique Structures for Wavelet Domain Super-Resolution.
152,152,Kaiyu Yue,Male,Baidu Inc.,Fuxin Xu,Male,Central South University,Compact Generalized Non-local Network.
153,153,Maciej Zieba,Male,"Wroclaw University of Science and Technology, Tooploox",Tomasz Trzcinski,Male,Tooploox / Warsaw University of Technology,BinGAN: Learning Compact Binary Descriptors with a Regularized GAN.
154,154,Thu Nguyen-Phuoc,Male,University of Bath,Yongliang Yang,Male,University of Bath,RenderNet: A deep convolutional network for differentiable rendering from 3D shapes.
155,155,Yuki Ono,Male,SONY,Kwang Yi,Male,University of Victoria,LF-Net: Learning Local Features from Images.
156,156,Eldar Insafutdinov,Male,Max Planck Institute for Informatics,Alexey Dosovitskiy,Male,Intel Labs,Unsupervised Learning of Shape and Pose with Differentiable Point Clouds.
157,157,Edward Smith,Male,McGill University,David Meger,Male,University of British Columbia,Multi-View Silhouette and Depth Decomposition for High Resolution 3D Object Representation.
158,158,Yi Wang,Male,Chinese University of Hong Kong,Jiaya Jia,Male,CUHK,Image Inpainting via Generative Multi-column Convolutional Neural Networks.
159,159,Abhishek Sharma,Male,Navinfo Europe Research,Abhishek Sharma,Male,Navinfo Europe Research,Foreground Clustering for Joint Segmentation and Localization in Videos and Images.
160,160,Sanghyun Woo,Male,KAIST,In So Kweon,Male,KAIST,LinkNet: Relational Embedding for Scene Graph.
161,161,Donghoon Lee,Male,Seoul National University,Jan Kautz,Male,NVIDIA,Context-aware Synthesis and Placement of Object Instances.
162,162,Ricson Cheng,Male,Carnegie Mellon University,Katerina Fragkiadaki,Female,Carnegie Mellon University,Geometry-Aware Recurrent Neural Networks for Active Visual Recognition.
163,163,Shice Liu,Male,"Institute of Computing Technology, Chinese Academy of Sciences",Xiaowei Li,Male,"Institute of Computing Technology, Chinese Academy of Sciences",See and Think: Disentangling Semantic Scene Completion.
164,164,Xin Yang,Male,Dalian University of Technology,Rynson Lau,Male,City University of Hong Kong,Active Matting.
165,165,Alexander H. Liu,Male,National Taiwan University,Yu-Chiang Frank Wang,Male,National Taiwan University,A Unified Feature Disentangler for Multi-Domain Image Translation and Manipulation.
166,166,Qiuyuan Huang,Male,Microsoft Research AI,Lei Zhang,Male,Microsoft Research,Turbo Learning for CaptionBot and DrawingBot.
167,167,Xiaoxiao Guo,Male,IBM Research,Rogerio Feris,Male,IBM Research AI,Dialog-based Interactive Image Retrieval.
168,168,lu Qi,Male,The Chinese University of Hong Kong,Jiaya Jia,Male,CUHK,Sequential Context Encoding for Duplicate Removal.
169,169,ChenHan Jiang,Male,Sun Yat-sen University,Liang Lin,Male,Sun Yat-Sen University,Hybrid Knowledge Routed Modules for Large-scale Object Detection.
170,170,Taylor Mordan,Male,"Sorbonne Université, LIP6",Matthieu Cord,Male,Sorbonne University,Revisiting Multi-Task Learning with ROCK: a Deep Residual Auxiliary Block for Visual Detection.
171,171,Tong Yang,Male,"Megvii(Face++),Fudan University",Jian Sun,Male,"Megvii, Face++",MetaAnchor: Learning to Detect Objects with Customized Anchors.
172,172,Yixiao Ge,Male,The Chinese University of Hong Kong,hongsheng Li,Male,cuhk,FD-GAN: Pose-guided Feature Distilling GAN for Robust Person Re-identification.
173,173,Zijun Wei,Male,Stony Brook University,Dimitris Samaras,Male,Stony Brook University,Sequence-to-Segment Networks for Segment Detection.
174,174,yunlong yu,Male,Tianjin University,Zhongfei (Mark) Zhang,Male,Binghamton University,Stacked Semantics-Guided Attention Model for Fine-Grained Zero-Shot Learning.
175,175,Runsheng Yu,Male,"Xiaomi Intelligent Technology Co., Ltd",Bo Zhang,Male,Xiaomi Corp.,DeepExposure: Learning to Expose Photos with Asynchronously Reinforced Adversarial Learning.
