,Unnamed: 0,first-author,first-author-gender,first-author-affiliation,last-author,last-author-gender,last-author-affiliation,title
219,219,Jiayu Zhou,Male,Arizona State University,Jieping Ye,Male,Arizona State University,Clustered Multi-Task Learning Via Alternating Structure Optimization.
220,220,Yoonho Hwang,Male,POSTECH,Hee-Kap Ahn,Male,POSTECH,Convergent Bounds on the Euclidean Distance.
221,221,Jia Deng,Male,Princeton University,Li Fei-Fei,Female,Stanford University,Fast and Balanced: Efficient Label Tree Learning for Large Scale Object Recognition.
222,222,Lei Yuan,Female,Arizona State University,Jieping Ye,Male,Arizona State University,Efficient Methods for Overlapping Group Lasso.
223,223,Flavio Chierichetti,Male,Sapienza University,David Liben-Nowell,Male,Carleton College,Reconstructing Patterns of Information Diffusion from Incomplete Observations.
224,224,Nicolas Boumal,Male,EPFL,Pierre-Antoine Absil,Male,U.C.Louvain,RTRMC: A Riemannian trust-region method for low-rank matrix completion.
225,225,Samory Kpotufe,Male,Princeton University,Samory Kpotufe,Male,Princeton University,k-NN Regression Adapts to Local Intrinsic Dimension.
226,226,Ali Jalali,Male,University of Texas at Austin,Pradeep Ravikumar,Male,Carnegie Mellon University,On Learning Discrete Graphical Models using Greedy Methods.
227,227,Phillip Isola,Male,Massachusetts Institute of Technology,Aude Oliva,Female,MIT,Understanding the Intrinsic Memorability of Images.
228,228,Mona Eberts,Female,University of Stuttgart,Ingo Steinwart,Male,University of Stuttgart,Optimal learning rates for least squares SVMs using Gaussian kernels.
229,229,Kenji Fukumizu,Male,Institute of Statistical Mathematics / Preferred Networks / RIKEN AIP,Arthur Gretton,Male,"Gatsby Unit, UCL",Kernel Bayes' Rule.
230,230,Adrian Ion,Male,TU Wien & IST Austria,Cristian Sminchisescu,Male,Lund University/Google,Probabilistic Joint Image Segmentation and Labeling.
231,231,Dmitry Pidan,Male,Technion,Ran El-Yaniv,Male,Technion & Google,Selective Prediction of Financial Trends with Hidden Markov Models.
232,232,Mladen Kolar,,University of Chicago,Aarti Singh,Male,CMU,Minimax Localization of Structural Information in Large Noisy Matrices.
233,233,yan karklin,Male,Knewton,Eero Simoncelli,Male,FlatIron Institute / New York University,Efficient coding with a population of Linear-Nonlinear neurons.
234,234,Kamil A Wnuk,Male,"University of California, Los Angeles",Stefano Soatto,Male,UCLA,Multiple Instance Filtering.
235,235,Alekh Agarwal,Male,Microsoft Research,John Duchi,Male,UC Berkeley,Distributed Delayed Stochastic Optimization.
236,236,Yasin Abbasi Yadkori,Male,DeepMind,Csaba Szepesvari,Male,DeepMind / University of Alberta,Improved Algorithms for Linear Stochastic Bandits.
237,237,Martin O Larsson,Male,Operations Research and Information Engineering / Cornell University,Johan Ugander,Male,Stanford University,A concave regularization technique for sparse mixture models.
238,238,Pannagadatta K Shivaswamy,Male,Cornell University,Tony Jebara,Male,Spotify,Variance Penalizing AdaBoost.
