,first-author-affiliation,last-author-affiliation,title
0," The University of Western Sydney, Australia"," The University of New South Wales, Australia",A logic for reasoning about game strategies
1," School of Computing, Engineering and Mathematics, University of Western Sydney, Penrith, NSW, Australia"," Department of Computing Science, University of Alberta, Edmonton, Canada",Existential rule languages with finite chase: complexity and expressiveness
2," School of Information Technologies, University of Sydney NSW, Australia"," School of Information Technologies, University of Sydney NSW, Australia",Variational inference for nonparametric bayesian quantile regression
3," Centre for Pattern Recognition and Data Analytics Deakin University, Australia"," Centre for Pattern Recognition and Data Analytics Deakin University, Australia",Sample-targeted clinical trial adaptation
4," Northeastern University, Charles Stark Draper Laboratory"," Northeastern University, Boston, MA",A sparse combined regression-classification formulation for learning a physiological alternative to clinical post-traumatic stress disorder scores
5," Institute for Systems Biology, Jianghan University, Wuhan, Hubei, China and Department of Computer Science and Engineering, Washington University in St. Louis, St. Louis, MO"," Department of Computer Science and Engineering, Washington University in St. Louis, St. Louis, MO and Institute for Systems Biology, Jianghan University, Wuhan, Hubei, China",Marginalized denoising for link prediction and multi-label learning
6," National Key Laboratory for Novel Software Technology, Nanjing University, Nanjing, China"," National Key Laboratory for Novel Software Technology, Nanjing University, Nanjing, China",Structured sparsity with group-graph regularization
7," Computer Science and Engineering, Arizona State University"," Computer Science and Engineering, Arizona State University",Content-aware point of interest recommendation on location-based social networks
8, University of British Columbia, University of British Columbia,Constructing models of user and task characteristics from eye gaze data for user-adaptive information highlighting
9," Department of Computer Science and Engineering, Texas A&M University"," Initiative for Digital Humanities, Media, and Culture, Texas A&M University",Automatic assessment of OCR quality in historical documents
10," Culture Lab, Digital Interaction Group, Newcastle University, UK"," Culture Lab, Digital Interaction Group, Newcastle University, UK",PD disease state assessment in naturalistic environments using deep learning
11," Department of Computing and Information Systems, The University of Melbourne, Australia and Victoria Research Laboratory, National ICT Australia"," Department of Computing and Information Systems, The University of Melbourne, Australia",Identifying at-risk students in massive open online courses
12," Department of Computer and Software Engineering, École Polytechnique Montréal, Universite de Montréal, Montréal, Québec, Canada"," Department of Computer and Software Engineering, École Polytechnique Montréal, Universite de Montréal, Montréal, Québec, Canada",Exploiting determinism to scale relational inference
13, Massachusetts Institute of Technology, Google,"Scalable and interpretable data representation for high-dimensional, complex data"
14," Department of Mathematics and Computer Science, Rhodes College, Memphis, Tennessee"," School of Computer Science, University of Massachusetts Amherst, Amherst, Massachusetts",Using supervised learning to uncover deep musical structure
15," Vanderbilt University School of Medicine, Nashville, TN"," Vanderbilt University School of Medicine, Nashville, TN",Nonstationary gaussian process regression for evaluating clinical laboratory test sampling strategies
16," Computer Science Department, Southwestern University of Finance and Economics, Chengdu, China"," Management Information Systems Department, University of Arizona, Arizona",Tensor-based learning for predicting stock movements
17," Department of Computing and Information Systems, The University of Melbourne, Australia"," Department of Computing and Information Systems, The University of Melbourne, Australia",Sub-merge: diving down to the attribute-value level in statistical schema matching
18," Computer Science Department, University of Pittsburgh, Pittsburgh, PA"," Computer Science Department, University of Pittsburgh, Pittsburgh, PA",A regularized linear dynamical system framework for multivariate time series analysis
19," Department of Electrical and Computer Engineering, National University of Singapore"," Key Laboratory of Machine Perception (MOE), School of EECS, Peking University",Generalized Singular Value Thresholding
20, ETH Zurich, ETH Zurich,Lazier than lazy greedy
21," Machine Learning Department, Carnegie Mellon University, Pittsburgh, PA"," Yahoo Labs, Sunnyvale, CA",Inertial hidden markov models: modeling change in multivariate time series
22," Living Analytics Research Centre, School of Information Systems Singapore Management University, Singapore"," Living Analytics Research Centre, School of Information Systems Singapore Management University, Singapore",Algorithm selection via ranking
23," IBM T. J. Watson Research, Yorktown Heights, NY"," University of California, Davis, Davis, CA",Propagating ranking functions on a graph: algorithms and applications
24, Lenovo Research & Technology, Lenovo Research & Technology,On vectorization of deep convolutional neural networks for vision tasks
25," Massachusetts Institute of Technology, Computer Science and Artificial Intelligence Laboratory, MERS, Cambridge, MA"," Instituto Tecnológico de Aeronáutica Pç. Mal. Eduardo Gomes, SP, Brazil",Learning hybrid models with guarded transitions
26," GE Global Research Center, Niskayuna, NY"," Institute of Data Science and Technology, Alibaba Group, Seattle, WA",Transaction costs-aware portfolio optimization via fast Löwner-John ellipsoid approximation
27," Digital Productivity Flagship, CSIRO, Australia"," University of New South Wales, Australia",Coupled interdependent attribute analysis on mixed data
28," College of Computer Science and Technology, Jilin University, Changchun, China and Key Laboratory of Symbolic Computation and Knowledge Engineering, Ministry of Education, China and School of Computer Technology and Engineering, Changchun Institute of Technology, Changchun, China"," Guangxi Key Lab of Trusted Software, Guilin University of Electronic Technology, Guilin, China",Exploring social context for topic identification in short and noisy texts
29," College of Computer Science and Technology, Jilin University, Changchun, China and Key Laboratory of Symbolic Computation and Knowledge Engineering, Ministry of Education, China"," Guangxi Key Lab of Trusted Software, Guilin University of Electronic Technology, Guilin, China",Modeling status theory in trust prediction
