,year,first-author,last-author,journal/conference,title,number-of-authors,paper-url,DBLP-url
6204,2012,David Allouche,Thomas Schiex,AAAI,Filtering Decomposable Global Cost Functions.,8,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/4756,https://dblp.org/rec/conf/aaai/AlloucheBBGGLMS12
6205,2012,Bo An 0001,Yevgeniy Vorobeychik,AAAI,Security Games with Limited Surveillance.,7,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/4836,https://dblp.org/rec/conf/aaai/AnKKSSTV12
6206,2012,Udi Apsel,Ronen I. Brafman,AAAI,Lifted MEU by Weighted Model Counting.,2,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/4953,https://dblp.org/rec/conf/aaai/ApselB12
6207,2012,Vernon Asuncion,Yi Zhou 0013,AAAI,Ordered Completion for Logic Programs with Aggregates.,3,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/4922,https://dblp.org/rec/conf/aaai/AsuncionZZ12
6208,2012,Amos Azaria,Sarit Kraus,AAAI,Automated Strategies for Determining Rewards for Human Work.,3,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/5049,https://dblp.org/rec/conf/aaai/AzariaAK12
6209,2012,Amos Azaria,Ya'akov Gal,AAAI,Strategic Advice Provision in Repeated Human-Agent Interactions.,5,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/5067,https://dblp.org/rec/conf/aaai/AzariaRKGG12
6210,2012,Amos Azaria,Ya'akov Gal,AAAI,Strategic Advice Provision in Repeated Human-Agent Interactions (Abstract).,5,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/4744,https://dblp.org/rec/conf/aaai/AzariaRKGG12a
6211,2012,Haris Aziz 0001,Bart de Keijzer,AAAI,Housing Markets with Indifferences - A Tale of Two Mechanisms.,2,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/4925,https://dblp.org/rec/conf/aaai/AzizK12
6212,2012,Christer Bäckström,Stefan Szeider,AAAI,The Complexity of Planning Revisited - A Parameterized Analysis.,5,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/4933,https://dblp.org/rec/conf/aaai/BackstromCJOS12
6213,2012,Bikramjit Banerjee,Rajesh Yellamraju,AAAI,Sample Bounded Distributed Reinforcement Learning for Decentralized POMDPs.,4,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/5095,https://dblp.org/rec/conf/aaai/BanerjeeLKY12
