,year,first-author,last-author,journal/conference,title,number-of-authors,paper-url,DBLP-url
534,2013,Olga Streibel,Danilo Montesi,UDM@IJCAI,Trend Template - Mining Trends With a Semi-formal Trend Model.,4,http://ceur-ws.org/Vol-1088/paper9.pdf,https://dblp.org/rec/conf/ijcai/StreibelWTM13
535,2013,Harold Vasquez Chavarria,Hugo Jair Escalante,UDM@IJCAI,Simultaneous Segmentation and Recognition of Gestures for Human-Machine Interaction.,3,http://ceur-ws.org/Vol-1088/paper5.pdf,https://dblp.org/rec/conf/ijcai/VasquezSE13
536,2013,Daniel Villatoro,Marc Torrent-Moreno,UDM@IJCAI,Cicerone - Design of a Real-Time Area Knowledge-Enhanced Venue Recommender.,5,http://ceur-ws.org/Vol-1088/paper6.pdf,https://dblp.org/rec/conf/ijcai/VillatoroAPGT13
537,2013,Zhi-Hua Zhou,Zhi-Hua Zhou,UDM@IJCAI,Exploiting Label Relationship in Multi-Label Learning.,1,http://ceur-ws.org/Vol-1088/invited1.pdf,https://dblp.org/rec/conf/ijcai/Zhou13
538,2013,João Gama 0001,Carlos Abreu Ferreira,UDM@IJCAI,"Proceedings of the 3rd Workshop on Ubiquitous Data Mining co-located with the 23rd International Joint Conference on Artificial Intelligence (IJCAI 2013), Beijing, China, August 3, 2013.",5,http://ceur-ws.org/Vol-1088,https://dblp.org/rec/conf/ijcai/2013udm
539,2015,Barry Hurley 0001,Barry O'Sullivan,IJCAI,Statistical Regimes and Runtime Prediction.,2,http://ijcai.org/Abstract/15/051,https://dblp.org/rec/conf/ijcai/0001O15
540,2015,Bart Bogaerts 0001,Marc Denecker,IJCAI,Partial Grounded Fixpoints.,3,http://ijcai.org/Abstract/15/394,https://dblp.org/rec/conf/ijcai/0001VD15
541,2015,Radu Marinescu 0002,Alexander T. Ihler,IJCAI,Pushing Forward Marginal MAP with Best-First Search.,3,http://ijcai.org/Abstract/15/104,https://dblp.org/rec/conf/ijcai/0002DI15
542,2015,Peter Hansen 0002,Frank Wolter,IJCAI,Efficient Query Rewriting in the Description Logic EL and Beyond.,4,http://ijcai.org/Abstract/15/428,https://dblp.org/rec/conf/ijcai/0002LSW15
543,2015,Yue Wang 0009,Xintao Wu,IJCAI,Regression Model Fitting under Differential Privacy and Model Inversion Attack.,3,http://ijcai.org/Abstract/15/146,https://dblp.org/rec/conf/ijcai/0009SW15
