,year,first-author,first-author-affiliation,last-author,last-author-affiliation,journal/conference,title,number-of-authors,paper-url,DBLP-url
190,2011,Márcio Dorn,nan,Luís C. Lamb,"Federal University of Rio Grande do Sul, Porto Alegre, Brazil",IJCAI,Combining Machine Learning and Optimization Techniques to Determine 3-D Structures of Polypeptides.,3,https://doi.org/10.5591/978-1-57735-516-8/IJCAI11-469,https://dblp.org/rec/conf/ijcai/DornBL11
191,2011,Christian Drescher,nan,Toby Walsh,"University of New South Wales, Sydney, Australia",IJCAI,Translation-Based Constraint Answer Set Solving.,2,https://doi.org/10.5591/978-1-57735-516-8/IJCAI11-432,https://dblp.org/rec/conf/ijcai/DrescherW11
192,2011,David Fernández-Duque,"Ghent University, Ghent, Belgium",David Fernández-Duque,"Ghent University, Ghent, Belgium",IJCAI,Tangled Modal Logic for Spatial Reasoning.,1,https://doi.org/10.5591/978-1-57735-516-8/IJCAI11-149,https://dblp.org/rec/conf/ijcai/Duque11
193,2011,Wolfgang Dvorák,"University of Vienna, Austria",Stefan Woltran,"TU Wien, Vienna, Autria",IJCAI,Parametric Properties of Ideal Semantics.,3,https://doi.org/10.5591/978-1-57735-516-8/IJCAI11-148,https://dblp.org/rec/conf/ijcai/DvorakDW11
194,2011,Edith Elkind,"University of Oxford, UK",Abdallah Saffidine,nan,IJCAI,Choosing Collectively Optimal Sets of Alternatives Based on the Condorcet Criterion.,3,https://doi.org/10.5591/978-1-57735-516-8/IJCAI11-042,https://dblp.org/rec/conf/ijcai/ElkindLS11
195,2011,Ulle Endriss,"University of Amsterdam, Netherlands",Michael J. Wooldridge,"University of Oxford, Department of Computer Science, UK",IJCAI,Incentive Engineering for Boolean Games.,4,https://doi.org/10.5591/978-1-57735-516-8/IJCAI11-433,https://dblp.org/rec/conf/ijcai/EndrissKLW11
196,2011,Can Erdogan,nan,Manuela M. Veloso,"Carnegie Mellon University, Pittsburgh, USA",IJCAI,Action Selection via Learning Behavior Patterns in Multi-Robot Systems.,2,https://doi.org/10.5591/978-1-57735-516-8/IJCAI11-043,https://dblp.org/rec/conf/ijcai/ErdoganV11
197,2011,Stefano Ermon,Stanford University,Bart Selman,"Cornell University, Ithaca, USA",IJCAI,Risk-Sensitive Policies for Sustainable Renewable Resource Allocation.,4,https://doi.org/10.5591/978-1-57735-516-8/IJCAI11-325,https://dblp.org/rec/conf/ijcai/ErmonCGS11
198,2011,Stefano Ermon,Stanford University,Bart Selman,"Cornell University, Ithaca, USA",IJCAI,A Flat Histogram Method for Computing the Density of States of Combinatorial Problems.,3,https://doi.org/10.5591/978-1-57735-516-8/IJCAI11-434,https://dblp.org/rec/conf/ijcai/ErmonGS11
199,2011,Sergio Esparcia,nan,Vicente J. Botti,"Polytechnic University of Valencia, Spain",IJCAI,An Agent-Oriented Software Engineering Methodology to Develop Adaptive Virtual Organizations.,3,https://doi.org/10.5591/978-1-57735-516-8/IJCAI11-470,https://dblp.org/rec/conf/ijcai/EsparciaAB11
200,2011,Oren Etzioni,"Allen Institute for Artificial Intelligence, Seattle, WA, USA",Mausam,Indian Institute of Technology Delhi,IJCAI,Open Information Extraction - The Second Generation.,5,https://doi.org/10.5591/978-1-57735-516-8/IJCAI11-012,https://dblp.org/rec/conf/ijcai/EtzioniFCSM11
