,year,first-author,first-author-affiliation,last-author,last-author-affiliation,journal/conference,title,number-of-authors,paper-url,DBLP-url
348,2010,Mauricio Araya-López,nan,François Charpillet,"INRIA, France",NIPS,A POMDP Extension with Belief-dependent Rewards.,4,https://proceedings.neurips.cc/paper/2010/hash/68053af2923e00204c3ca7c6a3150cf7-Abstract.html,https://dblp.org/rec/conf/nips/Araya-LopezBTC10
349,2010,Nimar S. Arora,nan,Erik B. Sudderth,"University of California, Irvine, CA, USA",NIPS,Global seismic monitoring as probabilistic inference.,4,https://proceedings.neurips.cc/paper/2010/hash/cfbce4c1d7c425baf21d6b6f2babe6be-Abstract.html,https://dblp.org/rec/conf/nips/AroraRKS10
350,2010,Joseph L. Austerweil,Brown University,Thomas L. Griffiths,"University of California, Berkeley, Department of Psychology",NIPS,Learning invariant features using the Transformed Indian Buffet Process.,2,https://proceedings.neurips.cc/paper/2010/hash/fccb60fb512d13df5083790d64c4d5dd-Abstract.html,https://dblp.org/rec/conf/nips/AusterweilG10
351,2010,Pranjal Awasthi,nan,Reza Bosagh Zadeh,nan,NIPS,Supervised Clustering.,2,https://proceedings.neurips.cc/paper/2010/hash/18997733ec258a9fcaf239cc55d53363-Abstract.html,https://dblp.org/rec/conf/nips/AwasthiZ10
352,2010,Alper Ayvaci,nan,Stefano Soatto,"University of California, Los Angeles, USA",NIPS,Occlusion Detection and Motion Estimation with Convex Optimization.,3,https://proceedings.neurips.cc/paper/2010/hash/9778d5d219c5080b9a6a17bef029331c-Abstract.html,https://dblp.org/rec/conf/nips/AyvaciRS10
353,2010,Javad Azimi,nan,Xiaoli Z. Fern,"Oregon State University, School of Electrical Engineering and Computer Science, Corvallis, OR, USA",NIPS,Batch Bayesian Optimization via Simulation Matching.,3,https://proceedings.neurips.cc/paper/2010/hash/e702e51da2c0f5be4dd354bb3e295d37-Abstract.html,https://dblp.org/rec/conf/nips/AzimiFF10
354,2010,Francis R. Bach,"École Normale Supérieure, Computer Science Department",Francis R. Bach,"École Normale Supérieure, Computer Science Department",NIPS,Structured sparsity-inducing norms through submodular functions.,1,https://proceedings.neurips.cc/paper/2010/hash/4b0a59ddf11c58e7446c9df0da541a84-Abstract.html,https://dblp.org/rec/conf/nips/Bach10
355,2010,Stephen H. Bach,"Brown University, Providence, RI, USA",Marcus A. Maloof,nan,NIPS,A Bayesian Approach to Concept Drift.,2,https://proceedings.neurips.cc/paper/2010/hash/8edd72158ccd2a879f79cb2538568fdc-Abstract.html,https://dblp.org/rec/conf/nips/BachM10
356,2010,Chris Barber,nan,Paul Roebber,nan,NIPS,Auto-Regressive HMM Inference with Incomplete Data for Short-Horizon Wind Forecasting.,3,https://proceedings.neurips.cc/paper/2010/hash/242c100dc94f871b6d7215b868a875f8-Abstract.html,https://dblp.org/rec/conf/nips/BarberBR10
357,2010,Mohsen Bayati,nan,Andrea Montanari,nan,NIPS,The LASSO risk - asymptotic results and real world examples.,3,https://proceedings.neurips.cc/paper/2010/hash/f47330643ae134ca204bf6b2481fec47-Abstract.html,https://dblp.org/rec/conf/nips/BayatiBM10
