,first-author-affiliation,last-author-affiliation,title
0," Department of Computer Science, University of Illinois at Urbana-Champaign"," Department of Computer Science, University of Illinois at Urbana-Champaign","Framing image description as a ranking task: data, models and evaluation metrics"
1," Graduate Institute of Network and Multimedia, National Taiwan University, Taipei, Taiwan"," Dept. of Computer Science and Information Engineering, National Taiwan University, Taipei, Taiwan",Measuring and recommending time-sensitive routes from location-based data
2, University of Freiburg, University of British Columbia,Algorithm runtime prediction: methods & evaluation
3, University of Essex, University of Utrecht/Verona,Phrase detectives: utilizing collective intelligence for internet-scale language resource creation
4," Department of Computer Science, North Carolina State University, Raleigh, NC"," Department of Computer Science, North Carolina State University, Raleigh, NC",Norms as a basis for governing sociotechnical systems
5, Yahoo Labs, Massachusetts Instutute of Technology,Continuous body and hand gesture recognition for natural human-computer interaction
6," University of Otago, Dunedin, New Zealand"," University of Otago, Dunedin, New Zealand",On the testability of BDI agent systems
7," Department of Computer Science, University of Toronto, Ontario, Canada"," Department of Computer Science, University of Toronto, Ontario, Canada",Inapproximability of treewidth and related problems
8," School of Computer Science and Engineering, Nanjing University of Science and Technology, China and State Key Laboratory of Novel Software Technology, Nanjing University, China"," School of Computer Engineering, Nanyang Technological University, Singapore",Feature ensemble plus sample selection: domain adaptation for sentiment classification
9," Digital Productivity Flagship, CSIRO, Australia"," Digital Productivity Flagship, CSIRO, Australia",Using social media to enhance emergency situation awareness
10," Faculty of Computer Science, Free University of Bozen-Bolzano, Italy"," Dept. of Computer Science, Birkbeck, London, UK",When are description logic knowledge bases indistinguishable
11," KRDB Research Centre, Free Univ. of Bozen-Bolzano, Bozen-Bolzano, Italy"," DIAG, Sapienza Univ. of Rome, Rome, Italy","Description logic based dynamic systems: modeling, verification, and synthesis"
12," Inria, CITI, Université de Lyon, France"," Inria, LORIA, Vandœuvre-lès-Nancy, France",Exploiting separability in multiagent planning with continuous-state MDPs
13," Knexus Research Corporation, Springfield, Virginia"," Navy Center for Applied Research in AI, Naval Research Laboratory, Washington, DC",Trust-guided behavior adaptation using case-based reasoning
14," DePaul University, Chicago, IL"," DePaul University, Chicago, IL",Adapting to user preference changes in interactive recommendation
15," Department of Computer Science, University of Liverpool, UK"," School of Computing, Teesside University, UK",Near-optimal approximation mechanisms for multi-unit combinatorial auctions
16, University of Edinburgh, University of Edinburgh,How to define certain answers
17," Department of Physics, Harvard University, Cambridge, MA"," School of Engineering and Applied Sciences, Harvard University, Cambridge, MA",Firefly Monte Carlo: exact MCMC with subsets of data
18," University of Illinois at Urbana-Champaign, Champaign, IL"," Microsoft Research New England, Cambridge, MA",Matching and grokking: approaches to personalized crowdsourcing
19," Universität Basel, Basel, Switzerland"," Universidad Simón Bolívar, Caracas, Venezuela",Heuristics for cost-optimal classical planning based on linear programming
20," Dipartimento di Matematica e Informatica, University of Ferrara, Ferrara, Italy"," Dipartimento di Ingegneria, University of Ferrara, Ferrara, Italy",Reasoning with probabilistic ontologies
21," Intelligent Computer Tutoring Group, University of Canterbury, New Zealand"," Human-Computer Interaction Institute, Carnegie Mellon University",Examples and tutored problems: adaptive support using assistance scores
22," Dept. of ISE, Ben Gurion University", Dept. of Computer Science. University of New Hampshire,Max is more than min: solving maximization problems with heuristic search
23," Department of Computer Science, University of New Hampshire, Durham, NH"," Department of Computer Science, University of New Hampshire, Durham, NH",Speedy versus greedy search
24," University of New South Wales and NICTA, Australia"," University of New South Wales and NICTA, Australia",Online fair division
25," Institute of Information Systems, Vienna University of Technology, Vienna, Austria"," Institute of Information Systems, Vienna University of Technology, Vienna, Austria",Expressive rule-based stream reasoning
26," Instituto de Ciências Matemáticas e de Computação, Universidade de São Paulo, São Carlos, SP, Brazil"," Instituto de Ciências Matemáticas e de Computação, Universidade de São Paulo, São Carlos, SP, Brazil",Graph construction for semi-supervised learning
27," Institute of Mathematics and Computer Science, University of São Paulo, São Carlos, SP, Brazil"," Institute of Mathematics and Computer Science, University of São Paulo, São Carlos, SP, Brazil",Stochastic density ratio estimation and its application to feature selection
28," Vrije Universiteit Brussel, Brussels, Belgium"," Vrije Universiteit Brussel, Brussels, Belgium",Encoding and combining knowledge to speed up reinforcement learning
29," Federal University of Rio Grande do Sul (UFRGS), Porto Alegre, Brazil"," Federal University of Rio Grande do Sul (UFRGS), Porto Alegre, Brazil",A cognitively inspired approach for knowledge representation and reasoning in knowledge-based systems
