,first-author-affiliation,last-author-affiliation,title
0," Universitat Bremen, Germany"," DFKI GmbH, Bremen, Germany",A closer look at the probabilistic description logic prob-EL
1, IBM Research - Tokyo," Department of Computer Science, Tokyo Institute of Technology",Trajectory regression on road networks
2," Department of Computer Science, Katholieke Universiteit Leuven, Heverlee, Belgium"," Department of Computer Science, Katholieke Universiteit Leuven, Heverlee, Belgium",An algebraic prolog for reasoning about possible worlds
3," Department of Computer Science, Vrije Universiteit Amsterdam"," Department of Computer Science, Universitat Bremen",Two-dimensional description logics for context-based semantic interoperability
4," Department of Computer Science, University of Liverpool, UK"," Department of CS & IS, Birkbeck College London, UK",Conjunctive query inseparability of OWL 2 QL Tboxes
5," Research Center on Spatial Cognition (SFB/TR 8), University of Bremen, Germany"," Research Center on Spatial Cognition (SFB/TR 8), University of Bremen, Germany and DFKI GmbH Bremen, Germany",A modular consistency proof for DOLCE
6," Department of Computer Science and Engineering, The Hong Kong University of Science and Technology, Clear Water Bay, Kowloon, Hong Kong"," Department of Computer Science, Ryerson University, Toronto, ON, Canada",Causal theories of actions revisited
7," Karlsruhe Institute of Technology, Germany"," Karlsruhe Institute of Technology, Germany",Revisiting semantics for epistemic extensions of description logics
8," Cognitive Systems Laboratory, Department of Computer Science, University of California, Los Angeles, Los Angeles, CA"," Cognitive Systems Laboratory, Department of Computer Science, University of California, Los Angeles, Los Angeles, CA",Transportability of causal and statistical relations: a formal approach
9," Institut für Informatik, Heinrich-Heine-Univ. Düsseldorf, Düsseldorf, Germany"," Institut für Informatik, Julius-Maximilians-Univ. Würzburg, Würzburg, Germany",How to calibrate the scores of biased reviewers by quadratic programming
10," Department of Computer Science, University of Toronto, Toronto, Canada"," Department of Computer Science, University of Toronto, Toronto, Canada",Preferred explanations: theory and generation via planning
11," Guizhou University, China"," Guizhou Academy of Sciences, China",Language splitting and relevance-based belief change in horn logic
12," School of Computer Science and Tech, Tianjin University, China"," School of Computer Science and Tech, Tianjin University, China",Integrating rules and description logics by circumscription
13," Intelligent Systems Laboratory, School of Computing and Mathematics, University of Western Sydney, NSW, Australia"," Intelligent Systems Laboratory, School of Computing and Mathematics, University of Western Sydney, NSW, Australia",Bounded forgetting
14," Intelligent Systems Laboratory, School of Computing and Mathematics, University of Western Sydney, NSW, Australia"," Intelligent Systems Laboratory, School of Computing and Mathematics, University of Western Sydney, NSW, Australia",Progression semantics for disjunctive logic programs
15," Machine Learning Department, Carnegie Mellon University, Pittsburgh, Pennsylvania"," Machine Learning Department, Carnegie Mellon University Pittsburgh, Pennsylvania",An online spectral learning algorithm for partially observable nonlinear dynamical systems
16," Heudiasyc UMR CNRS 6599, Université de Technologie, Compiègne, France"," Departement IRO, Universite de Montreal Montreal. QC, Canada",Learning structured embeddings of knowledge bases
17," Computer Science Division, University of California, Berkeley, California"," Department of Psychology, University of California, Berkeley, California",A nonparametric bayesian model of multi-level category learning
18," State Key Lab of CAD&CG, College of Computer Science, Zhejiang University, China"," State Key Lab of CAD&CG, College of Computer Science, Zhejiang University, China",Large scale spectral clustering with landmark-based representation
19," School of Engineering and Advanced Technology, Massey University, Palmerston North, New Zealand"," School of Engineering and Advanced Technology, Massey University, Palmerston North, New Zealand",Unsupervised learning of human behaviours
20," School of Computer Science, McGill University, Montreal, QC, Canada"," School of Computer Science, McGill University, Montreal, QC, Canada",Basis function discovery using spectral clustering and bisimulation metrics
21," Tsinghua National Lab. for Info. Science and Tech., Department of Computer Science and Technology, Tsinghua University, Beijing, China"," Department of Computer Science and Technology, Tsinghua University, Beijing, China",Item-level social influence prediction with probabilistic hybrid factor matrix factorization
22," Bryn Mawr College, Computer Science Department, Bryn Mawr, PA"," University of Maryland Baltimore County, Department of Computer Science and Electrical Engineering, Baltimore, MD",Selective transfer between learning tasks using task-based boosting
23," Computer Science Department, Purdue University, West Lafayette, IN"," Computer Science Department, Purdue University, West Lafayette, IN",Across-model collective ensemble classification
24," Department of Computer Science, City University of Hong Kong, Hong Kong and Department of Computer Science and Engineering, Shanghai Jiao Tong University, Shanghai, China"," Department of Computer Science and Engineering, Shanghai Jiao Tong University, Shanghai, China",Symmetric graph regularized constraint propagation
25," College of Computer Science and Technology, Zhejiang University, Hangzhou, China"," College of Computer Science and Technology, Zhejiang University, Hangzhou, China",A feasible nonconvex relaxation approach to feature selection
26," Arcode Corporation, Bethesda, MD"," University of Wisconsin–Madison, Computer Sciences Department, Madison, WI",OASIS: online active semi-supervised learning
27," Department of Computer Science, University of Illinois at Urbana-Champaign"," Department of Computer Science, University of Illinois at Urbana-Champaign",Learning a kernel for multi-task clustering
28," Department of Computer & Information Sciences, Temple University, Philadelphia, PA"," Department of Computing Science, University of Alberta, Edmonton, Canada",Adaptive large margin training for multilabel classification
29," MIT CSAIL and Autonomous Learning Laboratory, University of Massachusetts Amherst"," Autonomous Learning Laboratory, University of Massachusetts Amherst",Value function approximation in reinforcement learning using the fourier basis
