,first-author-affiliation,last-author-affiliation,title
0, University of St. Andrews, Izmir University of Economics,Extensible automated constraint modelling
1," Computer Science Division, University of California, Berkeley"," Computer Science Division, University of California, Berkeley",Optimal graph search with iterated graph cuts
2," TZI Universität Bremen, Germany"," TZI Universität Bremen, Germany",On the complexity of bdds for state space search: a case study in connect four
3," ISE Department, Ben-Gurion University (Israel)"," CS Department, University of Alberta (Canada)",The compressed differential heuristic
4," Department of Computer Science, University of New Hampshire, Durham, NH"," Department of Computer Science, University of New Hampshire, Durham, NH",Heuristic search for large problems with real costs
5," University College Dublin, Dublin, Ireland"," University College Dublin, Dublin, Ireland, IST/INESC-ID, Lisbon, Portugal",Core-guided binary search algorithms for maximum satisfiability
6," Palo Alto Research Center, Palo Alto, CA"," Computer Science Department, University of California, Los Angeles, Los Angeles, CA",Optimal packing of high-precision rectangles
7," Brown University, Providence, RI"," IBM Watson Research Center, Yorktown Heights, NY",A general nogood-learning framework for pseudo-boolean multi-valued SAT
8," Donald Bren School of Information and Computer Sciences, University of California, Irvine, CA"," Donald Bren School of Information and Computer Sciences, University of California, Irvine, CA",Pushing the power of stochastic greedy ordering schemes for inference in graphical models
9," Department of Computer Science and Engineering, The Chinese University of Hong Kong, Shatin, N.T., Hong Kong"," NICTA & UNSW, Sydney, Australia",A comparison of lex bounds for multiset variables in constraint programming
10," École Polytechnique Fédérale de Lausanne (EPFL), Artificial Intelligence Laboratory (LIA)"," École Polytechnique Fédérale de Lausanne (EPFL), Artificial Intelligence Laboratory (LIA)",Distributed constraint optimization under stochastic uncertainty
11, Carnegie Mellon University, Carnegie Mellon University,Planning in domains with cost function dependent actions
12," Department of Computing Science, University of Alberta, Edmonton, Alberta, Canada"," Computer Science Department, University of Denver, Denver, CO",Euclidean heuristic optimization
13," Palo Alto Research Center, Palo Alto, CA"," Palo Alto Research Center, Palo Alto, CA",Succinct set-encoding for state-space search
14," Vienna University of Technology, Vienna, Austria"," Vienna University of Technology, Vienna, Austria",Limits of preprocessing
15," INRIA, I3S, Université Nice–Sophia (France)"," LINA, EMN (France)",Inner regions and interval linearizations for global optimization
16, University of North Carolina at Chapel Hill," University of California, Berkeley",ANA*: anytime nonparametric A*
17," Constraint Systems Laboratory, University of Nebraska-Lincoln"," LIRMM-CNRS, University of Montpellier, France",Solving difficult CSPs with relational neighborhood inverse consistency
18," Computing Science Department, University of Alberta, Edmonton, Alberta, Canada"," Computing Science Department, University of Alberta, Edmonton, Alberta, Canada",Block A*: database-driven search with applications in any-angle path-planning
19," Key Laboratory of Machine Perception, Ministry of Education, Peking University, China"," Key Laboratory of Machine Perception, Ministry of Education, Peking University, China",Simulated annealing based influence maximization in social networks
20," School of Computer Science, Fudan University, Shanghai, China"," QCIS Centre, FEIT, University of Technology, Sydney, NSW, Australia",Tracking user-preference varying speed in collaborative filtering
21," POSTECH, Republic of Korea"," HKUST, Hong Kong",COSTRIAGE: a cost-aware triage algorithm for bug reporting systems
22," Department of Computer Science, University of Massachusetts Amherst, Amherst, MA"," Department of Computer Science, University of Massachusetts Amherst, Amherst, MA",Relational blocking for causal discovery
23," Max Planck Institute for Informatics, Saarbrücken, Germany"," Max Planck Institute for Informatics, Saarbrücken, Germany",Deriving a web-scale common sense fact database
24," Zhejiang Provincial Key Laboratory of Service Robot, College of Computer Science, Zhejiang University"," Zhejiang Provincial Key Laboratory of Service Robot, College of Computer Science, Zhejiang University",Social recommendation using low-rank semidefinite program
25," Dept. of Computer Science, RWTH Aachen University, Aachen, Germany"," Dept. of Computer Science, RWTH Aachen University, Aachen, Germany",A semantical account of progression in the presence of uncertainty
26," Dip. di Scienze Fisiche, Università di Napoli Federico II"," Dip. di Scienze Fisiche, Università di Napoli Federico II",Adding default attributes to EL++
27," Dept. of Computer Sciences, University of Wisconsin-Madison, Madison, WI and Dept. of Biostatistics and Medical Informatics, University of Wisconsin-Madison, Madison, WI"," Dept. of Computer Sciences, University of Wisconsin-Madison, Madison, WI",Learning from spatial overlap
28," Dipartimento di Informatica e Sistemistica, SAPIENZA Università di Roma"," Dipartimento di Informatica e Sistemistica, SAPIENZA Università di Roma",Higher-order description logics for domain metamodeling
29," Department of Software Technology, Delft University of Technology, The Netherlands"," Department of Software Technology, Delft University of Technology, The Netherlands",Spectrum-based sequential diagnosis
