,year,first-author,first-author-affiliation,last-author,last-author-affiliation,journal/conference,title,number-of-authors,paper-url,DBLP-url
286,2010,Marek Petrik,nan,Shlomo Zilberstein,"University of Massachusetts Amherst, USA",ICML,Feature Selection Using Regularization in Approximate Linear Programs for Markov Decision Processes.,4,https://icml.cc/Conferences/2010/papers/52.pdf,https://dblp.org/rec/conf/icml/PetrikTPZ10
287,2010,Leonard K. M. Poon,"The Education University of Hong Kong, Hong Kong SAR, China",Yi Wang 0006,Institute of High Performance Computing,ICML,Variable Selection in Model-Based Clustering - To Do or To Facilitate.,4,https://icml.cc/Conferences/2010/papers/26.pdf,https://dblp.org/rec/conf/icml/PoonZCW10
288,2010,Christopher Raphael,nan,Christopher Raphael,nan,ICML,Music Plus One and Machine Learning.,1,https://icml.cc/Conferences/2010/papers/904.pdf,https://dblp.org/rec/conf/icml/Raphael10
289,2010,Joseph Reisinger,nan,Raymond J. Mooney,"University of Texas at Austin, USA",ICML,Spherical Topic Models.,4,https://icml.cc/Conferences/2010/papers/45.pdf,https://dblp.org/rec/conf/icml/ReisingerWSM10
290,2010,Nicolas Le Roux,nan,Andrew W. Fitzgibbon,Microsoft Research,ICML,A fast natural Newton method.,2,https://icml.cc/Conferences/2010/papers/438.pdf,https://dblp.org/rec/conf/icml/RouxF10
291,2010,Stefan Rüping 0001,"Frauenhofer IAIA, Sankt Augustin, Germany",Stefan Rüping 0001,"Frauenhofer IAIA, Sankt Augustin, Germany",ICML,SVM Classifier Estimation from Group Probabilities.,1,https://icml.cc/Conferences/2010/papers/223.pdf,https://dblp.org/rec/conf/icml/Ruping10
292,2010,Daniil Ryabko,nan,Daniil Ryabko,nan,ICML,Clustering processes.,1,https://icml.cc/Conferences/2010/papers/279.pdf,https://dblp.org/rec/conf/icml/Ryabko10
293,2010,Yunus Saatci,Uber Engineering,Carl Edward Rasmussen,"University of Cambridge, Department of Engineering",ICML,Gaussian Process Change Point Models.,3,https://icml.cc/Conferences/2010/papers/170.pdf,https://dblp.org/rec/conf/icml/SaatciTR10
294,2010,Jun Sakuma,nan,Hiromi Arai,"The University of Tokyo, Japan",ICML,Online Prediction with Privacy.,2,https://icml.cc/Conferences/2010/papers/259.pdf,https://dblp.org/rec/conf/icml/SakumaA10
295,2010,Ruslan Salakhutdinov,"Carnegie Mellon University, Machine Learning Department, Pittsburgh, PA, USA",Ruslan Salakhutdinov,"Carnegie Mellon University, Machine Learning Department, Pittsburgh, PA, USA",ICML,Learning Deep Boltzmann Machines using Adaptive MCMC.,1,https://icml.cc/Conferences/2010/papers/441.pdf,https://dblp.org/rec/conf/icml/Salakhutdinov10
