,first-author,first-author-affiliation,last-author,last-author-affiliation,title
199,Tolga Bolukbasi,Boston University,Venkatesh Saligrama,Boston University,Adaptive Neural Networks for Efficient Inference
200,Junier Oliva,Carnegie Mellon University,Jeff Schneider,CMU/Uber,The Statistical Recurrent Unit
201,Sebastian Stich,EPFL,Martin Jaggi,EPFL,Approximate Steepest Coordinate Descent
202,Assaf Hallak,Technion,Shie Mannor,Technion,Consistent On-Line Off-Policy Evaluation
203,John Ingraham,Harvard University,Debora Marks,Harvard Medical School,Variational Inference for Sparse and Undirected Models
204,Rakshit Trivedi,Georgia Institute of Technology,Le Song,Georgia Institute of Technology,Know-Evolve: Deep Temporal Reasoning for Dynamic Knowledge Graphs
205,Di Wang,UC Berkeley,Satish Rao,UC Berkeley,Capacity Releasing Diffusion for Speed and Locality.
206,Manolis Tsakiris,Johns Hopkins University,Rene Vidal,Johns Hopkins University,Hyperplane Clustering Via Dual Principal Component Pursuit
207,jaehong yoon,UNIST,Sung Ju Hwang,UNIST / AItrics,Combined Group and Exclusive Sparsity for Deep Neural Networks
208,Jakob Foerster,University of Oxford,David Sussillo,"Google Brain, Google Inc.",Input Switched Affine Networks: An RNN Architecture Designed for Interpretability
209,Tyler Johnson,University of Washington,Carlos Guestrin,,StingyCD: Safely Avoiding Wasteful Updates in Coordinate Descent
210,Nan Jiang,Microsoft Research,Robert Schapire,Microsoft Research,Contextual Decision Processes with low Bellman rank are PAC-Learnable
211,Andrew Wrigley,Australian National University,Nan Ye,Queensland University of Technology,Tensor Belief Propagation
212,Changwei Hu,Duke University,Lawrence Carin,Duke,Deep Generative Models for Relational Data with Side Information
213,Zeyuan Allen-Zhu,Microsoft Research / Princeton / IAS,Yuanzhi Li,Princeton University,Doubly Accelerated Methods for Faster CCA and Generalized Eigendecomposition
214,Nhat Ho,University of Michigan,Dinh Phung,Deakin University,Multilevel Clustering via Wasserstein Means
215,Colin Raffel,Google Brain,Douglas Eck,Google Brain,Online and Linear-Time Attention by Enforcing Monotonic Alignments
216,Qianxiao Li,"Institute of High Performance Computing, A*STAR",Weinan E,Princeton University,Stochastic modified equations and adaptive stochastic gradient algorithms
217,Ron Appel,caltech.edu,Pietro Perona,caltech.edu,A Simple Multi-Class Boosting Framework with Theoretical Guarantees and Empirical Proficiency
218,Insu Han,Korea Advanced Institute of Science and Technology,Jinwoo Shin,KAIST,Faster Greedy MAP Inference for Determinantal Point Processes
