,first-author,first-author-affiliation,last-author,last-author-affiliation,title
0,Max Jaderberg,DeepMind,koray kavukcuoglu,DeepMind,Decoupled Neural Interfaces using Synthetic Gradients
1,Alexander Kolesnikov,IST Austria,Christoph H. Lampert,IST Austria,PixelCNN Models with Auxiliary Variables for Natural Image Modeling
2,Vahab Mirrokni,Google Research,Sam Wong,UC Berkeley,Tight Bounds for Approximate Carathéodory and Beyond
3,Lerrel Pinto,Carnegie Mellon University,Abhinav Gupta,Carnegie Mellon University,Robust Adversarial Reinforcement Learning
4,Yixin Wang,Columbia University,David Blei,Columbia University,Robust Probabilistic Modeling with Bayesian Data Reweighting
5,Robert Busa-Fekete,Yahoo! Research,Shie Mannor,Technion,Multi-objective Bandits: Optimizing the Generalized Gini Index
6,Dan Garber,TTIC,Nati Srebro,Toyota Technological Institute at Chicago,Communication-efficient Algorithms for Distributed Stochastic Principal Component Analysis
7,Salvatore Ruggieri,Università di Pisa,Salvatore Ruggieri,Università di Pisa,Enumerating Distinct Decision Trees
8,Wojciech Czarnecki,DeepMind,koray kavukcuoglu,DeepMind,Understanding Synthetic Gradients and Decoupled Neural Interfaces
9,Scott Reed,Google Deepmind,Nando de Freitas,DeepMind,Parallel Multiscale Autoregressive Density Estimation
10,Yossi Arjevani,Weizmann Institute of Science,Ohad Shamir,Weizmann Institute of Science,Oracle Complexity of Second-Order Methods for Finite-Sum Problems
11,Mohammad Gheshlaghi Azar,Deepmind,Remi Munos,DeepMind,Minimax Regret Bounds for Reinforcement Learning
12,Willie Neiswanger,CMU,Eric Xing,Carnegie Mellon University,Post-Inference Prior Swapping
13,Liran Szlak,Weizmann Institute of Science,Ohad Shamir,Weizmann Institute of Science,Online Learning with Local Permutations and Delayed Feedback
14,Jun-ichiro Hirayama,RIKEN AIP / ATR,Motoaki Kawanabe,ATR / RIKEN,SPLICE: Fully Tractable Hierarchical Extension of ICA with Pooling
15,Yacine Jernite,New York University,David Sontag,Massachusetts Institute of Technology,Simultaneous Learning of Trees and Representations for Extreme Classification and Density Estimation
16,Xu SUN,Peking University,Houfeng Wang,,meProp: Sparsified Back Propagation for Accelerated Deep Learning with Reduced Overfitting
17,Nal Kalchbrenner,DeepMind,koray kavukcuoglu,DeepMind,Video Pixel Networks
18,Cédric Malherbe,ENS Paris-Saclay,Nicolas Vayatis,ENS Cachan,Global optimization of Lipschitz functions
