,first-author-affiliation,last-author-affiliation,title
0," Department of Computer Sciences University of Wisconsin-Madison, Madison WI"," Department of Computer Sciences University of Wisconsin-Madison, Madison WI and comScore, Inc. Reston, VA",Explicit defense actions against test-set attacks
1, Huazhong University of Science and Technology, University of Texas at San Antonio,Multidimensional scaling on multiple input distance matrices
2," Xerox Research Centre India, Bangalore, India"," Xerox Research Centre India, Bangalore, India",ICU mortality prediction: a classification algorithm for imbalanced datasets
3," IBM Research - China, Shanghai, P.R. China"," IBM Research - China, Shanghai, P.R. China",GLOMA: embedding global information in local matrix approximation models for collaborative filtering
4," KU Leuven, Department of Computer Science, Leuven, Belgium"," KU Leuven, Department of Computer Science, Leuven, Belgium",Predicting soccer highlights from spatio-temporal match event streams
5," Institute of Information Engineering, Chinese Academy of Sciences, Beijing, China"," Institute of Information Engineering, Chinese Academy of Sciences, Beijing, China and University of Chinese Academy of Sciences, Beijing, China",Collaborative dynamic sparse topic regression with user profile evolution for item recommendation
6," University of Electronic Science and Technology of China, Chengdu, China"," University of Electronic Science and Technology of China, Chengdu, China",Event video mashup: from hundreds of videos to minutes of skeleton
7," MOE Key Laboratory of Computer Network and Information Integration, School of Computer Science and Engineering, Southeast University, Nanjing, China"," MOE Key Laboratory of Computer Network and Information Integration, School of Computer Science and Engineering, Southeast University, Nanjing, China",Soft video parsing by label distribution learning
8," Tsinghua National Laboratory for Information Science and Technology (TNList), School of Software, Tsinghua University, Beijing, China"," Northumbria University, Newcastle, UK",Active learning with cross-class similarity transfer
9," Department of Computer Science and Automation, Indian Institute of Science, Bangalore, India"," Department of Computer Science and Automation, Indian Institute of Science, Bangalore, India",DeepFix: fixing common C language errors by deep learning
10," School of Computer Science and Technology, University of Science and Technology of China", iFLYTEK Research,Question difficulty prediction for READING problems in standard tests
11," Shanghai Key Laboratory of Trustworthy Computing, East China Normal University, Shanghai, China"," Shanghai Key Laboratory of Trustworthy Computing, East China Normal University, Shanghai, China",Additional multi-touch attribution for online advertising
12," Computer Science, Dalian University of Technology, Dalian, China"," Healthcare Policy and Research, Weill Cornell Medical College, Cornell University, New York, NY",Multitask dyadic prediction and its application in prediction of adverse drug-drug interaction
13," State Key Laboratory of Software Engineering, School of Computer, Wuhan University, China and College of Automation, Nanjing University of Posts and Telecommunications, China"," College of Computer Science and Technology, Nanjing University of Aeronautics and Astronautics, China",Semi-supervised multi-view correlation feature learning with application to webpage classification
14, IIT Kanpur, UNC Chapel Hill,Contextual RNN-GANs for abstract reasoning diagram generation
15," University of California, Davis"," University of California, Davis",A framework for minimal clustering modification via constraint programming
16," The Hebrew University of Jerusalem, Israel"," The Hebrew University of Jerusalem, Israel",Knowing what to ask: a Bayesian active learning approach to the surveying problem
17," IBM Research - China, Shanghai, P.R. China"," Georgia Institute of Technology, Atlanta, Georgia",ERMMA: expected risk minimization for matrix approximation-based recommender systems
18," College of Information Science & Electronic Engineering, Zhejiang University, China"," College of Information Science & Electronic Engineering, Zhejiang University, China",Learning with feature network and label network simultaneously
19, Beihang University, Rutgers University,Collaborative company profiling: insights from an employee's perspective
