,first-author-affiliation,last-author-affiliation,title
0," Bar-Ilan University, Israel"," Bar-Ilan University, Israel",The benefit in free information disclosure when selling information to people
1," Department of Computer Science, Bar-Ilan University, Israel"," Department of Computer Science, Bar-Ilan University, Israel",Psychologically based virtual-suspect for interrogative interview training
2," Georgia Institute of Technology, Atlanta, GA"," Georgia Institute of Technology, Atlanta, GA",PIVE: per-iteration visualization environment for real-time interactions with dimension reduction and clustering
3," Carnegie Mellon University, Pittsburgh, PA"," Cornell University, Ithaca, NY",JAG: a crowdsourcing framework for joint assessment and peer grading
4," ETH Zurich, Department of Computer Science, Switzerland"," ETH Zurich, Department of Computer Science, Switzerland and Microsoft Research, Redmond, WA",On human intellect and machine failures: troubleshooting integrative machine learning systems
5," Computer Science and Technology, University of Science and Technology of China, Hefei, Anhui, China"," Department of Electrical, Computer, and Systems Engineering, Rensselaer Polytechnic Institute, Troy, NY",Capturing dependencies among labels and features for multiple emotion tagging of multimedia data
