,first-author,,first-author-affiliation,last-author,,last-author-affiliation,title
239,Mikolaj Binkowski,Male,Imperial College London,Philippe Donnat,Male,Hellebore Capital Limited,Autoregressive Convolutional Neural Networks for Asynchronous Time Series
240,Dane Corneil,Male,EPFL,Johanni Brea,Male,EPFL,Efficient Model-Based Deep Reinforcement Learning with Variational State Tabulation
241,Peter Jin,Male,UC Berkeley,Sergey Levine,Male,Berkeley,Regret Minimization for Partially Observable Deep Reinforcement Learning
242,Jiasen Yang,Male,Purdue University,Jennifer Neville,Female,Purdue University,Goodness-of-fit Testing for Discrete Distributions via Stein Discrepancy
243,Shinji Ito,Male,NEC Corporation,Ryohei Fujimaki,Male,-,Unbiased Objective Estimation in Predictive Optimization
244,Amirali Aghazadeh,Male,Stanford University,Richard Baraniuk,Male,OpenStax / Rice University,Ultra Large-Scale Feature Selection using Count-Sketches
245,Vladimir Braverman,Male,Johns Hopkins University,Lin Yang,Male,Princeton,"Matrix Norms in Data Streams: Faster, Multi-Pass and Row-Order"
246,Maithra Raghu,Female,Google Brain / Cornell University,Jon Kleinberg,Male,Cornell University,Can Deep Reinforcement Learning Solve Erdos-Selfridge-Spencer Games?
247,George Tucker,Male,Google Brain,Sergey Levine,Male,Berkeley,The Mirage of Action-Dependent Baselines in Reinforcement Learning
248,Zhibing Zhao,Male,Rensselaer Polytechnic Institute,Lirong Xia,Male,RPI,Composite Marginal Likelihood Methods for Random Utility Models
249,Adil El Mesaoudi-Paul,Male,University of Paderborn,Robert Busa-Fekete,Male,Yahoo Research,Ranking Distributions based on Noisy Sorting
250,Thomas Moreau,Male,"CMLA, ENS Paris-Saclay",Nicolas Vayatis,Male,"CMLA, ENS Paris Saclay",DICOD: Distributed Convolutional Coordinate Descent for Convolutional Sparse Coding
251,Zhihao Jia,Male,Stanford University,Alex Aiken,Male,Stanford University,Exploring Hidden Dimensions in Accelerating Convolutional Neural Networks
252,Jason Hartford,Male,University of British Columbia,Siamak Ravanbakhsh,Male,University of British Columbia,Deep Models of Interactions Across Sets
253,Noble Kennamer,Male,"University of California, Irvine",University of California Francisco Javier Sanchez-Lopez,Male,"University of California, Irvine",ContextNet: Deep learning for Star Galaxy Classification
254,Calvin Seward,Male,Zalando Research,Sepp Hochreiter,Male,Johannes Kepler University Linz,First Order Generative Adversarial Networks
255,Tianyu Pang,Male,Tsinghua University,Jun Zhu,Male,Tsinghua University,Max-Mahalanobis Linear Discriminant Analysis Networks
256,Asish Ghoshal,Male,Purdue University,Jean Honorio,Male,Purdue University,Learning Maximum-A-Posteriori Perturbation Models for Structured Prediction in Polynomial Time
257,Alexandre Garcia,Male,Telecom Paristech,Florence d'Alche-Buc,Male,"Télécom ParisTech, Université Paris-Saclay,Paris, France",Structured Output Learning with Abstention: Application to Accurate Opinion Prediction
258,Bo Dai,Male,Georgia Institute of Technology,Le Song,Male,Georgia Institute of Technology,SBEED: Convergent Reinforcement Learning with Nonlinear Function Approximation
