,first-author,,first-author-affiliation,last-author,,last-author-affiliation,title
39,Charlie Dickens,Male,Alan Turing Institute & University of Warwick,David Woodruff,Male,Carnegie Mellon University,Leveraging Well-Conditioned Bases: Streaming and Distributed Summaries in Minkowski $p$-Norms
40,Martin Riedmiller,Male,DeepMind,Jost Springenberg,Male,DeepMind,Learning by Playing - Solving Sparse Reward Tasks from Scratch
41,Mario Srouji,Male,Stanford University,Russ Salakhutdinov,Male,Carnegie Mellen University,Structured Control Nets for Deep Reinforcement Learning
42,Yanan Sui,Male,Stanford,Yisong Yue,Male,Caltech,Stagewise Safe Bayesian Optimization with Gaussian Processes
43,Ricardo Baptista,Male,Massachusetts Institute of Technology,Matthias Poloczek,Male,University of Arizona,Bayesian Optimization of Combinatorial Structures
44,Jiaxuan You,Male,Stanford University,Jure Leskovec,Male,Stanford University,GraphRNN: Generating Realistic Graphs with Deep Auto-regressive Models
45,Sikun Yang,Male,TU Darmstadt,Heinz Koeppl,Male,TU Darmstadt,Dependent Relational Gamma Process Models for Longitudinal Networks
46,Kaushik Sinha,Male,Wichita State University,Kaushik Sinha,Male,Wichita State University,K-means clustering using random matrix sparsification
47,Vaggos Chatziafratis,Male,Stanford University,Moses Charikar,Male,Stanford University,Hierarchical Clustering with Structural Constraints
48,Cijo Jose,Male,Idiap Research Institute,Francois Fleuret,Male,Idiap research institute,Kronecker Recurrent Units
49,Konstantinos Kamnitsas,Male,Imperial College London,Aditya Nori,Male,Microsoft Research Cambridge,Semi-Supervised Learning via Compact Latent Space Clustering
50,Ben Krause,Male,University of Edinburgh,Steve Renals,Male,University of Edinburgh,Dynamic Evaluation of Neural Sequence Models
51,Kyriacos Shiarlis,Male,Latent Logic LTD,Ingmar Posner,Male,University of Oxford,TACO: Learning Task Decomposition via Temporal Alignment for Control
52,Jiaxin Shi,Male,Tsinghua University,Jun Zhu,Male,Tsinghua University,A Spectral Approach to Gradient Estimation for Implicit Distributions
53,Alexander Buchholz,Male,ENSAE-CREST Paris,Stephan Mandt,Male,UC Irvine,Quasi-Monte Carlo Variational Inference
54,Nir Rosenfeld,Male,Harvard University,Yaron Singer,Male,Harvard,Learning to Optimize Combinatorial Functions
55,Shipra Agarwal,Female,Columbia,Vahab Mirrokni,Male,Google Research,"Proportional Allocation: Simple, Distributed, and Diverse Matching with High Entropy"
56,Keyulu Xu,Male,MIT,Stefanie Jegelka,Female,MIT,Representation Learning on Graphs with Jumping Knowledge Networks
57,Aleksandar Bojchevski,Male,Technical University of Munich,Stephan Günnemann,Male,Technical University of Munich,NetGAN: Generating Graphs via Random Walks
58,Jayadev Acharya,Male,Cornell University,Huanyu Zhang,Male,Cornell University,INSPECTRE: Privately Estimating the Unseen
