,first-author,,first-author-affiliation,last-author,,last-author-affiliation,title
279,Yi Wu,Male,UC Berkeley,Stuart Russell,Male,UC Berkeley,Discrete-Continuous Mixtures in Probabilistic Programming: Generalized Semantics and Inference Algorithms
280,Zhuohan Li,Male,Peking University,Tie-Yan Liu,Male,Microsoft Research Asia,Towards Binary-Valued Gates for Robust LSTM Training
281,Eliya Nachmani,Male,Facebook AI Research and Tel Aviv University,Lior Wolf,Male,Facebook AI Research and Tel Aviv University,Fitting New Speakers Based on a Short Untranscribed Sample
282,Matteo Papini,Male,Politecnico di Milano,Marcello Restelli,Male,Politecnico di Milano,Stochastic Variance-Reduced Policy Gradient
283,Ahmed Touati,Male,MILA / FAIR,Pascal Vincent,Male,U Montreal,Convergent Tree Backup and Retrace with Function Approximation
284,Jelena Diakonikolas,Female,Boston University,Orecchia Lorenzo,Male,Boston,Alternating Randomized Block Coordinate Descent
285,Vineet Gupta,Male,Google,Yoram Singer,Male,Google,Shampoo: Preconditioned Stochastic Tensor Optimization
286,Sebastian Claici,Male,MIT,Justin Solomon,Male,MIT,Stochastic Wasserstein Barycenters
287,Yang Song,Male,Stanford University,Stefano Ermon,Male,Stanford University,Accelerating Natural Gradient with Higher-Order Invariance
288,Markus Heinonen,Male,Aalto University,Harri Lähdesmäki,Male,Aalto University,Learning unknown ODE models with Gaussian processes
289,Marco Lorenzi,Male,Inria Sophia Antipolis,Maurizio Filippone,Male,Eurecom,Constraining the Dynamics of Deep Probabilistic Models
290,Lukasz Kaiser,Male,Google,Noam Shazeer,Male,Google,Fast Decoding in Sequence Models Using Discrete Latent Variables
291,Jiyuan Zhang,Male,Cargenie Mellon University,Tze Meng Low,Male,Carnegie Mellon University,High Performance Zero-Memory Overhead Direct Convolutions
292,Shuaiwen Wang,Male,Columbia University,Vahab Mirrokni,Male,Google Research,Approximate Leave-One-Out for Fast Parameter Tuning in High Dimensions
293,Daniele Calandriello,Male,INRIA Lille,Michal Valko,Male,DeepMind,Improved large-scale graph learning through ridge spectral sparsification
294,Jackson Wang,Male,Univeristy of Toronto,Richard Zemel,Male,Vector Institute,Distilling the Posterior in Bayesian Neural Networks
295,Ruoxi Sun,Male,Columbia University,Department of Statistics Liam Paninski,Male,"Department of Statistics, Columbia University",Scalable approximate Bayesian inference for particle tracking data
296,Alexey Drutsa,Male,Yandex,Alexey Drutsa,Male,Yandex,Weakly Consistent Optimal Pricing Algorithms in Repeated Posted-Price Auctions with Strategic Buyer
297,Dylan Foster,Male,Cornell University,Robert Schapire,Male,Microsoft Research,Practical Contextual Bandits with Regression Oracles
298,Difan Zou,Male,University of Virginia,Quanquan Gu,Male,UCLA,Stochastic Variance-Reduced Hamilton Monte Carlo Methods
