,first-author,,first-author-affiliation,last-author,,last-author-affiliation,title
79,Tatsunori Hashimoto,Male,Stanford,Percy Liang,Male,Stanford University,Fairness Without Demographics in Repeated Loss Minimization
80,Bo Zhao,Male,Peking University,Yizhou Wang,Male,Peking University,MSplit LBI: Realizing Feature Selection and Dense Estimation Simultaneously in Few-shot and Zero-shot Learning
81,Pengtao Xie,Male,Carnegie Mellon University,Eric Xing,Male,Petuum Inc. and CMU,Nonoverlap-Promoting Variable Selection
82,Zebang Shen,Male,Zhejiang University,Hui Qian,Female,Zhejiang University,Towards More Efficient Stochastic Decentralized Learning: Faster Convergence and Sparse Communication
83,Alvaro Sanchez-Gonzalez,Male,DeepMind,Peter Battaglia,Male,DeepMind,Graph Networks as Learnable Physics Engines for Inference and Control
84,Bobby Kleinberg,Male,Cornell,Yang Yuan,Male,Cornell University,An Alternative View: When Does SGD Escape Local Minima?
85,Xiangru Lian,Male,University of Rochester,Ji Liu,Male,University of Rochester,Asynchronous Decentralized Parallel Stochastic Gradient Descent
86,Andrew Lan,Male,Princeton University,Christoph Studer,Male,Cornell University,An Estimation and Analysis Framework for the Rasch Model
87,Seth Neel,Male,University of Pennsylvania,Aaron Roth,Male,University of Pennsylvania,Mitigating Bias in Adaptive Data Gathering via Differential Privacy
88,Marco Gaboardi,Male,Univeristy at Buffalo,Ryan Rogers,Male,Apple,Local Private Hypothesis Testing: Chi-Square Tests
89,Hyunjik Kim,Male,"DeepMind, University of Oxford",Andriy Mnih,Male,DeepMind,Disentangling by Factorising
90,Ronan Fruit,Male,Inria Lille Nord-Europe,Ronald Ortner,Male,Montanuniversitaet Leoben,Efficient Bias-Span-Constrained Exploration-Exploitation in Reinforcement Learning
91,Arthur Guez,Male,Google DeepMind,David Silver,Male,Google DeepMind,Learning to search with MCTSnets
92,Zhouyuan Huo,Male,University of Pittsburgh,Heng Huang,Male,University of Pittsburgh,Decoupled Parallel Backpropagation with Convergence Guarantee
93,Thanh Nguyen,Male,Iowa State University,Chinmay Hegde,Male,Iowa State University,On Learning Sparsely Used Dictionaries from Incomplete Samples
94,Amir Dezfouli,Male,UNSW,Richard Nock,Male,"Data61, The Australian National University and the University of Sydney",Variational Network Inference: Strong and Stable with Concrete Support
95,Lin Chen,Male,Yale University,Amin Karbasi,Male,Yale,Weakly Submodular Maximization Beyond Cardinality Constraints: Does Randomization Help Greedy?
96,Marko Mitrovic,Male,Yale University,Amin Karbasi,Male,Yale,Data Summarization at Scale: A Two-Stage Submodular Approach
97,Chao Tao,Male,Indiana University Bloomington,Yuan Zhou,Male,Indiana University Bloomington,Best Arm Identification in Linear Bandits with Linear Dimension Dependency
98,Sven Schmit,Male,Stanford University,Ramesh Johari,Male,Stanford University,Learning with Abandonment
