,first-author,,first-author-affiliation,last-author,,last-author-affiliation,title
119,Noam Shazeer,Male,Google,Mitchell Stern,Male,UC Berkeley,Adafactor: Adaptive Learning Rates with Sublinear Memory Cost
120,Jack Rae,Male,DeepMind,Tim Lillicrap,Male,Google DeepMind,Fast Parametric Learning with Activation Memorization
121,Felix Draxler,Male,Heidelberg University,Fred Hamprecht,Male,Heidelberg Collaboratory for Image Processing,Essentially No Barriers in Neural Network Energy Landscape
122,Thomas Laurent,Male,Loyola Marymount University,James von Brecht,Male,CSULB,Deep Linear Networks with Arbitrary Loss: All Local Minima Are Global
123,Haitao Liu,Male,Rolls-Royce@NTU Corp Lab,Yew Soon ONG,Male,Nanyang Technological University,Generalized Robust Bayesian Committee Machine for Large-scale Gaussian Process Regression
124,Xiaoyue Xi,Male,Imperial College London,Mark Girolami,Male,Imperial College London,Bayesian Quadrature for Multiple Related Integrals
125,Haiguang Wen,Male,Purdue University,Zhongming Liu,Male,Purdue University,Deep Predictive Coding Network for Object Recognition
126,Tatsunori Taniai,Male,RIKEN AIP,Takanori Maehara,Male,RIKEN AIP,Neural Inverse Rendering for General Reflectance Photometric Stereo
127,Steve Mussmann,Male,Stanford University,Percy Liang,Male,Stanford University,On the Relationship between Data Efficiency and Error for Uncertainty Sampling
128,Yewen Pu,Male,MIT,Leslie Kaelbling,Male,(organization),Selecting Representative Examples for Program Synthesis
129,Marta Garnelo,Female,DeepMind,S. M. Ali Eslami,Male,DeepMind,Conditional Neural Processes
130,Nevan Wichers,Male,Google,Honglak Lee,Male,Google Brain,Hierarchical Long-term Video Prediction without Supervision
131,Jonathan Uesato,Male,DeepMind,Aäron van den Oord,Male,Google Deepmind,Adversarial Risk and the Dangers of Evaluating Against Weak Attacks
132,Shibani Santurkar,Male,MIT,Aleksander Madry,Male,MIT,A Classification-Based Study of Covariate Shift in GAN Distributions
133,Lisa Lee,Female,Carnegie Mellon University,Russ Salakhutdinov,Male,Carnegie Mellen University,Gated Path Planning Networks
134,Carlos Florensa,Male,UC Berkeley,Pieter Abbeel,Male,OpenAI / UC Berkeley,Automatic Goal Generation for Reinforcement Learning Agents
135,Guilherme Franca,Male,Johns Hopkins University,Rene Vidal,Male,Johns Hopkins University,ADMM and Accelerated ADMM as Continuous Dynamical Systems
136,Bin Hu,Male,University of Wisconsin-Madison,Laurent Lessard,Male,University of Wisconsin-Madison,Dissipativity Theory for Accelerating Stochastic Variance Reduction: A Unified Analysis of SVRG and Katyusha Using Semidefinite Programs
137,Davide Bacciu,Male,University of Pisa,Alessio Micheli,Male,Universita di Pisa,Contextual Graph Markov Model: A Deep and Generative Approach to Graph Processing
138,Max Nickel,Male,Facebook AI Research,Douwe Kiela,Male,Facebook AI Research,Learning Continuous Hierarchies in the Lorentz Model of Hyperbolic Geometry
