,first-author-affiliation,last-author-affiliation,title
0," Qualitative Reasoning Group, Northwestern University, Evanston, IL"," Qualitative Reasoning Group, Northwestern University, Evanston, IL",Clustering hand-drawn sketches via analogical generalization
1," Chief Information Officer, City University of Hong Kong, Hong Kong SAR"," Chief Information Officer, City University of Hong Kong, Hong Kong SAR",Train outstable scheduling as constraint satisfaction
2," Microsoft QUT eResearch Center, Queensland University of Technology"," Microsoft QUT eResearch Center, Queensland University of Technology",Timed probabilistic automaton: bridge between automatic Raven and Song scope for species recognition
3," Quest University Canada, British Columbia, Canada"," National Institute of Informatics, Tokyo",Balancing the traveling tournament problem for weekday and weekend games
4," McGill University, Montreal, QC"," McGill University, Montreal, QC",Assessing the predictability of hospital readmission using machine learning
5," Department of Electrical Engineering and Computer Science, Case Western Reserve University, Cleveland, OH"," Department of Electrical Engineering and Computer Science, Case Western Reserve University, Cleveland, OH",Detection and prediction of adverse and anomalous events in medical robots
6," School of Electrical Engineering and Computer Science, Oregon State University"," School of Electrical Engineering and Computer Science, Oregon State University",Detecting the moment of snap in real-world football videos
7," Department of Computer Science, University of York, UK"," Department of Computer Science, University of York, UK",Multiagent router throttling: decentralized coordinated response against DDoS attacks
8, Wake Forest University School of Medicine, Wake Forest University School of Medicine,Early prediction of coronary artery calcification levels using machine learning
9," School of Information Systems, Singapore Management University, Singapore"," School of Information Systems, Singapore Management University, Singapore",Scalable randomized patrolling for securing rapid transit networks
10," Department of Computer Science, The Graduate Center, New York, NY"," Department of Computer Science, The Graduate Center and Hunter College of The City University of New York",Case-based meta-prediction for bioinformatics
11," School of EECS, Oregon State University, Corvallis, OR"," School of Human Movement Studies, University of Queensland, Brisbane, Queensland, Australia",Physical activity recognition from accelerometer data using a multi-scale ensemble method
12," Soar Technology, Inc."," Soar Technology, Inc.",Scalable models for patterns of life
13," School of Interactive Computing, Georgia Institute of Technology, Atlanta, GA"," School of Interactive Computing, Georgia Institute of Technology, Atlanta, GA",Learning about representational modality: design and programming projects for knowledge-based AI
14," Department of Electrical Engineering and Computer Science, Case Western Reserve University"," Department of Electrical Engineering and Computer Science, Case Western Reserve University",SEPIA: a scalable game environment for artificial intelligence teaching and research
15," Google Inc., Munich, Germany"," Design & Intelligence Laboratory, School of Interactive Computing, Georgia Institute of Technology, Atlanta, GA","""Paradigms of AI Programming"" in Python"
16," Department of Computer Science, Eastern Washington University"," Department of Computer Science, Eastern Washington University",Student-friendly java-based multiagent event handling
17, Gettysburg College, Loyola Marymount University,Model AI assignments 2013
18," Department of Computer Science, Bar Ilan University Ramat Gan, Israel"," Department of Computer Science, Bar Ilan University Ramat Gan, Israel",Advice provision in multiple prospect selection problems
19," Beijing University of Posts and Telecommunications, China"," Beijing University of Posts and Telecommunications, China",A maximum K-min approach for classification
20," Department of Computer Science, University of Central Arkansas, Conway, Arkansas"," Department of Computer Science, University of Central Arkansas, Conway, Arkansas",Does one-against-all or one-against-one improve the performance of multiclass classifications?
21," Computer Science and Engineering, University of Nebraska-Lincoln"," Computer Science and Engineering, University of Nebraska-Lincoln",Selecting the appropriate consistency algorithm for CSPs using machine learning classifiers
22," Nagoya Institute of Technology, Nagoya, Japan"," Nagoya Institute of Technology, Nagoya, Japan",A mediation mechanism for automated negotiating agents whose utility changes over time
23," Department of Software and Information Systems, The University of North Carolina at Charlotte, Charlotte, NC"," Department of Software and Information Systems, The University of North Carolina at Charlotte, Charlotte, NC",The role of complex network dynamics in the emergence of multiagent coalition
24," School of Information Science and Technology, Dalian Maritime University, Dalian, China"," School of Information Science and Technology, Dalian Maritime University, Dalian, China",Hybrid model-based diagnosis of web service compositions
25," Peggy Payne Academy, McClintock High School, Tempe, AZ"," Peggy Payne Academy, McClintock High School, Tempe, AZ",Phase transition and network structure in realistic SAT problems
26," Computer Science Department, Wellesley College, Wellesley, MA"," Computer Science Department, Wellesley College, Wellesley, MA",Locate the hate: detecting tweets against blacks
27," University of Rochester, Rochester, NY"," University of Rochester, Rochester, NY",Crowd formalization of action conditions
28," University of British Columbia Okanagan, Kelowna, BC, Canada"," University of British Columbia Okanagan, Kelowna, BC, Canada",Trading space for time in grid-based path finding
29," Department of Computer Science, University of Vermont"," Department of Computer Science, University of Massachusetts Boston",Online group feature selection from feature streams
