,first-author-affiliation,last-author-affiliation,title
0," School of Computer Science, University of Massachusetts, Amherst"," School of Computer Science, University of Massachusetts, Amherst",Basis adaptation for sparse nonlinear reinforcement learning
1," Department of Computer Science, University of Rochester, Rochester, NY"," Department of Computer Science, University of Rochester, Rochester, NY",Integrating programming by example and natural language programming
2," Department of Mathematics, University of Padova, Italy"," Department of Computer Science, Tulane University and IHMC",A framework for aggregating influenced CP-nets and its resistance to bribery
3," Computing Science Department, University of Alberta, Edmonton, Alberta, Canada"," Computing Science Department, University of Alberta, Edmonton, Alberta, Canada",Automating collusion detection in sequential games
4," The Hebrew University of Jerusalem, Israel and Microsoft Research, Herzliya", University of Toronto,On the value of using group discounts under price competition
5," School of Engineering and Computer Science, The Hebrew University of Jerusalem, Israel"," School of Engineering and Computer Science, The Hebrew University of Jerusalem, Israel",Bounding the cost of stability in games over interaction networks
6," Pontifical Catholic University of Rio Grande do Sul, Brazil", North Carolina State University,A first-order formalization of commitments and goals for planning
7," Institute for Information and System Sciences and Ministry of Education Key Lab for Intelligent Networks and Network Security, Xian Jiaotong University, Xi'an, China"," The Robotics Institute, Carnegie Mellon University",A cyclic weighted median method for l1 low-rank matrix factorization with missing entries
8," Department of Computer Science, National University of Singapore"," Department of Computer Science, National University of Singapore",From semantic to emotional space in probabilistic sense sentiment analysis
9," University of Southern California, Los Angeles, CA"," University of Southern California, Los Angeles, CA",Analyzing the effectiveness of adversary modeling in security games
10," Computer Science & Engineering, University of Washington, Seattle, WA"," Computer Science & Engineering, University of Washington, Seattle, WA",Symmetry-aware marginal density estimation
11," Ben-Gurion University of the Negev, Be'er Sheva, Israel"," Ben-Gurion University of the Negev, Be'er Sheva, Israel",Cost-optimal planning by self-interested agents
12," Data and Web Science Research Group, University of Mannheim, Mannheim, Germany"," Data and Web Science Research Group, University of Mannheim, Mannheim, Germany",RockIt: exploiting parallelism and symmetry for MAP inference in statistical relational models
13," School of Computer Science, McGill University, Montreal, Canada"," School of Computer Science, McGill University, Montreal, Canada",Mixed observability predictive state representations
14, IBM Research," Facebook, Inc.",Discovering hierarchical structure for sources and entities
15," Sun Yat-sen University, Guangzhou, China"," National University of Singapore, Singapore",Rank aggregation via low-rank and structured-sparse decomposition
16," School of Engineering and Applied Sciences, Harvard University"," Computer Science Department, Carnegie Mellon University",Dynamic social choice with evolving preferences
17," Department of Computer Science, Duke University, Durham, NC"," Department of Computer Science, Duke University, Durham, NC",PAC optimal exploration in continuous space Markov decision processes
18," Department of Computer Science, Duke University, Durham, NC"," Department of Computer Science, Duke University, Durham, NC",Sample complexity and performance bounds for non-parametric approximate linear programming
19," Gonda Brain Research Center, Bar Ilan University, Israel"," University of Maryland, Institute for Advanced Computer Studies and Dept. of Computer Science, Bar Ilan University, Israel",An agent design for repeated negotiation and information revelation with people
20," National Lab of Pattern Recognition, Institute of Automation, Chinese Academy of Sciences"," Department of Computer Science and Engineering, Beijing Jiaotong University",Salient object detection via low-rank and structured sparse matrix decomposition
21," Department of Information Engineering, University of Padova, Italy"," Department of Computer Science, Tulane University and IHMC",Bribery in voting with soft constraints
22," Institute of Artificial Intelligence, University of Ulm, Germany and A. P. Ershov Institute of Informatics Systems, Novosibirsk, Russia"," Department of Computer Science, Ryerson University, Toronto, Canada",Progression of decomposed situation calculus theories
23," Complex and Adaptive Systems Laboratory, University College Dublin, Ireland"," CASL, University College Dublin, Ireland and IST, INESC-ID, Portugal",Partial MUS enumeration
24," Oregon State University, Corvallis, OR"," Oregon State University, Corvallis, OR",Multiagent learning with a noisy global reward signal
25," Ecole Polytechnique Federale de Lausanne, Artificial Intelligence Laboratory, Lausanne, Switzerland"," Ecole Polytechnique Federale de Lausanne, Artificial Intelligence Laboratory, Lausanne, Switzerland",A robust Bayesian truth serum for non-binary signals
26," Center for Data Analytics and Biomedical Informatics, Temple University, Philadelphia, PA"," Center for Data Analytics and Biomedical Informatics, Temple University, Philadelphia, PA",Continuous conditional random fields for efficient regression in large fully connected graphs
27," Department of Computer Science, Bar-Ilan University, Ramat-Gan, Israel"," Department of Computer Science, Bar-Ilan University, Ramat-Gan, Israel",Information sharing under costly communication in joint exploration
28," Sony CSL, Paris, France"," Sony CSL, Paris, France",Enforcing meter in finite-length Markov sequences
29," Bryn Mawr College, Computer Science Department, Bryn Mawr, PA"," Bryn Mawr College, Computer Science Department, Bryn Mawr, PA",Active task selection for lifelong machine learning
