,first-author-affiliation,last-author-affiliation,title
0," Dept. of Computer Science, University of Maryland at College Park"," Department of Informatics, University of Bergen, Bergen, Norway",Preventing unraveling in social networks gets harder
1," ICSI Berkeley, Berkeley, CA"," ICSI Berkeley, Berkeley, CA",Not quite the same: identity constraints for theweb of linked data
2," Yahoo! Research Latin America, Santiago, Chile"," DFKI GmbH, Saarbrücken, Germany",Learning to rank effective paraphrases from query logs for community question answering
3," NTT Software Innovation Center, Tokyo, Japan"," NTT Software Innovation Center, Tokyo, Japan",Fast and exact top-k algorithm for pagerank
4," School of Computer Science, Fudan University, Shanghai, China"," School of Computer Science, Fudan University, Shanghai, China",Understanding and predicting interestingness of videos
5," Department of Mathematical Informatics, The University of Tokyo"," Department of Mathematical Informatics, The University of Tokyo",Clustering crowds
6," USC Information Sciences Institute, Marina del Rey, CA"," USC Information Sciences Institute, Marina del Rey, CA",LA-CTR: a limited attention collaborative topic regression for social media
7," Microsoft Research, Cambridge, United Kingdom"," Northwestern University, Evanston, Illinois",A fast bandit algorithm for recommendations to users with heterogeneous tastes
8, Harvard University, Harvard University,Better human computation through principled voting
9," Department of Information Systems, City University of Hong Kong, Kowloon, Hong Kong"," Department of Information Systems, City University of Hong Kong, Kowloon, Hong Kong",Exploring the contribution of unlabeled data in financial sentiment analysis
10, Microsoft Research Cambridge, Microsoft Research Cambridge,Hotspotting: a probabilistic graphical model for image object localization through crowdsourcing
11," Computer Science Department, Carnegie Mellon University, Pittsburgh"," Computer Science Department, Carnegie Mellon University, Pittsburgh",OpenEval: web information query evaluation
12," NTT Software Innovation Center, Nippon Telegraph and Telephone Corporation, Tokyo, Japan"," NTT Software Innovation Center, Nippon Telegraph and Telephone Corporation, Tokyo, Japan",Fast algorithm for modularity-based graph clustering
13," Department of Computer Science, University of Oxford, Oxford, UK"," Department of Computer Science, University of Oxford, Oxford, UK",Introducing nominals to the combined query answering approaches for EL
14," SEAS, Harvard University, Cambridge, MA"," Information Systems Engineering, Ben Gurion University of the Negev, Be'er Sheva, Israel",TONIC: target oriented network intelligence collection for the social web
15, Harvard University, Xerox Innovation Group,The effects of performance-contingent financial incentives in online labor markets
16," Institute of Computer Science and Technology, Peking University, Beijing, China"," Institute of Computer Science and Technology, Peking University, Beijing, China",Heterogeneous metric learning with joint graph regularization for cross-media retrieval
17," Hong Kong University of Science and Technology, Hong Kong"," Huawei Noah's Ark Lab, Science and Technology Park, Shatin and Hong Kong University of Science and Technology, Hong Kong",Active transfer learning for cross-system recommendation
18," Human-Robot Interaction Laboratory, Tufts University, Medford, MA"," Human-Robot Interaction Laboratory, Tufts University, Medford, MA",A hybrid architectural approach to understanding and appropriately generating indirect speech acts
19," INESC-ID & IST, Porto Salvo, Portugal"," ISTC-CNR, Rome, Italy",An agent model for the appraisal of normative events based in in-group and out-group relations
20," MIT Lincoln Laboratory, Lexington, MA"," MIT Lincoln Laboratory, Lexington, MA",Learning to efficiently pursue communication goals on the web with the GOSMR architecture
21," University of Michigan, Ann Arbor, MI"," University of Michigan, Ann Arbor, MI",Preemptive strategies for overcoming the forgetting of goals
22," Department of Computer Science, University of Rochester, Rochester NY"," Department of Computer Science, University of Rochester, Rochester NY",SALL-E: situated agent for language learning
23," Cycorp Inc., Austin, TX"," Northwestern University, Evanston, IL",Automatic extraction of efficient axiom sets from large knowledge bases
24," Cycorp Inc., Austin, TX"," Northwestern University, Evanston, IL",Graph traversal methods for reasoning in large knowledge-based systems
25," Electronic and Computer Engineering, Technical University of Crete, Chania, Greece"," Electronic and Computer Engineering, Technical University of Crete, Chania, Greece",Agent cooperatives for effective power consumption shifting
26," School of Electrical Engineering and Computer Science, Oregon State University, Corvallis, OR"," School of Electrical Engineering and Computer Science, Oregon State University, Corvallis, OR",PAC optimal planning for invasive species management: improved exploration for reinforcement learning from simulator-defined MDPs
27," Department of Computer Science and Engineering, University of Minnesota"," Department of Computer Science and Engineering, University of Minnesota",Multiple hypothesis object tracking for unsupervised self-learning: an ocean eddy tracking application
28," Cornell Lab of Ornithology, Cornell University, Ithaca, NY"," Department of Computer Science, Cornell University, Ithaca, NY",Adaptive spatio-temporal exploratory models: Hemisphere-wide species distributions from massively crowdsourced ebird data
29, Toyota Technological Institute at Chicago (TTI-C)," IBM Research, India",Online optimization with dynamic temporal uncertainty: incorporating short term predictions for renewable integration in intelligent energy systems
