,first-author-affiliation,last-author-affiliation,title
0," Graduate School of Systems and Information Engineering, University of Tsukuba, Advanced Research Technology Laboratories, Panasonic Corporation"," Faculty of Engineering, Information and Systems, University of Tsukuba",Optimizing objective function parameters for strength in computer game-playing
1," Queensland Research Lab, National ICT Australia, Institute for Integrated and Intelligent Systems, Griffith University"," Queensland Research Lab, National ICT Australia, Institute for Integrated and Intelligent Systems, Griffith University",Mixed heuristic local search for protein structure prediction
2," IBM T.J. Watson Research Center, Yorktown Heights, NY"," IBM T.J. Watson Research Center, Yorktown Heights, NY",Hypothesis exploration for malware detection using planning
3," University of New South Wales, Australia"," University of New South Wales, Australia",Filtering with logic programs and its application to general game playing
4," Department of Computer Science, The University of Texas at Dallas, Richardson, TX"," Department of Computer Science, The University of Texas at Dallas, Richardson, TX",GiSS: combining Gibbs sampling and samplesearch for inference in mixed probabilistic and deterministic graphical models
5," Jet Propulsion Laboratory, California Institute of Technology, Pasadena, CA"," Wesleyan University, Middletown, CT",Guiding scientific discovery with explanations using DEMUD
6," IBM T. J. Watson Research Lab, Yorktown Heights, New York"," Computer Science Department, University of Massachusetts, Amherst, Massachusetts",Multiscale manifold learning
7," Computer Science Department, Stanford University, Stanford, CA"," Computer Science Department, Stanford University, Stanford, CA",Effective bilingual constraints for semi-supervised learning of named entity recognizers
8," Department of Computer Science, University of Pittsburgh, Pittsburgh, PA"," Department of Computer Science, University of Pittsburgh, Pittsburgh, PA",Sparse multi-task learning for detecting influential nodes in an implicit diffusion network
9," Key Laboratory of Machine Perception, Peking University, Beijing, China"," Sun Yat-Sen University, Guangzhou, China","Ranking scientific articles by exploiting citations, authors, journals, and time information"
10," Department of Computer Science, Colorado State University, Fort Collins, CO"," Department of Computer Science, Colorado State University, Fort Collins, CO",Greedy or not? best improving versus first improving stochastic local search for MAXSAT
11," Human-Robot Interaction Laboratory, Tufts University"," Human-Robot Interaction Laboratory, Tufts University",Grounding natural language references to unvisited and hypothetical locations
12," Department of Computer Science, University of New Hampshire, Durham, NH"," Department of Computer Science, University of New Hampshire, Durham, NH",Robust bidirectional search via heuristic improvement
13," College of Computer Science, Zhejiang University, China"," College of Computer Science, Zhejiang University, China",Supervised nonnegative tensor factorization with maximum-margin constraint
14," Institute of Informatics, Technische Universität München, Garching, Germany"," Institute of Informatics, Technische Universität München, Garching, Germany",Lazy Gaussian process committee for real-time online regression
15," School of Computer Science and Technology, Soochow University, Suzhou, China and Institute for Infocomm Research, Connexis, Singapore"," School of Computer Science and Technology, Soochow University, Suzhou, China and Institute for Infocomm Research, Connexis, Singapore",A topic-based coherence model for statistical machine translation
16," Research Center for Dataology and DataScience, School of Computer Science, Fudan University"," School of Computing Science, Simon Fraser University",Towards cohesive anomaly mining
17," Computer Science and Engineering, University of Michigan, Ann Arbor, MI"," Computer Science and Engineering, University of Michigan, Ann Arbor, MI",Learning integrated symbolic and continuous action models for continuous domains
18," National Key Laboratory for Novel Software Technology, Nanjing University, Nanjing, China"," National Key Laboratory for Novel Software Technology, Nanjing University, Nanjing, China",Multi-label learning with PRO loss
19," Raytheon BBN Technologies, Cambridge, MA"," Raytheon BBN Technologies, Cambridge, MA",Temporal milestones in HTNs
20," Image Processing Center, School of Astronautics, Beihang University, Beijing Key Laboratory of Digital Media, Beijing, China"," Image Processing Center, School of Astronautics, Beihang University, Beijing Key Laboratory of Digital Media, Beijing, China",Joint object and pose recognition using homeomorphic manifold analysis
21," Northwestern EECS, Evanston, IL"," Harvard SEAS, Cambridge, MA",Automated workflow synthesis
22," College of Computer Science and Technology, Zhejiang University, Hangzhou, China"," College of Computer Science and Technology, Zhejiang University, Hangzhou, China",A concave conjugate approach for nonconvex penalized regression with the MCP penalty
23," School of Software Technology, Dalian University of Technology, Dalian, China"," School of Software Technology, Dalian University of Technology, Dalian, China",Smart multi-task Bregman clustering and multi-task kernel clustering
24," RIKEN Brain Science Institute, Wakoshi, Saitama, Japan"," RIKEN Brain Science Institute, Wakoshi, Saitama, Japan",A tensor-variate Gaussian process for classification of multidimensional structured data
25," Department of Computer Science and Engineering, Hong Kong University of Science and Technology, Hong Kong, China"," Department of Computer Science and Engineering, Hong Kong University of Science and Technology, Hong Kong, China and Guangzhou HKUST Fok Ying Tung Research Institute, Hong Kong University of Science and Technology, Hong Kong, China",Time-dependent trajectory regression on road networks via multi-task learning
26," Dept. of Computer Science, University of California, Davis, CA"," Dept. of Computer Science, University of California, Davis, CA",Clustering with complex constraints: algorithms and applications
27," Department of Computing, The Hong Kong Polytechnic University, Hong Kong, P.R. China"," Software Institute, Nanjing University, Nanjing, P.R. China",Video saliency detection via dynamic consistent spatio-temporal attention modelling
28," College of Computer Science, Zhejiang University, China"," College of Computer Science, Zhejiang University, China",Supervised coupled dictionary learning with group structures for multi-modal retrieval
29," Dept. of Computer Science, Sun Yat-sen University, Guangzhou, China"," Dept. of Computer Science and Engineering, Arizona State University",Model-lite case-based planning
