,first-author-affiliation,last-author-affiliation,title
0," Vienna University of Technology, Austria"," Vienna University of Technology, Austria",A parameterized complexity analysis of generalized CP-nets
1," National Institute of Informatics, Japan"," National Institute of Informatics, Japan",The most uncreative examinee: a first step toward wide coverage natural language math problem solving
2," School of Software, Sun Yat-sen University, Guangzhou, China"," School of Computing, Engineering and Mathematics, University of Western Sydney, Sydney, Australia",Computing general first-order parallel and prioritized circumscription
3," Department of Information Science and Technology, Sun Yat-sen University, Guangzhou, China"," Microsoft Research, Beijing, China",Knowledge graph embedding by translating on hyperplanes
4," Department of Computer and Information Science, Swedish e-Science Research Centre, Linköping University, Sweden"," Department of Computer and Information Science, Swedish e-Science Research Centre, Linköping University, Sweden",Abduction framework for repairing incomplete EL ontologies: complexity results and algorithms
5," Department of Computer and Information Science, Linköping University, Linköping, Sweden"," Department of Computer and Information Science, Linköping University, Linköping, Sweden",Local-to-global consistency implies tractability of abduction
6," Department of Information Systems Engineering, Ben Gurion University of the Negev, Be'er Sheva, Israel"," Department of Information Systems Engineering, Ben Gurion University of the Negev, Be'er Sheva, Israel",Using model-based diagnosis to improve software testing
7," Department of Computer Science, University of Oxford, UK"," Department of Computer Science, University of Oxford, UK",Pay-as-you-go OWL query answering using a triple store
8," School of Information and Communication Technology, Griffith University, Australia"," School of Computer Science and Engineering, Southeast University, China and State Key Lab for Novel Software Technology, Nanjing University, Nanjing, China",Contraction and revision over DL-Lite TBoxes
9," Dept. of Computer Sciences, University of Wisconsin, Madison, WI"," Dept. of Medicine, University of Wisconsin, Madison, WI",A spatially sensitive kernel to predict cognitive performance from short-term changes in neural structure
10," National Institute of Informatics, Hitotsubashi, Tokyo, Japan"," Sustainable Energy and Environmental Engineering, Graduate School of Engineering, Osaka University, Suita, Osaka, Japan",Accurate household occupant behavior modeling based on data mining techniques
11," School of Information Technology & Electrical Engineering, The University of Queensland and Department of Computer Science and Engineering, University of Texas at Arlington"," Department of Computer Science and Engineering, University of Texas at Arlington",A convex formulation for semi-supervised multi-label feature selection
12," University of Michigan, Ann Arbor, MI"," University of Michigan, Ann Arbor, MI",Predicting postoperative atrial fibrillation from independent ECG components
13," Department of Computer Science and Engineering, University of Minnesota, Minneapolis, MN"," Department of Computer Science and Engineering, University of Minnesota, Minneapolis, MN",Online portfolio selection with group sparsity
14," Department of Electrical & Computer Engineering, Northeastern University, Boston, MA"," Department of Electrical & Computer Engineering, Northeastern University, Boston, MA and College of Computer & Information Science, Northeastern University, Boston, MA",Latent low-rank transfer subspace learning for missing modality recognition
15," Département d'informatique et de recherche opérationnelle, Université de Montréeal, Montréeal, QC"," Département d'informatique et de recherche opérationnelle, Université de Montréeal, Montréeal, QC",On the challenges of physical implementations of RBMs
16," Key Laboratory of Intelligent Information Processing of Chinese Academy of Sciences, Institute of Computing Technology, Beijing, China and School of Computer Engineering, Nanyang Technological University, Singapore"," Key Laboratory of Intelligent Information Processing of Chinese Academy of Sciences, Institute of Computing Technology, Beijing, China",SOML: sparse online metric learning with application to image retrieval
17," Inria Bordeaux Sud-Ouest, France"," Inria Bordeaux Sud-Ouest, France",Calibration-free BCI based control
18, National University of Singapore, National University of Singapore,User intent identification from online discussions using a joint aspect-action topic model
19," Electrical and Computer Engineering, Northeastern University, Boston"," Electrical and Computer Engineering, Northeastern University, Boston and Computer and Information Science, Northeastern University, Boston",Low-rank tensor learning with discriminant analysis for action classification and image recovery
20," Institute of Computing Technology, Chinese Academy of Sciences, Haidian District, Beijing, China"," Google Inc., Mountain View, CA",Ranking tweets by labeled and collaboratively selected pairs with transitive closure
21," Department of Engineering, University of Cambridge"," Department of Engineering, University of Cambridge",Automatic construction and natural-language description of nonparametric regression models
22," Department of Electrical and Computer Engineering, National University of Singapore"," Department of Electrical and Computer Engineering, National University of Singapore",Proximal iteratively reweighted algorithm with multiple splitting for nonconvex sparsity optimization
23," School of Information, Renmin University of China, Beijing, China and Key Laboratory of Data Engineering and Knowledge Engineering, MOE, China"," School of Information, Renmin University of China, Beijing, China",Direct semantic analysis for social image classification
24," Department of Computer Science, Tufts University"," Department of Computer Science, Tufts University",Discovering better AAAI keywords via clustering with community-sourced constraints
25," University of Maryland, College Park"," University of California, Santa Cruz",Learning latent engagement patterns of students in online courses
26," Department of Computer Science and Engineering, The Chinese University of Hong Kong"," Department of Computer Science and Engineering, The Chinese University of Hong Kong",Generalized higher-order tensor decomposition via parallel ADMM
27," Applied Physics and Applied Mathematics, Columbia University, New York, NY"," Systems Engineering and Engineering Management, The Chinese University of Hong Kong, Hong Kong",Doubly regularized portfolio with risk minimization
28, University of Science and Technology of China, Microsoft Research,Learning deep representations for graph clustering
29, University of Science and Technology of China, Microsoft Research,Agent behavior prediction and its generalization analysis
