,first-author-affiliation,last-author-affiliation,title
0," Nanyang Business School, Nanyang Technological University, Singapore"," School of Computer Engineering, Nanyang Technological University, Singapore",TopicMF: simultaneously exploiting ratings and reviews for recommendation
1, Zhejiang University, Zhejiang University,Context- ware collaborative topic regression with social matrix factorization for recommender systems
2," Key Laboratory of Data Engineering and Knowledge Engineering, Renmin University of China, MOE, China"," School of Information, Renmin University of China",Improving context and category matching for entity search
3," Harbin Institute of Technology, Harbin, P.R. China"," Microsoft Research, Beijing, P.R. China",Machine translation with real-time web search
4," School of Computer Engineering, Nanyang Technological University, Singapore"," School of Computer Engineering, Nanyang Technological University, Singapore",Leveraging decomposed trust in probabilistic matrix factorization for effective recommendation
5," Interdisciplinary Graduate School, Nanyang Technological University, Singapore"," University of Electronic Science and Technology of China, China",Influence maximization with novelty decay in social networks
6, École Polytechnique, École Polytechnique,CORECLUSTER: a degeneracy based graph clustering framework
7," Département de génie informatique et génie logiciel, Polytechnique Montréal, Université de Montréal, Montréal, Québec, Canada"," Département de génie informatique et génie logiciel, Polytechnique Montréal, Université de Montréal, Montréal, Québec, Canada",Experiments on visual information extraction with the faces of Wikipedia
8," Computer Science and Engineering, Arizona State University"," Computer Science and Engineering, Arizona State University",Online social spammer detection
9," Department of Computer Science, Key Lab of High Confidence Software Technologies, MOE, Peking University"," Department of Computer Science, Key Lab of High Confidence Software Technologies, MOE, Peking University",User group oriented temporal dynamics exploration
10," School of Computer Science, Fudan University, Shanghai, China and Shanghai Key Laboratory of Intelligent Information Processing, Fudan University, Shanghai, China"," School of Computer Science, Fudan University, Shanghai, China and Shanghai Key Laboratory of Intelligent Information Processing, Fudan University, Shanghai, China",Predicting emotions in user-generated videos
11," Monash University, Australia"," Monash University, Australia",How long will it take? accurate prediction of ontology reasoning performance
12," IBM Dublin Research Center, Damastown Industrial Estate, Dublin, Ireland"," IBM Dublin Research Center, Damastown Industrial Estate, Dublin, Ireland",Towards scalable exploration of diagnoses in an ontology stream
13," Pohang University of Science and Technology, Republic of Korea"," Pohang University of Science and Technology, Republic of Korea",ARIA: asymmetry resistant instance alignment
14," College of Computing, Georgia Institute of Technology, Atlanta, GA"," Software Engineering Institute, East China Normal University, Shanghai, China and College of Computing, Georgia Institute of Technology, Atlanta, GA",Learning parametric models for social infectivity in multi-dimensional Hawkes processes
15," State Key Laboratory of Intelligent Technology and Systems, Tsinghua National Laboratory for Information Science and Technology, Department of Computer Science & Technology, Tsinghua University, Beijing, China"," State Key Laboratory of Intelligent Technology and Systems, Tsinghua National Laboratory for Information Science and Technology, Department of Computer Science & Technology, Tsinghua University, Beijing, China",Fraudulent support telephone number identification based on co-occurrence information on the web
16," Dept. of Computer Science and Operations Research, University of Montreal, Montreal, Quebec, Canada"," Dept. of Computer Science and Operations Research, University of Montreal, Montreal, Quebec, Canada",Compact aspect embedding for diversified query expansions
17," Hong Kong University of Science and Technology, Hong Kong"," Hong Kong University of Science and Technology, Hong Kong and Huawei Noah’s Ark Lab, Hong Kong",Source free transfer learning for text classification
18," Department of Computer Science, Oxford University, Oxford, United Kingdom"," Department of Computer Science, Oxford University, Oxford, United Kingdom","Parallel materialisation of datalog programs in centralised, main-memory RDF systems"
19," The University of Tokyo, Tokyo, Japan and JST, ERATO, Japan"," National Institute of Informatics, Tokyo, Japan and JST, ERATO, Tokyo, Japan",Fast and accurate influence maximization on large networks with pruned Monte-Carlo simulations
20, Institute of Computing Technology of the Chinese Academy of Sciences and University of the Chinese Academy of Sciences, Institute of Computing Technology of the Chinese Academy of Sciences,Combining heterogenous social and geographical information for event recommendation
21, ETH Zurich, Microsoft Research,Stochastic privacy
22," Department of Computer Science, University of California, Santa Barbara, CA"," Zhejiang Key Laboratory of Service Robot, College of Computer Science, Zhejiang University, Hangzhou, China",Mapping users across networks by manifold alignment on hypergraph
23," Max Planck Institute for Informatics, Saarbrücken, Germany"," Max Planck Institute for Informatics, Saarbrücken, Germany",Acquiring comparative commonsense knowledge from the web
24," Zhejiang Provincial Key Laboratory of Service Robot, College of Computer Science, Zhejiang University, China and School of Computing Science, Simon Fraser University, Canada"," State Key Lab of CAD&CG, College of Computer Science, Zhejiang University, China",Who also likes it? generating the most persuasive social explanations in recommender systems
25," Department of Computer Science and Technology, Tsinghua University, Beijing, China"," Sogou Incorporation, Beijing, China",Cross-lingual knowledge validation based taxonomy derivation from heterogeneous online wikis
26," Institute of Computer Science and Technology, Peking University, Beijing, China"," The MOE Key Laboratory of Computational Linguistics, Peking University, Beijing, China",Emotion classification in microblog texts using class sequential rules
27," National Laboratory of Pattern Recognition, Institute of Automation, Chinese Academy of Sciences."," National Laboratory of Pattern Recognition, Institute of Automation, Chinese Academy of Sciences.",Quality-based learning for web data classification
28," Institute of Computer Science and Technology, Peking University, Beijing, China"," Institute of Computer Science and Technology, Peking University, Beijing, China",Cross-view feature learning for scalable social image analysis
29," Samsung Electronics, Suwon, South Korea"," KT and USC, Information Sciences Institute, Marina Del Rey, CA",Capturing difficulty expressions in student online Q&A discussions
