,first-author-affiliation,last-author-affiliation,title
0," Computer, Electrical and Mathematical Sciences & Engineering Division, King Abdullah University of Science & Technology (KAUST), Thuwal, Saudi Arabia"," Computer, Electrical and Mathematical Sciences & Engineering Division, King Abdullah University of Science & Technology (KAUST), Thuwal, Saudi Arabia",Minimizing user involvement for learning human mobility patterns from location traces
1," University of Kentucky, Lexington, Kentucky"," University of Kentucky, Lexington, Kentucky",Generating CP-Nets uniformly at random
2," University of Calabria, Italy"," Leipzig University, Germany",Boolean functions with ordered domains in Answer Set Programming
3," Laboratoire IBISC, Université d'Evry, France"," University of Liverpool, UK",A semantical analysis of Second-order Propositional Modal Logic
4," Dept. of Computer Science, KU Leuven, Belgium"," Dept. of Computer Science, University of Toronto, Canada",A first-order logic of probability and only knowing in unbounded domains
5," CNRS, Univ. Montpellier, Inria, Montpellier, France"," Univ. Rennes 1, CNRS, Lannion, France",Explaining inconsistency-tolerant query answering over description logic knowledge bases
6," Fondazione Bruno Kessler, Trento, Italy and University of Trento, Trento, Italy"," Fondazione Bruno Kessler, Trento, Italy",Automated verification and tightening of failure propagation models
7," LIPADE, Université Paris Descartes, France"," Sorbonne Universités, UPMC Univ Paris, CNRS, LIP6, UMR 7606, Paris",A comparative study of ranking-based semantics for abstract argumentation
8," KRDB Research Centre for Knowledge and Data, Free University of Bozen-Bolzano, Italy"," KRDB Research Centre for Knowledge and Data, Free University of Bozen-Bolzano, Italy",Beyond OWL 2 QL in OBDA: rewritings and approximations
9," Technische Universität Wien, Wien (Austria)"," Technische Universität Wien, Wien (Austria)",SDDs are exponentially more succinct than OBDDs
10," Data and Web Science Group, University of Mannheim, Mannheim, Germany"," Data and Web Science Group, University of Mannheim, Mannheim, Germany",On the containment of SPARQL queries under entailment regimes
11," Department of Computer Science, University of Oxford, UK"," Department of Computer Science, University of Oxford, UK",Logical foundations of privacy-preserving publishing of Linked Data
12," Sapienza Univ. Roma, Rome, Italy"," RMIT University, Melbourne, Australia",Verifying ConGolog programs on bounded situation calculus theories
13," Department of Computer and Information Science, Linköping University, Linköping, Sweden"," Department of Computer and Information Science, Linköping University, Linköping, Sweden",Qualitative spatio-temporal stream reasoning with unobservable intertemporal spatial relations using landmarks
14," TU Wien, Vienna, Austria"," TU Wien, Vienna, Austria",Using decomposition-parameters for QBF: mind the prefix!
15," DeMaCS, University of Calabria, Italy"," DeMaCS, University of Calabria, Italy",The complexity of LTL on finite traces: hard and easy fragments
16," Helsinki Institute for Information Technology HIIT, Department of Computer Science, Aalto University, AALTO, Finland"," Computing Science Department, Simon Fraser University, Burnaby, BC, Canada",SAT-to-SAT: declarative extension of SAT solvers with new propagators
17," National Laboratory of Pattern Recognition (NLPR), Institute of Automation, Chinese Academy of Sciences, Beijing, China"," National Laboratory of Pattern Recognition (NLPR), Institute of Automation, Chinese Academy of Sciences, Beijing, China",Knowledge graph completion with adaptive sparse transfer matrix
18," CAS Key Laboratory of Network Data Science and Technology, Institute of Computing Technology, Chinese Academy of Science, Beijing, China"," CAS Key Laboratory of Network Data Science and Technology, Institute of Computing Technology, Chinese Academy of Science, Beijing, China",Locally adaptive translation for knowledge graph embedding
19, Washington University in St. Louis, Washington University in St. Louis,Learning abductive reasoning using random examples
20," University of Liverpool, United Kingdom"," University of Liverpool, United Kingdom",A model for learning description logic ontologies based on exact learning
21," LAMSADE, CNRS University of Paris-Dauphine, France"," CRIL, CNRS - Univ. Artois, France",Agenda separability in judgment aggregation
22," Department of Computer Science, University of Oxford, UK"," Institute for Computer Science and Engineering (Universidad Nacional del Sur–CONICET), Bahia Blanca, Argentina",Basic probabilistic ontological data exchange with existential rules
23," School of Engineering and Information Technology, UNSW, Canberra"," School of Engineering and Information Technology, UNSW, Canberra",Resistance to corruption of strategic argumentation
24," Stevens Institute of Technology, Hoboken NJ"," Stevens Institute of Technology, Hoboken NJ",Causal explanation under indeterminism: a sampling approach
25," Department of Computing and Information Systems, University of Melbourne"," Department of Computing and Information Systems, University of Melbourne",'Knowing whether' in proper epistemic knowledge bases
26," Université de Montpellier, CNRS, LIRMM, GrahpIK Team, INRIA"," Université de Montpellier, CNRS, LIRMM, GrahpIK Team, INRIA",Ontology-mediated queries for NOSQL databases
27," NTT Communication Science Laboratories, NTT Corporation"," NTT Communication Science Laboratories, NTT Corporation",Zero-suppressed Sentential Decision Diagrams
28," Department of Computer Science, The University of Texas at Dallas"," Department of Computer Science, The University of Texas at Dallas",Scalable training of Markov logic networks using approximate counting
29," United Technologies Research Center, Berkeley, CA"," United Technologies Research Center, Berkeley, CA",Metaphysics of planning domain descriptions
30," Massachusetts Institute of Technology, Cambridge, MA"," Massachusetts Institute of Technology, Cambridge, MA",Expressive recommender systems through normalized nonnegative models
31," Helsinki Institute for Information Technology HIIT, Department of Computer Science, University of Helsinki, Finland"," Helsinki Institute for Information Technology HIIT, Department of Computer Science, University of Helsinki, Finland",Complexity results and algorithms for extension enforcement in abstract argumentation
32," School of Data and Computer Science, Sun Yat-sen University, Guangzhou, China"," School of Computing, Engineering and Mathematics, Western Sydney University, Sydney, Australia",Query answering with inconsistent existential rules under stable model semantics
33," Institute of Digital Media, Peking University, Beijing, P.R. China"," Institute of Digital Media, Peking University, Beijing, P.R. China",Affinity preserving quantization for hashing: a vector quantization approach to learning compact binary codes
34," Theoretical Computer Science, TU Dresden, Germany"," Knowledge-Based Systems Group, RWTH Aachen University, Germany",Decidable verification of Golog programs over non-local effect actions
