,Unnamed: 0,first-author,,first-author-affiliation,last-author,,last-author-affiliation,title
399,399,Tor Lattimore,Male,University of Alberta,Tor Lattimore,Male,University of Alberta,The Pareto Regret Frontier for Bandits.
400,400,Yifan Wu,Male,University of Alberta,Csaba Szepesvari,Male,University of Alberta,Online Learning with Gaussian Payoffs and Side Observations.
401,401,Tomer Koren,Male,Technion,Kfir Y. Levy,Male,Technion,Fast Rates for Exp-concave Empirical Risk Minimization.
402,402,Theodoros Tsiligkaridis,Male,MIT Lincoln Laboratory,Keith Forsythe,Male,MIT Lincoln Laboratory,Adaptive Low-Complexity Sequential Inference for Dirichlet Process Mixture Models.
,,,,,,,,
