,first-author-affiliation,last-author-affiliation,title
0, Wright State University, Wright State University,Rational-based visual planning monitors
1," NICTA, UNSW, Australia and Data61"," NICTA, UNSW, Australia and Data61",Online fair division redux
2," Department of Computer Science & Engineering, Indian Institute of Technology, Delhi"," Department of Computer Science & Engineering, Indian Institute of Technology, Delhi",Lifting techniques for sequential decision making and probabilistic inference
3," Texas Tech University, Lubbock, Texas"," Texas Tech University, Lubbock, Texas",Combining logic and probability: P-log perspective
4," Department of Computer Science, University of Toronto, Canada"," Department of Computer Science, University of Toronto, Canada",Planning under uncertainty and temporally extended goals
5," Department of Computer Science, University of Southern California"," Department of Computer Science, University of Southern California",Bounded suboptimal multi-agent path finding using highways
6," Imperial College London, United Kingdom"," Imperial College London, United Kingdom",Logic-based inductive synthesis of efficient programs
7," Escola Politécnica da Universidade de São Paulo, São Paulo, Brazil"," Escola Politécnica da Universidade de São Paulo, São Paulo, Brazil",Transfer learning for multiagent reinforcement learning systems
8," Department of Computer Science and Engineering, University of Minnesota, Minneapolis, MN"," Department of Computer Science and Engineering, University of Minnesota, Minneapolis, MN",An approach to cooperation in general-sum normal form games
9," Department of Computer Science and Engineering, Lehigh University, Bethlehem, PA"," Department of Computer Science and Engineering, Lehigh University, Bethlehem, PA",Self monitoring goal driven autonomy agents
10," Computer Science and Artificial Intelligence Laboratory, Massachusetts Institute of Technology"," Computer Science and Artificial Intelligence Laboratory, Massachusetts Institute of Technology",Fast motion prediction for collaborative robotics
11," McGill University, Montreal, Canada"," McGill University, Montreal, Canada",Location-based activity recognition with hierarchical dirichlet process
12," Department of Computer Science and Engineering, University of Minnesota, Minneapolis, MN"," Department of Computer Science and Engineering, University of Minnesota, Minneapolis, MN",Action selection methods for multi-agent navigation in crowded environments
13," Center for Applied Autonomous Systems, Örebro University, Örebro, Sweden"," Center for Applied Autonomous Systems, Örebro University, Örebro, Sweden",Proactivity in robots
14," Department of Computer Science, New Mexico State University, Las Cruces, NM"," Department of Computer Science, New Mexico State University, Las Cruces, NM",Probabilistic planning with risk-sensitive criterion
15," Tandon School of Engineering, New York University"," Tandon School of Engineering, New York University",Computer-aided game design: doctoral consortium research abstract
16," Department of Computer Science and Engineering, University of Minnesota"," Department of Computer Science and Engineering, University of Minnesota",Stochastic planning in large search spaces
17," Dept. of Computer Science, Columbia University"," Dept. of Computer Science, Columbia University",Extractive and abstractive event summarization over streaming web text
18," School of Computational Science & Engineering, Georgia Institute of Technology"," School of Computational Science & Engineering, Georgia Institute of Technology",Machine learning for integer programming
19," Columbia University, New York"," Columbia University, New York",Toward a robust and universal crowd-labeling framework
20," Illinois Institute of Technology, Chicago Illinois"," Illinois Institute of Technology, Chicago Illinois",Active inference for dynamic Bayesian networks
21," Northeastern University, Boston, MA"," Northeastern University, Boston, MA",Learning robust representations for data analytics
22," NICTA and Data61, University of New South Wales, Sydney, Australia"," NICTA and Data61, University of New South Wales, Sydney, Australia",Modelling satisfiability problems theory and practice
23," University of Glasgow, Glasgow, Scotland"," University of Glasgow, Glasgow, Scotland",Solving hard subgraph problems in parallel
24," Siemens Corporate Technology, Munich, Germany and Technical University of Munich, Germany"," Siemens Corporate Technology, Munich, Germany and Technical University of Munich, Germany",Semantic framework for industrial analytics and diagnostics
25," Artificial Intelligence Lab., EPFL, Lausanne, Switzerland"," Artificial Intelligence Lab., EPFL, Lausanne, Switzerland",Adaptive sequential recommendation using context trees
26," Eindhoven University of Technology, The Netherlands"," Eindhoven University of Technology, The Netherlands",On the synergy of network science and artificial intelligence
27," Univeristy of Nevada, Reno"," Univeristy of Nevada, Reno",Are spiking neural networks useful for classifying and early recognition of spatio-temporal patterns?
28," Technische Universität Wien, Vienna, Austria"," Technische Universität Wien, Vienna, Austria",Reactive policy checking for action languages
29, Arizona State University, Arizona State University,"Towards understanding natural language: semantic parsing, commonsense knowledge acquisition and applications"
