,first-author,first-author-affiliation,First Author Gender,last-author,last-author-affiliation,Last Author Affiliation,title
197,Rui Wang,Uber AI,Male,Ken Stanley,OpenAI,Male,Enhanced POET: Open-ended Reinforcement Learning through Unbounded Invention of Learning Challenges and their Solutions
198,Somdeb Majumdar,Intel Labs,Male,Kagan Tumer,Oregon State University US,Male,Evolutionary Reinforcement Learning for Sample-Efficient Multiagent Coordination
199,Dongruo Zhou,UCLA,Male,Quanquan Gu,"University of California, Los Angeles",Male,Neural Contextual Bandits with UCB-based Exploration
200,Sicheng Zhu,University of Virginia,Male,David Evans,University of Virginia,Male,Learning Adversarially Robust Representations via Worst-Case Mutual Information Maximization
201,Kelvin Guu,Google,Male,Mingwei Chang,Google,Male,Retrieval Augmented Language Model Pre-Training
202,Raphaël Dang-Nhu,ETH Zürich,Male,Martin Vechev,ETH Zurich,Male,Adversarial Attacks on Probabilistic Autoregressive Forecasting Models
203,Runxue Bao,University of Pittsburgh,Male,Heng Huang,University of Pittsburgh & JD Finance America Corporation,Male,Fast OSCAR and OWL Regression via Safe Screening Rules
204,Mahsa Ghasemi,The University of Texas at Austin,Female,Ufuk Topcu,University of Texas at Austin,Male,Task-Oriented Active Perception and Planning in Environments with Partially Known Semantics
205,Xiaochen Wang,Yale University,Female,Donald Lee,Emory University,Male,BoXHED: Boosted eXact Hazard Estimator with Dynamic covariates
206,Salman Sadiq Shuvo,University of South Florida,Male,Mark Hafen,University of South Florida,Male,A Markov Decision Process Model for Socio-Economic Systems Impacted by Climate Change
207,Yi Li,Nanyang Technological University,Male,Hanrui Zhang,Duke University,Male,Nearly Linear Row Sampling Algorithm for Quantile Regression
208,Florian Wenzel,Google Research,Male,Sebastian Nowozin,Microsoft Research,Male,How Good is the Bayes Posterior in Deep Neural Networks Really?
209,Yang Zhao,University at Buffalo,Male,Changyou Chen,SUNY Buffalo,Male,Feature Quantization Improves GAN Training
210,Ilay Luz,Weizmann Institute of Science,Male,Irad Yavneh,Technion,Male,Learning Algebraic Multigrid Using Graph Neural Networks
211,Qing Li,UCLA,Male,Song-Chun Zhu,UCLA,Male,"Closed Loop Neural-Symbolic Learning via Integrating Neural Perception, Grammar Parsing, and Symbolic Reasoning"
212,Mukund Sundararajan,Google Inc.,Male,Amir Najmi,Google,Male,The Many Shapley Values for Model Explanation
213,Sang-Hyun Lee,Seoul National University,Male,Seung-Woo Seo,Seoul National University,Male,Learning Compound Tasks without Task-specific Knowledge via Imitation and Self-supervised Learning
214,Supratim Shit,IIT Gandhinagar,Male,Anirban Dasgupta,IIT Gandhinagar,Male,Streaming Coresets for Symmetric Tensor Factorization
215,Donald Hejna,UC Berkeley,Male,Pieter Abbeel,UC Berkeley,Male,Hierarchically Decoupled Imitation For Morphological Transfer
216,Ali Teshnizi,Sharif University of Technology,Male,Negar Kiyavash,École Polytechnique Fédérale de Lausanne,Female,LazyIter: A Fast Algorithm for Counting Markov Equivalent DAGs and Designing Experiments
217,Liang Ding,Texas A&M University,Male,Shahin Shahrampour,Texas A&M University,Male,Generalization Guarantees for Sparse Kernel Approximation with Entropic Optimal Features
218,Sebastian Prillo,UC Berkeley,Male,Julian M Eisenschlos,Google,Male,SoftSort: A Continuous Relaxation for the argsort Operator
219,Praneeth Karimireddy,EPFL,Male,Ananda Theertha Suresh,Google Research,Male,SCAFFOLD: Stochastic Controlled Averaging for Federated Learning
220,Nikunj Saunshi,Princeton University,Male,Sanjeev Arora,Princeton University and Institute for Advanced Study,Male,A Sample Complexity Separation between Non-Convex and Convex Meta-Learning
221,Shuang Qiu,University of Michigan,Undefined,Zhuoran Yang,Princeton University,Male,Robust One-Bit Recovery via ReLU Generative Networks: Near-Optimal Statistical Rate and Global Landscape Analysis
222,Felipe Petroski Such,Uber AI Labs,Male,Jeffrey Clune,Open AI,Male,Generative Teaching Networks: Accelerating Neural Architecture Search by Learning to Generate Synthetic Training Data
223,Tom Jurgenson,Technion,Male,Aviv Tamar,Technion,Male,Sub-Goal Trees -- a Framework for Goal-Based Reinforcement Learning
224,Kensen Shi,Google,Male,Charles Sutton,Google,Male,Incremental Sampling Without Replacement for Sequence Models
225,Zhaohan Guo,DeepMind,Male,Mohammad Gheshlaghi Azar,Deepmind,Male,Bootstrap Latent-Predictive Representations for Multitask Reinforcement Learning
226,Zhuohan Li,UC Berkeley,Male,Joseph Gonzalez,UC Berkeley,Male,"Train Big, Then Compress: Rethinking Model Size for Efficient Training and Inference of Transformers"
227,Robi Bhattacharjee,UCSD,Male,Kamalika Chaudhuri,University of California at San Diego,Female,When are Non-Parametric Methods Robust?
228,Pooria Joulani,DeepMind,Male,Csaba Szepesvari,DeepMind/University of Alberta,Male,A simpler approach to accelerated optimization: iterative averaging meets optimism
229,Dylan Foster,MIT,Male,Max Simchowitz,UC Berkeley,Male,Logarithmic Regret for Adversarial Online Control
230,Michal Moshkovitz,University of California San Diego,Male,Nave Frost,Tel-Aviv University,Male,Explainable k-Means and k-Medians Clustering
231,Michael Moor,ETH Zurich,Male,Karsten Borgwardt,ETH Zurich,Male,Topological Autoencoders
232,Haozhi Qi,UC Berkeley,Male,Jitendra Malik,University of California at Berkeley,Male,Deep Isometric Learning for Visual Recognition
233,Matthias Minderer,Google Research,Male,Michael Tschannen,Google Brain,Male,Automatic Shortcut Removal for Self-Supervised Representation Learning
234,Miles Lopes,"University of California, Davis",Male,Michael Mahoney,UC Berkeley,Male,Error Estimation for Sketched SVD via the Bootstrap
235,Junjie Hu,Carnegie Mellon University,Male,Melvin Johnson,Google,Male,XTREME: A Massively Multilingual Multi-task Benchmark for Evaluating Cross-lingual Generalisation
236,Mark Chen,OpenAI,Male,Ilya Sutskever,OpenAI,Male,Generative Pretraining From Pixels
237,Marc Finzi,New York University,Male,Andrew Wilson,New York University,Male,Generalizing Convolutional Neural Networks for Equivariance to Lie Groups on Arbitrary Continuous Data
238,Marie-Liesse Cauwet,"Université Paris-Est, LIGM (UMR 8049), CNRS, ESIEE Paris",Female,Nicolas Usunier,Facebook AI Research,Male,Fully Parallel Hyperparameter Search: Reshaped Space-Filling
239,Xinshi Chen,Georgia Institution of Technology,Female,Le Song,Georgia Institute of Technology,Male,Learning To Stop While Learning To Predict
240,Felix Xinnan Yu,Google,Male,Sanjiv Kumar,"Google Research, NY",Male,Federated Learning with Only Positive Labels
241,Niru Maheswaranathan,Google Brain,Male,David Sussillo,"Google Brain, Google Inc.",Male,How recurrent networks implement contextual processing in sentiment analysis
242,Asaf Weinstein,The Hebrew University of Jerusalem,Male,Aaditya Ramdas,Carnegie Mellon University,Male,Online Control of the False Coverage Rate and False Sign Rate
243,Gamaleldin Elsayed,"Google Research, Brain Team",Male,Simon Kornblith,Google Brain,Male,Revisiting Spatial Invariance with Low-Rank Local Connectivity
244,Vivien Cabannnes,INRIA,Male,Francis Bach,INRIA - Ecole Normale Supérieure,Male,Structured Prediction with Partial Labelling through the Infimum Loss
245,Tong Yu,Carnegie Mellon University,Male,Ole J. Mengshoel,Carnegie Mellon University,Male,Influence Diagram Bandits: Variational Thompson Sampling for Structured Bandit Problems
246,Hans Kersting,University of Tuebingen,Male,Philipp Hennig,University of Tuebingen,Male,Differentiable Likelihoods for Fast Inversion of 'Likelihood-Free' Dynamical Systems
247,Meyer Scetbon,"CREST, ENSAE",Male,Zaid Harchaoui,University of Washington,Male,Harmonic Decompositions of Convolutional Networks
248,Yuxuan Xie,INSA de Lyon,Male,Olivier Buffet,INRIA - LORIA,Male,Optimally Solving Two-Agent Decentralized POMDPs Under One-Sided Information Sharing 
249,Yiding Feng,Northwestern University,Male,Denis Nekipelov,,Male,Global Concavity and Optimization in a Class of Dynamic Discrete Choice Models
250,Zaheer Abbas,University of Alberta,Male,Martha White,University of Alberta,Female,Selective Dyna-style Planning Under Limited Model Capacity
251,Qiaohui Lin,University of Texas at Austin,Female,Purnamrita Sarkar,UT Austin,Female,On the Theoretical Properties of the Network Jackknife
252,Adam Stooke,UC Berkeley,Male,Pieter Abbeel,UC Berkeley & Covariant,Male,Responsive Safety in Reinforcement Learning by PID Lagrangian Methods
253,Lantao Yu,Stanford University,Male,Stefano Ermon,Stanford University,Male,Training Deep Energy-Based Models with f-Divergence Minimization
254,Ayush Jain,UC San Diego,Male,Alon Orlitsky,UCSD,Male,Optimal Robust Learning of Discrete Distributions from Batches
255,Haggai Maron,NVIDIA Research,Male,Ethan Fetaya,Bar-Ilan University,Male,On Learning Sets of Symmetric Elements
256,Amin Rakhsha,Max Planck Institute for Software Systems (MPI-SWS),Male,Adish Singla,Max Planck Institute (MPI-SWS),Male,Policy Teaching via Environment Poisoning: Training-time Adversarial Attacks against Reinforcement Learning
257,Amr Mohamed Alexandari,Stanford University,Male,Avanti Shrikumar,Stanford University,Female,Maximum Likelihood with Bias-Corrected Calibration is Hard-To-Beat at Label Shift Adaptation
258,Abhimanyu Dubey,Massachusetts Institute of Technology,Male,Alex `Sandy' Pentland,MIT,Male,Kernel Methods for Cooperative Multi-Agent Contextual Bandits
259,Daniele Calandriello,IIT/DeepMind,Male,Lorenzo Rosasco,"unige, mit, iit",Male,Near-linear time Gaussian process optimization with adaptive batching and resparsification
260,Pavol Bielik,ETH Zurich,Male,Martin Vechev,ETH Zurich,Male,Adversarial Robustness for Code
261,Antonios Antoniadis,MPII,Male,Bertrand Simon,University of Bremen,Male,Online metric algorithms with untrusted predictions
262,Sofien Dhouib,CREATIS Laboratory INSA Lyon,Male,Marc Sebban,Jean Monnet University,Male,A Swiss Army Knife for Minimax Optimal Transport
263,Kuno Kim,Stanford University,Male,Stefano Ermon,Stanford University,Male,Domain Adaptive Imitation Learning
264,Aditi Raghunathan,Stanford,Female,Percy Liang,Stanford University,Male,Understanding and Mitigating the Tradeoff between Robustness and Accuracy
265,John Martin,Stevens Institute of Technology,Male,Brendan Englot,Stevens Institute of Technology,Male,Stochastically Dominant Distributional Reinforcement Learning
266,Steven Kleinegesse,University of Edinburgh,Male,Michael Gutmann,University of Edinburgh,Male,Bayesian Experimental Design for Implicit Models by Mutual Information Neural Estimation
267,Feng Liu,UTS/UCL,Male,D.J. Sutherland,TTI-Chicago,Female,Learning Deep Kernels for Non-Parametric Two-Sample Tests
268,Gaurush Hiranandani,UIUC,Male,Prateek Jain,Microsoft Research,Male,Optimization and Analysis of the pAp@k Metric for Recommender Systems
269,Zitong Yang,"University of California, Berkeley",Male,Yi Ma,UC Berkeley,Male,Rethinking Bias-Variance Trade-off for Generalization of Neural Networks
270,Leon Sixt,Freie Universität Berlin,Male,Tim Landgraf,Freie Universität Berlin,Male,When Explanations Lie: Why Many Modified BP Attributions Fail
271,Alessandro Luongo,Université Paris,Male,Anupam Prakash,Université Paris Diderot,Male,Quantum Expectation-Maximization for Gaussian mixture models
272,Trevor Standley,Stanford University,Male,Silvio Savarese,Stanford University,Male,Which Tasks Should Be Learned Together in Multi-task Learning?
273,Alexey Drutsa,Yandex,Male,Alexey Drutsa,Yandex,Male,Optimal Non-parametric Learning in Repeated Contextual Auctions with  Strategic Buyer
274,Victor Campos,Barcelona Supercomputing Center,Male,Jordi  Torres,Barcelona Supercomputing Center,Male,"Explore, Discover and Learn: Unsupervised Discovery of State-Covering Skills"
275,Zhiwei Jia,"University of California, San Diego",Male,Hao Su,UCSD,Male,Information-Theoretic Local Minima Characterization and Regularization
276,Arman Zharmagambetov,"University of California, Merced",Male,Miguel Carreira-Perpinan,"University of California, Merced",Male,"Smaller, more accurate regression forests using tree alternating optimization"
277,Basil Saeed,MIT,Male,Caroline Uhler,Massachusetts Institute of Technology,Female,Causal Structure Discovery from Distributions Arising from Mixtures of DAGs
278,Yatin Chaudhary,Siemens AG,Male,Pankaj Gupta,Siemens AG,Male,Explainable and Discourse Topic-aware Neural Language Understanding
279,Yang Liu,UC Santa Cruz,Male,Hongyi Guo,Shanghai Jiao Tong University,Male,Peer Loss Functions: Learning from Noisy Labels without Knowing Noise Rates
280,Saadullah Amin,German Research Center for Aritificial Intelligence (DFKI),Male,Günter Neumann,German Research Center for Artificial Intelligence (DFKI),Male,LowFER: Low-rank Bilinear Pooling for Link Prediction
281,Thodoris Lykouris,Microsoft Research NYC,Male,Renato Leme,Google Research,Male,Bandits with Adversarial Scaling
282,Alex Nowak,INRIA - Ecole Normale Supérieure,Male,Alessandro Rudi,"INRIA, École Normale Supérieure",Male,Consistent Structured Prediction with Max-Min Margin Markov Networks
283,Alvaro Sanchez-Gonzalez,DeepMind,Male,Peter Battaglia,DeepMind,Male,Learning to Simulate Complex Physics with Graph Networks
284,REDA ALAMI,TOTAL,Male,Raphaël Féraud,Orange Labs,Male,Restarted Bayesian Online Change-point Detector achieves Optimal Detection Delay
285,Conor Durkan,University of Edinburgh,Male,George Papamakarios,DeepMind,Male,On Contrastive Learning for Likelihood-free Inference 
286,Ivan Nazarov,Skolkovo Institute of Science and Technology,Male,Evgeny Burnaev,Skoltech,Male,Bayesian Sparsification of Deep C-valued Networks
287,Francesco Locatello,ETH Zurich - Max Planck Institute,Male,Michael Tschannen,Google Brain,Male,Weakly-Supervised Disentanglement Without Compromises
288,Abbas Abdolmaleki,DeepMind,Male,Martin Riedmiller,DeepMind,Male,A distributional view on multi-objective policy optimization
289,Ronan Collobert,Facebook AI Research,Male,Gabriel Synnaeve,Facebook AI Research,Male,Word-Level Speech Recognition With a Letter to Word Encoder
290,Marc Pfetsch,TU Darmstadt,Male,Sebastian Pokutta,ZIB,Male,IPBoost – Non-Convex Boosting via Integer Programming
291,Tomer Golany,Technion - Israel Institute of Technology,Male,Daniel Freedman,Google Israel,Male,SimGANs: Simulator-Based Generative Adversarial Networks for ECG Synthesis to Improve Deep ECG Classification
292,Batiste Le Bars,Centre Borelli - ENS Paris-Saclay,Male,Nicolas Vayatis,ENS Cachan,Male,Learning the piece-wise constant graph structure of a varying Ising model
293,Dmytro Perekrestenko,ETH Zürich,Male,Helmut Bölcskei,ETH Zurich,Male,Constructive Universal High-Dimensional Distribution Generation through Deep ReLU Networks
294,Yao Liu,Stanford University,Male,Emma Brunskill,Stanford University,Female,Understanding the Curse of Horizon in Off-Policy Evaluation via Conditional Importance Sampling
295,Ekaterina Iakovleva,Inria,Female,Karteek Alahari,Inria,Male,Meta-Learning with Shared Amortized Variational Inference
296,Danilo J. Rezende,DeepMind,Male,Kyle Cranmer,"New York University, CERN",Male,Normalizing Flows on Tori and Spheres
297,Manan Tomar,Facebook AI Research,Male,Mohammad Ghavamzadeh,Google Research,Male,Multi-step Greedy Reinforcement Learning Algorithms
298,John Bronskill,University of Cambridge,Male,Richard E Turner,University of Cambridge,Male,TaskNorm: Rethinking Batch Normalization for Meta-Learning
299,Arsenii Kuznetsov,Samsung,Male,Dmitry Vetrov,"Higher School of Economics, Samsung AI Center Moscow",Male,Controlling Overestimation Bias with Truncated Mixture of Continuous Distributional Quantile Critics
300,GEOFFREY Negiar,UC Berkeley,Male,Fabian Pedregosa,Google,Male,Stochastic Frank-Wolfe for Constrained Finite-Sum Minimization
301,Hachem Kadri,Aix-Marseille University,Male,Ralaivola Liva,Criteo AI Lab,Male,Partial Trace Regression and Low-Rank Kraus Decomposition
302,Philip Ball,University of Oxford,Male,Stephen Roberts,University of Oxford,Male,Ready Policy One: World Building Through Active Learning
303,Eugene Kharitonov,Facebook AI,Male,Marco Baroni,Facebook Artificial Intelligence Research,Male,Entropy Minimization In Emergent Languages
304,Ugo Tanielian,Criteo,Male,Jeremie Mary,Criteo AI Lab,Male,Learning disconnected manifolds: a no GAN's land
305,Steve James,University of the Witwatersrand,Male,George Konidaris,Brown,Male,Learning Portable Representations for High-Level Planning
306,Marc Brockschmidt,Microsoft Research,Male,Marc Brockschmidt,Microsoft Research,Male,GNN-FiLM: Graph Neural Networks with Feature-wise Linear Modulation
307,Aleksei Triastcyn,EPFL,Male,Boi Faltings,EPFL,Male,Bayesian Differential Privacy for Machine Learning
308,Gregory Farquhar,Deepmind,Male,Gabriel Synnaeve,Facebook AI Research,Male,Growing Action Spaces
309,Jonathan Lacotte,Stanford University,Male,Mert Pilanci,Stanford,Male,Optimal Randomized First-Order Methods for Least-Squares Problems
310,David Stutz,Max Planck Institute for Informatics,Male,Bernt Schiele,MPI Informatics,Male,Confidence-Calibrated Adversarial Training: Generalizing to Unseen Attacks
311,Ayush Jain,University of Southern California,Male,Joseph Lim,Univ. of Southern California,Male,Generalization to New Actions in Reinforcement Learning
312,Dan Garber,Technion,Male,Kfir Levy,Technion,Male,Online Convex Optimization in the Random Order Model
313,Claire Vernade,DeepMind,Female,King Tim Mann,DeepMind,Male,Non-Stationary Delayed Bandits with Intermediate Observations
314,Joost van Amersfoort,University of Oxford,Male,Yarin Gal,University of Oxford,Male,Uncertainty Estimation Using a Single Deep Deterministic Neural Network
315,Hien Le,"University of Mons, Belgium.",Female,Panagiotis Patrinos,KU Leuven,Male,Inertial Block Proximal Methods for Non-Convex Non-Smooth Optimization
316,Gregor Bachmann,ETH Zurich,Male,Octavian Ganea,MIT,Male,Constant Curvature Graph Convolutional Networks
317,Daniele Zambon,Università della Svizzera Italiana,Male,Lorenzo Livi,University of Manitoba,Male,Graph Random Neural Features for Distance-Preserving Graph Representations
318,Quentin Bertrand,INRIA,Male,Joseph Salmon,Université de Montpellier,Male,Implicit differentiation of Lasso-type models for hyperparameter optimization
319,Andrea Tirinzoni,Politecnico di Milano,Male,Marcello Restelli,Politecnico di Milano,Male,Sequential Transfer in Reinforcement Learning with a Generative Model
320,Murray Shanahan,DeepMind / Imperial College London,Male,Marta Garnelo,DeepMind,Female,An Explicitly Relational Neural Network Architecture
321,Joeri Hermans,University of Liège,Male,Gilles Louppe,University of Liège,Male,Likelihood-free MCMC with Amortized Approximate Ratio Estimators
322,Aleksei Petrenko,University of Southern California,Male,Vladlen Koltun,Intel Labs,Male,Sample Factory: Egocentric 3D Control from Pixels at 100000 FPS with Asynchronous Reinforcement Learning
323,Jonas Köhler,Freie Universität Berlin,Male,Frank Noe,FU Berlin,Male,Equivariant Flows: Exact Likelihood Generative Learning for Symmetric Densities
324,Umut Simsekli,Institut Polytechnique de Paris / University of Oxford,Male,Mert Gurbuzbalaban,Rutgers University,Male,Fractional Underdamped Langevin Dynamics: Retargeting SGD with Momentum under Heavy-Tailed Gradient Noise
325,Auke Wiggers,Qualcomm AI Research,Male,Emiel Hoogeboom,University of Amsterdam,Male,Predictive Sampling with Forecasting Autoregressive Models
326,Yaniv Blumenfeld,Technion,Male,Daniel Soudry,Technion,Male,Beyond Signal Propagation: Is Feature Diversity Necessary in Deep Neural Network Initialization?
327,Allan Grønlund,Aarhus University,Male,Kasper Green Larsen,"Aarhus University, MADALGO",Male,Near-Tight Margin-Based Generalization Bounds for Support Vector Machines
328,Xiao Li,University of Aberdeen,Male,Frank Guerin,University of Surrey,Male,Latent Space Factorisation and Manipulation via Matrix Subspace Projection
329,Pierre Laforgue,Télécom Paris,Male,Florence d'Alche-Buc,"Télécom ParisTech, Université Paris-Saclay,Paris, France",Female,Duality in RKHSs with Infinite Dimensional Outputs: Application to Robust Losses
330,Francesca Mignacco,"IPhT, CEA Saclay",Female,Lenka Zdeborova,CNRS,Female,The Role of Regularization in Classification of High-dimensional Noisy Gaussian Mixture
331,Leonardo Cella,University of Milan,Male,Massimiliano Pontil,Istituto Italiano di Tecnologia and University College London,Male,Meta-learning with Stochastic Linear Bandits
332,Ahmed Alaa,UCLA,Male,Mihaela van der Schaar,University of Cambridge and UCLA,Female,Frequentist Uncertainty in Recurrent Neural Networks via Blockwise Influence Functions
333,Nikita Doikov,Université catholique de Louvain,Male,Yurii Nesterov,Universite catholique de Louvain,Male,Inexact Tensor Methods with Dynamic Accuracies
334,Natasa Tagasovska,Swiss Data Science Center EPFL/ETH,Female,Thibault Vatter,Columbia University,Male,Distinguishing Cause from Effect Using Quantiles: Bivariate Quantile Causal Discovery
335,Tor Lattimore,DeepMind,Male,Gellért Weisz,DeepMind,Male,Learning with Good Feature Representations in Bandits and in RL with a Generative Model
336,Jonathan Frankle,MIT CSAIL,Male,Michael Carbin,MIT,Male,Linear Mode Connectivity and the Lottery Ticket Hypothesis
337,Shubhanshu Shekhar,"University of California, San Diego",Male,Mohammad Ghavamzadeh,Google Research,Male,Adaptive Sampling for Estimating Probability Distributions
338,Shuang Li,Harvard University,Female,Le Song,Georgia Institute of Technology,Male,Temporal Logic Point Processes
339,Aleksei Ustimenko,Yandex,Male,Liudmila Prokhorenkova,Yandex,Female,StochasticRank: Global Optimization of Scale-Free Discrete Functions
340,Richard Nock,"Data61, The Australian National University and the University of Sydney",Male,Aditya Menon,Google Research,Male,Supervised learning: no loss no cry
341,Dominic Richards,University of Oxford,Male,Lorenzo Rosasco,"unige, mit, iit",Male,Decentralised Learning with Random Features and Distributed Gradient Descent
342,Tianlin Liu,University of Basel,Male,Friedemann Zenke,Friedrich Miescher Institute,Male,Finding trainable sparse networks through Neural Tangent Transfer 
343,Riccardo Grazzi,Istituto Italiano di Tecnologia - University College London,Male,Saverio Salzo,Istituto Italiano di Tecnologia,Male,On the Iteration Complexity of Hypergradient Computation
344,Paolo Ferragina,Università di Pisa,Male,Giorgio Vinciguerra,Università di Pisa,Male,Why Are Learned Indexes So Effective?
345,Sasha Vezhnevets,DeepMind,Male,Joel Z Leibo,DeepMind,Male,OPtions as REsponses: Grounding behavioural hierarchies in multi-agent reinforcement learning
346,David Woodruff,CMU,Male,Amir Zandieh,EPFL,Male,Near Input Sparsity Time Kernel Embeddings via Adaptive Sampling
347,Mathieu Blondel,Google,Male,Josip Djolonga,"Google Research, Zurich",Male,Fast Differentiable Sorting and Ranking
348,Leonard Berrada,University of Oxford,Male,M. Pawan Kumar,University of Oxford,Male,Training Neural Networks for and by Interpolation
349,Pasquale Minervini,University College London,Male,Tim Rocktäschel,Facebook AI Research & University College London,Male,Learning Reasoning Strategies in End-to-End Differentiable Proving
350,Asaf Cassel,Tel Aviv University,Male,Tomer Koren,Tel Aviv University,Male,Logarithmic Regret for Learning Linear Quadratic Regulators Efficiently
351,Kevin Yang,UC Berkeley,Male,Tommi Jaakkola,MIT,Male,Improving Molecular Design by Stochastic Iterative Target Augmentation
352,Zhendong Wang,"University of Texas, Austin",Male,Mingyuan Zhou,University of Texas at Austin,Male,Thompson Sampling via Local Uncertainty
353,Reinhard Heckel,Rice University,Male,Mahdi Soltanolkotabi,University of Southern California,Male,Compressive sensing with un-trained neural networks: Gradient descent finds a smooth approximation
354,Hang Zhang,Georgia Tech,Male,Ping Li,Baidu,Male,Optimal Estimator for Unlabeled Linear Regression
355,Eliya Nachmani,Tel-Aviv University & Facebook AI Research,Male,Lior Wolf,Facebook AI Research and Tel Aviv University,Male,Voice Separation with an Unknown Number of Multiple Speakers
356,Laurence Aitchison,University of Bristol,Male,Laurence Aitchison,University of Bristol,Male,Why bigger is not always better: on finite and infinite neural networks
357,Georg Kohl,Technical University of Munich,Male,Nils Thuerey,Technical University of Munich,Male,Learning Similarity Metrics for Numerical Simulations
358,John Sipple,Google,Male,John Sipple,Google,Male,"Interpretable, Multidimensional, Multimodal Anomaly Detection with Negative Sampling for Detection of Device Failure"
359,Vaclav Rozhon,ETH,Male,Vaclav Rozhon,ETH,Male,Simple and sharp analysis of k-means||
360,Hao Wang,MIT,Male,Dina Katabi,MIT,Female,Continuously Indexed Domain Adaptation
361,Vu Nguyen,University of Oxford,Male,Michael A Osborne,U Oxford,Male,Knowing The What But Not The Where in Bayesian Optimization
362,Mohamed El Amine Seddik,CEA,Male,Romain COUILLET,CentraleSupélec,Male,Random Matrix Theory Proves that Deep Learning Representations of GAN-data Behave as Gaussian Mixtures
363,Hicham Janati,Inria,Male,Alexandre Gramfort,Inria,Male,Debiased Sinkhorn barycenters
364,Yanyao Shen,UT Austin,Male,Inderjit Dhillon,UT Austin & Amazon,Male,Extreme Multi-label Classification from Aggregated Labels
365,Jiri Hron,University of Cambridge,Male,Roman Novak,Google Brain,Male,Infinite attention: NNGP and NTK for deep attention networks
366,Nathan Kallus,Cornell University,Male,Masatoshi Uehara,Harvard University,Male,Double Reinforcement Learning for Efficient and Robust Off-Policy Evaluation
367,Yaotian Wang,Princeton University,Male,Jason Fleischer,Princeton University,Male,When deep denoising meets iterative phase retrieval
368,Edouard Oyallon,CNRS/LIP6,Male,Edouard Oyallon,CNRS/LIP6,Male,Interferometric Graph Transform: a Deep Unsupervised Graph Representation
369,Qiuyu Zhu,National University of Singapore,Male,Vincent Tan,National University of Singapore,Male,Thompson Sampling Algorithms for Mean-Variance Bandits
370,Kaizhi Qian,University of Illinois at Urbana-Champaign,Male,David Cox,MIT-IBM Watson AI Lab,Male,Unsupervised Speech Decomposition via Triple Information Bottleneck
371,Amy Zhang,McGill University,Female,Doina Precup,McGill University / DeepMind,Female,Invariant Causal Prediction for Block MDPs
372,Ching-Yao Chuang,MIT,Male,Stefanie Jegelka,Massachusetts Institute of Technology,Female,Estimating Generalization under Distribution Shifts via Domain-Invariant Representations
373,Muhammad Asim,"Information Technology University, Lahore",Male,Paul Hand,Northeastern University,Male,Invertible generative models for inverse problems: mitigating representation error and dataset bias
374,Jingfeng Zhang,National University of Singapore,Male,Mohan Kankanhalli,"National University of Singapore,",Male,Attacks Which Do Not Kill Training Make Adversarial Learning Stronger
375,Shion Takeno,Nagoya Institute of Technology,Male,Masayuki Karasuyama,Nagoya Institute of Technology,Male,Multi-fidelity Bayesian Optimization with Max-value Entropy Search and its Parallelization
376,Kaixuan Wei,Beijing Institute of Technology,Male,Hua Huang,Beijing Institute of Technology,Male,Tuning-free Plug-and-Play Proximal Algorithm for Inverse Imaging Problems
377,Xiantong Zhen,University of Amsterdam,Male,Cees Snoek,University of Amsterdam,Male,Learning to Learn Kernels with Variational Random Features
378,Futoshi Futami,NTT,Male,Masashi Sugiyama,RIKEN / The University of Tokyo,Male,Accelerating the diffusion-based ensemble sampling by non-reversible dynamics
379,Omar Montasser,TTI-Chicago,Male,Nati Srebro,Toyota Technological Institute at Chicago,Male,Efficiently Learning Adversarially Robust Halfspaces with Noise
380,Che Wang,New York University,Male,Keith Ross,New York University Shanghai,Male,Striving for Simplicity and Performance in Off-Policy DRL: Output Normalization and Non-Uniform Sampling
381,HaiYing Wang,University of Connecticut,Male,HaiYing Wang,University of Connecticut,Male,Logistic Regression for Massive Data with Rare Events
382,Keizo Kato,Fujitsu Laboratories Ltd.,Male,Akira Nakagawa,Fujitsu Laboratories Ltd.,Male,Rate-distortion optimization guided autoencoder for isometric embedding in Euclidean latent space
383,Xingrui Yu,University of Technology Sydney,Male,Ivor Tsang,University of Technology Sydney,Male,Intrinsic Reward Driven Imitation Learning via Generative Model
384,Kei Ota,Mitsubishi Electric Corporation,Male,Daniel Nikovski,Mitsubishi Electric Research Labs,Male,Can Increasing Input Dimensionality Improve Deep Reinforcement Learning?
385,Yuta Saito,Tokyo Institute of Technology.,Male,Shota Yasui,Cyberagent,Male,Counterfactual Cross-Validation: Stable Model Selection Procedure for Causal Inference Models
386,Zhen-Yu Zhang,Nanjing University,Male,Zhi-Hua Zhou,Nanjing University,Male,Learning with Feature and Distribution Evolvable Streams
387,Pan Zhou,Salesforce,Male,Xiao-Tong Yuan,Nanjing University of Information Science & Technology,Male,Hybrid Stochastic-Deterministic Minibatch Proximal Gradient: Less-Than-Single-Pass Optimization with Nearly Optimal Generalization
388,Jianing Li,"Institute of Computing Technology, Chinese Academy of Sciences",Female,Xueqi Cheng,"Institute of Computing Technology, CAS, China",Male,On the Relation between Quality-Diversity Evaluation and Distribution-Fitting Goal in Text Generation
389,Hyojin Bahng,Korea University,Female,Seong Joon Oh,"Clova AI Research, NAVER Corp.",Male,Learning De-biased Representations with Biased Representations
