,first-author,first-author-affiliation,First Author Gender,last-author,last-author-affiliation,Last Author Affiliation,title
45,Changxiao Cai,Princeton University,Male,Yuxin Chen,Princeton University,Male,"Uncertainty quantification for nonconvex tensor completion: Confidence intervals, heteroscedasticity and optimality"
46,Yaodong Yang,Tianjin University,Male,Zhongyu Wei,Fudan University,Male,Q-value Path Decomposition for Deep Multiagent Reinforcement Learning
47,Dejun Chu,Tsinghua University,Male,Qing Tao,Army Academy of Artillery and Air Defense,Male,"Semismooth Newton Algorithm for Efficient Projections onto $\ell_{1, \infty}$-norm Ball"
48,Qi Cai,Northwestern University,Male,Zhaoran Wang,Northwestern U,Male,Provably Efficient Exploration in Policy Optimization
49,Jiaxian Guo,The University of Sydney,Male,Dacheng Tao,The University of Sydney,Male,LTF: A Label Transformation Framework for Correcting Label Shift
50,Chaosheng Dong,University of Pittsburgh,Male,Bo Zeng,University of Pittsburgh,Male,"Expert Learning through Generalized Inverse Multiobjective Optimization: Models, Insights, and Algorithms"
51,Jooyoung Moon,Seoul National University of Science and Technology,Male,Sangheum Hwang,Seoul National University of Science and Technology,Male,Confidence-Aware Learning for Deep Neural Networks
52,Zeyu Zheng,University of Michigan,Male,Satinder Singh,DeepMind,Male,What Can Learned Intrinsic Rewards Capture?
53,Kaito Fujii,National Institute of Informatics,Male,Kaito Fujii,National Institute of Informatics,Male,Approximation Guarantees of Local Search Algorithms via Localizability of Set Functions
54,Dandan Guo,"National Laboratory of Radar Signal Processing, Xidian University",Male,Mingyuan Zhou,University of Texas at Austin,Male,Recurrent Hierarchical Topic-Guided RNN for Language Generation
55,Sen Wu,Stanford University,Male,Christopher Re,Stanford,Male,On the Generalization Effects of Linear Transformations in Data Augmentation
56,Hussein Mozannar,Massachusetts Institute of Technology,Male,Nati Srebro,Toyota Technological Institute at Chicago,Male,Fair Learning with Private Demographic Data
57,Richard Zhang,Google Brain,Male,Daniel Golovin,"Google, Inc.",Male,Random Hypervolume Scalarizations for Provable Multi-Objective Black Box Optimization
58,QUANMING YAO,4Paradigm,Male,James Kwok,Hong Kong University of Science and Technology,Male,Searching to Exploit Memorization Effect in Learning with Noisy Labels
59,Julien Hendrickx,University of Catholique de Louvain,Male,Venkatesh Saligrama,Boston University,Male,Minimax Rate for Learning From Pairwise Comparisons in the BTL Model
60,Andrey Kolobov,Microsoft Research,Male,Julian Zimmert,Google Research,Male,Online Learning for Active Cache Synchronization
61,Yinjun Wu,university of pennsylvania,Male,Susan B Davidson,University of Pennsylvania,Female,DeltaGrad: Rapid retraining of machine learning models
62,Di Chen,Cornell University,Male,Carla Gomes,Cornell University,Female,Deep Reasoning Networks for Unsupervised Pattern De-mixing with Constraint Reasoning
63,Xingyu Xie,Peking University,Male,Zhouchen Lin,Peking University,Male,Maximum-and-Concatenation Networks
64,Yonadav Shavit,Harvard University,Male,Brian Axelrod,Stanford,Male,Causal Strategic Linear Regression
65,Feihu Huang,Nanjing University of Aeronautics and Astronautics,Male,Songcan Chen,Nanjing University of Aeronautics and Astronautics,Male,Accelerated Stochastic Gradient-free and Projection-free Methods
66,shuai zhang,Rensselaer Polytechnic Institute,Male,Jinjun Xiong,IBM Thomas J. Watson Research Center,Male,Fast Learning of Graph Neural Networks with Guaranteed Generalizability: One-hidden-layer Case
67,Greg Yang,Microsoft Research,Male,Jerry Li,Microsoft,Male,Randomized Smoothing of All Shapes and Sizes
