,first-author-affiliation,last-author-affiliation,title
0," Fujian Key Laboratory of Sensing and Computing for Smart City, Xiamen University, China"," Department of Electrical Engineering, Columbia University",MEnet: a metric expression network for salient object segmentation
1," Beijing National Research Center for Information Science and Technology and School of Software, Tsinghua University, Beijing, China"," School of Computing & Communications, Lancaster University, UK","Show, observe and tell: attribute-driven attention model for image captioning"
2," Department of Computer Science, Hong Kong Baptist University, Hong Kong, China"," Institute for Infocomm Research, A*STAR, Singapore",Learning deep unsupervised binary codes for image retrieval
3," School of Electronic Engineering, Xidian University, Xi'an, China"," School of Electronic Engineering, Xidian University, Xi'an, China",Deep view-aware metric learning for person re-identification
4," Sun Yat-sen University, China"," Guilin University of Electronic Technology, China",Knowledge-embedded representation learning for fine-grained image recognition
5, National University of Singapore, Qihoo 360 AI Institute and National University of Singapore,Sharing residual units through collective tensor factorization to improve deep neural networks
6," School of Remote Sensing and Information Engineering, Wuhan University, Wuhan, P.R. China"," School of Remote Sensing and Information Engineering, Wuhan University, Wuhan, P.R. China",Scanpath prediction for visual attention using IOR-ROI LSTM
7," School of Automation, Northwestern Polytechnical University, Xi'an, China"," School of Automation, Northwestern Polytechnical University, Xi'an, China",Multi-scale and discriminative part detectors based features for multi-label image classification
8," IIIT Delhi, New Delhi, India"," Ministry of Electronics and Information Technology, New Delhi, India",Anonymizing k-facial attributes via adversarial perturbations
9," Institute of Computer Science and Technology, Peking University, Beijing, China"," Institute of Computer Science and Technology, Peking University, Beijing, China",Dual adversarial networks for zero-shot cross-media retrieval
10," NYU Multimedia and Visual Computing Lab and Dept. of ECE, NYU Abu Dhabi, UAE and Dept. of CSE, NYU Tandon School of Engineering"," NYU Multimedia and Visual Computing Lab and Dept. of ECE, NYU Abu Dhabi, UAE and Dept. of ECE, NYU Tandon School of Engineering",Siamese CNN-BiLSTM architecture for 3D shape representation learning
11," Fujian Key Laboratory of Sensing and Computing for Smart City, Xiamen University, China and School of Information Science and Engineering, Xiamen University, China"," Fujian Key Laboratory of Sensing and Computing for Smart City, Xiamen University, China and School of Information Science and Engineering, Xiamen University, China",Cross-modality person re-identification with generative adversarial training
12, South China University of Technology," The Chinese University of Hong Kong and Shenzhen Key Laboratory of Virtual Reality and Human Interaction Technology, Shenzhen Institutes of Advanced Technology, Chinese Academy of Sciences, China",R3net: recurrent residual refinement network for saliency detection
13," Department of Computer Science and Engineering, The Chinese University of Hong Kong"," Department of Computer Science and Engineering, The Chinese University of Hong Kong",Unsupervised cross-modality domain adaptation of convnets for biomedical image segmentations with adversarial loss
14," College of Computer and Control Engineering, Nankai University"," Center for Research in Computer Vision, Central Florida University",Enhanced-alignment measure for binary foreground map evaluation
15," SUSTech-UTS Joint Centre of CIS, Southern University of Science and Technology and Centre for Artificial Intelligence, University of Technology Sydney, Australia"," SUSTech-UTS Joint Centre of CIS, Southern University of Science and Technology and Centre for Artificial Intelligence, University of Technology Sydney, Australia",Watching a small portion could be as good as watching all: towards efficient video classification
16," National Key Laboratory for Novel Software Technology, Nanjing University, China"," MOE Key Laboratory of Computer Network and Information Integration, Southeast University, China",Age estimation using expectation of label distribution learning
17," Center for Future Media and School of Computer Science and Engineering, University of Electronic Science and Technology of China, Chengdu, China"," Center for Future Media and School of Computer Science and Engineering, University of Electronic Science and Technology of China, Chengdu, China",Coarse-to-fine image co-segmentation with intra and inter rank constraints
18, University of Electronic Science and Technology of China and Microsoft Research Asia, Microsoft Research Asia,View-volume network for semantic scene completion from a single depth image
19," School of Computer Science, Shanghai Key Lab of Intelligent Information Processing, Fudan University"," School of Computer Science, Shanghai Key Lab of Intelligent Information Processing, Fudan University",Harnessing synthesized abstraction images to improve facial attribute recognition
20," Institute of Computer Science and Technology, Peking University, Beijing, China"," Institute of Computer Science and Technology, Peking University, Beijing, China",StackDRL: stacked deep reinforcement learning for fine-grained visual categorization
21," Academia Sinica, Taiwan and National Taiwan University, Taiwan"," Academia Sinica, Taiwan and National Taiwan University, Taiwan",Co-attention CNNs for unsupervised object co-segmentation
22," Shanghai Jiao Tong University, China"," Shanghai Jiao Tong University, China",Human motion generation via cross-space constrained sampling
23," Zhejiang University, Hangzhou, China"," Zhejiang University, Hangzhou, China",Semantic locality-aware deformable network for clothing segmentation
24," Harbin Institute of Technology, Harbin, China and National Institute of Informatics, Tokyo, Japan"," Wuhan University, Wuhan, China",Deep CNN denoiser and multi-layer neighbor component embedding for face hallucination
25, Nanjing Normal University, Nanjing Normal University,Feature integration with adaptive importance maps for visual tracking
26, Hikvision Research Institute, Hikvision Research Institute,Co-occurrence feature learning from skeleton data for action recognition and detection with hierarchical aggregation
27," School of Remote Sensing and Information Engineering, Wuhan University, Wuhan, P.R. China"," School of Remote Sensing and Information Engineering, Wuhan University, Wuhan, P.R. China",Image captioning with visual-semantic LSTM
28," School of Computer Science and Center for OPTical IMagery Analysis and Learning, Northwestern Polytechnical University, Xian, Shaanxi, P. R. China"," School of Computer Science and Center for OPTical IMagery Analysis and Learning, Northwestern Polytechnical University, Xian, Shaanxi, P. R. China and Unmanned System Research Institute, Northwestern Polytechnical University, Xian, Shaanxi, P. R. China",Nonrigid points alignment with soft-weighted selection
29," School of Computer Science, Beijing Institute of Technology, Beijing, China"," School of Computer Science, Beijing Institute of Technology, Beijing, China",Deeply-supervised CNN model for action recognition with trainable feature aggregation
30, Shanghai Jiao Tong University, Shanghai Jiao Tong University,Live face verification with multiple instantialized local homographic parameterization
31," School of Electrical and Information Engineering, Tianjin University, Tianjin, China"," University of Science and Technology of China, Hefei, China",Multi-level policy and reward reinforcement learning for image captioning
32," School of Electrical and Information Engineering, Tianjin University, China"," School of Electrical and Information Engineering, Tianjin University, China",Cross-domain 3D model retrieval via visual domain adaptation
33," State Key Laboratory of Integrated Services Networks, School of Electronic Engineering, Xidian University, Xi'an, China"," State Key Laboratory of Integrated Services Networks, School of Electronic Engineering, Xidian University, Xi'an, China",Deep attribute guided representation for heterogeneous face recognition
34, University of Illinois at Urbana-Champaign, University of Illinois at Urbana-Champaign,When image denoising meets high-level vision tasks: a deep learning approach
