,Unnamed: 0,first-author,,first-author-affiliation,last-author,,last-author-affiliation,title
219,219,Trevor Campbell,Male,UBC,Lawrence Carin,Male,Duke University,Dynamic Clustering via Asymptotics of the Dependent Dirichlet Process Mixture.
220,220,Mahito Sugiyama,Male,MPI Tübingen,Karsten Borgwardt,Male,ETH Zurich,Rapid Distance-Based Outlier Detection via Sampling.
221,221,Eunho Yang,Male,IBM Research,Pradeep Ravikumar,Male,Carnegie Mellon University,Dirty Statistical Models.
222,222,Tianbao Yang,Male,NEC Labs America,Tianbao Yang,Male,NEC Labs America,Trading Computation for Communication: Distributed Stochastic Dual Coordinate Ascent.
223,223,Sebastien Bubeck,Male,MSR,Che-Yu Liu,Male,Princeton University,Prior-free and prior-dependent regret bounds for Thompson Sampling.
224,224,Pari Ram,Male,IBM Research,Alexander Gray,Male,Skytree Inc. and Georgia Tech,Which Space Partitioning Tree to Use for Search?.
225,225,Nils E Napp,Male,Harvard University,Ryan Adams,Male,Princeton University,Message Passing Inference with Chemical Reaction Networks.
226,226,Francis Bach,Male,INRIA - Ecole Normale Superieure,Eric Moulines,Male,Telecom ParisTech,Non-strongly-convex smooth stochastic approximation with convergence rate O(1/n).
227,227,Jiashi Feng,Male,UC Berkeley,Shuicheng Yan,Male,National University of Singapore,Online PCA for Contaminated Data.
228,228,Daniel Russo,Male,Columbia University,Benjamin Van Roy,Male,Stanford University,Eluder Dimension and the Sample Complexity of Optimistic Exploration.
229,229,Jacob D Abernethy,Male,University of Michigan,Andre Wibisono,Male,Georgia Tech,How to Hedge an Option Against an Adversary: Black-Scholes Pricing is Minimax Optimal.
230,230,Franz J Kiraly,Male,TU Berlin,Louis Theran,Male,Freie Universität Berlin,Error-Minimizing Estimates and Universal Entry-Wise Error Bounds for Low-Rank Matrix Completion.
231,231,Haim Avron,Male,Tel Aviv University,David Woodruff,Male,IBM Research,Sketching Structured Matrices for Faster Nonlinear Regression.
232,232,George H Chen,Male,Massachusetts Institute of Technology,Devavrat Shah,Male,Massachusetts Institute of Technology,A Latent Source Model for Nonparametric Time Series Classification.
233,233,Dino Sejdinovic,Male,University of Oxford,Wicher Bergsma,Male,LSE,A Kernel Test for Three-Variable Interactions.
234,234,Po-Ling Loh,Male,University of Wisconsin - Madison,Martin J Wainwright,Male,UC Berkeley,Regularized M-estimators with nonconvexity: Statistical and algorithmic theory for local optima.
235,235,Maria-Florina F Balcan,Female,Georgia Tech,Vitaly Feldman,Male,Apple,Statistical Active Learning Algorithms.
236,236,Yuchen Zhang,Male,UC Berkeley,Martin J Wainwright,Male,UC Berkeley,Information-theoretic lower bounds for distributed statistical estimation with communication constraints.
237,237,Julien Mairal,Male,Inria,Julien Mairal,Male,Inria,Stochastic Majorization-Minimization Algorithms for Large-Scale Optimization.
238,238,Jie Wang,Male,Arizona State University,Jieping Ye,Male,Arizona State University,Lasso Screening Rules via Dual Polytope Projection.
