,year,first-author,first-author-affiliation,last-author,last-author-affiliation,journal/conference,title,number-of-authors,paper-url,DBLP-url
3842,2018,William L. Hamilton,,Jure Leskovec,,NeurIPS,Embedding Logical Queries on Knowledge Graphs.,5,https://proceedings.neurips.cc/paper/2018/hash/ef50c335cca9f340bde656363ebd02fd-Abstract.html,https://dblp.org/rec/conf/nips/HamiltonBZJL18
3843,2018,Insu Han,KAIST,Jinwoo Shin,KAIST; AITRICS,NeurIPS,Stochastic Chebyshev Gradient Descent for Spectral Optimization.,3,https://proceedings.neurips.cc/paper/2018/hash/898aef0932f6aaecda27aba8e9903991-Abstract.html,https://dblp.org/rec/conf/nips/HanAS18
3844,2018,Yanlin Han,University of Illinois at Chicago,Piotr J. Gmytrasiewicz,UIC,NeurIPS,Learning Others' Intentional Models in Multi-Agent Settings Using Interactive POMDPs.,2,https://proceedings.neurips.cc/paper/2018/hash/65fc9fb4897a89789352e211ca2d398f-Abstract.html,https://dblp.org/rec/conf/nips/HanG18
3845,2018,Yanjun Han,Stanford University,Tiancheng Yu,Tsinghua University,NeurIPS,Entropy Rate Estimation for Markov Chains with Large State Space.,6,https://proceedings.neurips.cc/paper/2018/hash/99cad265a1768cc2dd013f0e740300ae-Abstract.html,https://dblp.org/rec/conf/nips/HanJLW0Y18
3846,2018,Kuan Han,Purdue University,Zhongming Liu,Purdue University,NeurIPS,Deep Predictive Coding Network with Local Recurrent Processing for Object Recognition.,6,https://proceedings.neurips.cc/paper/2018/hash/1c63926ebcabda26b5cdb31b5cc91efb-Abstract.html,https://dblp.org/rec/conf/nips/HanWZFCL18
3847,2018,Bo Han 0003,,Masashi Sugiyama,,NeurIPS,Masking - A New Perspective of Noisy Supervision.,7,https://proceedings.neurips.cc/paper/2018/hash/aee92f16efd522b9326c25cc3237ac15-Abstract.html,https://dblp.org/rec/conf/nips/HanYNZTZS18
3848,2018,Bo Han 0003,,Masashi Sugiyama,,NeurIPS,Co-teaching - Robust training of deep neural networks with extremely noisy labels.,8,https://proceedings.neurips.cc/paper/2018/hash/a19744e268754fb0148b017647355b7b-Abstract.html,https://dblp.org/rec/conf/nips/HanYYNXHTS18
3849,2018,Paul Hand,Northeastern University,Vladislav Voroninski,Helm.ai,NeurIPS,Phase Retrieval Under a Generative Prior.,3,https://proceedings.neurips.cc/paper/2018/hash/1bc2029a8851ad344a8d503930dfd7f7-Abstract.html,https://dblp.org/rec/conf/nips/HandLV18
3850,2018,Boris Hanin,,Boris Hanin,,NeurIPS,Which Neural Net Architectures Give Rise to Exploding and Vanishing Gradients?,1,https://proceedings.neurips.cc/paper/2018/hash/13f9896df61279c928f19721878fac41-Abstract.html,https://dblp.org/rec/conf/nips/Hanin18
3851,2018,Boris Hanin,,David Rolnick,,NeurIPS,How to Start Training - The Effect of Initialization and Architecture.,2,https://proceedings.neurips.cc/paper/2018/hash/d81f9c1be2e08964bf9f24b15f0e4900-Abstract.html,https://dblp.org/rec/conf/nips/HaninR18
3852,2018,Robert Hannah,UCLA,Wotao Yin,"University of California, Los Angeles",NeurIPS,Breaking the Span Assumption Yields Fast Finite-Sum Minimization.,4,https://proceedings.neurips.cc/paper/2018/hash/abea47ba24142ed16b7d8fbf2c740e0d-Abstract.html,https://dblp.org/rec/conf/nips/HannahLOY18
3853,2018,Steven Hansen,,Charles Blundell,,NeurIPS,Fast deep reinforcement learning using online adjustments from the past.,5,https://proceedings.neurips.cc/paper/2018/hash/f7bdb0e100275600f9e183e25d81822d-Abstract.html,https://dblp.org/rec/conf/nips/HansenPSBB18
3854,2018,Filip Hanzely,,Peter Richtárik,,NeurIPS,SEGA - Variance Reduction via Gradient Sketching.,3,https://proceedings.neurips.cc/paper/2018/hash/fc2c7c47b918d0c2d792a719dfb602ef-Abstract.html,https://dblp.org/rec/conf/nips/HanzelyMR18
3855,2018,Yi Hao,"University of California, San Diego",Venkatadheeraj Pichapati,UC San Diego,NeurIPS,On Learning Markov Chains.,3,https://proceedings.neurips.cc/paper/2018/hash/d34ab169b70c9dcd35e62896010cd9ff-Abstract.html,https://dblp.org/rec/conf/nips/HaoOP18
3856,2018,Yi Hao,,Yihong Wu 0001,,NeurIPS,Data Amplification - A Unified and Competitive Approach to Property Estimation.,4,https://proceedings.neurips.cc/paper/2018/hash/a753a43564c29148df3150afb4475440-Abstract.html,https://dblp.org/rec/conf/nips/HaoOS018
3857,2018,Jacob Harer,Boston University,Sang Peter Chin,boston university,NeurIPS,Learning to Repair Software Vulnerabilities with Generative Adversarial Networks.,7,https://proceedings.neurips.cc/paper/2018/hash/68abef8ee1ac9b664a90b0bbaff4f770-Abstract.html,https://dblp.org/rec/conf/nips/HarerOLRRKC18
3858,2018,Asad Haris,University of Washington,Noah Simon,University of Washington,NeurIPS,Wavelet regression and additive models for irregularly spaced data.,3,https://proceedings.neurips.cc/paper/2018/hash/bf764716fe1a58cb07f8a377ec25c16d-Abstract.html,https://dblp.org/rec/conf/nips/HarisSS18
