,first-author-affiliation,last-author-affiliation,title
0," FBK and University of Trento, Trento, Italy"," NASA Ames Research Center, Moffet Field, CA",Compiling away uncertainty in strong temporal planning with uncontrollable durations
1," Computer Science Department, Universidad Carlos III de Madrid, Spain"," Computer Science Department, Universidad Carlos III de Madrid, Spain",Sorting sequential portfolios in automated planning
2, University of Amsterdam and University of Liverpool, Swiss Federal Institute of Technology (EPFL),Factored upper bounds for multiagent planning problems under uncertainty with non-factored value functions
3," Drexel University, Philadelphia"," University of Alberta, Edmonton, Canada",Adversarial hierarchical-task network planning for complex real-time games
4," Department of Computer Science, Aalto University, Helsinki, Finland"," Department of Computer Science, Aalto University, Helsinki, Finland",Models of action concurrency in temporal planning
5," Informatics Institute, University of Amsterdam, The Netherlands"," Informatics Institute, University of Amsterdam, The Netherlands and Department of Computer Science, University of Liverpool, United Kingdom",Point-based planning for multi-objective POMDPs
6," Research School of Computer Science, Australian National University"," Dipartimento di Informatica, Universita' degli Studi di Torino",Deordering and numeric macro actions for plan repair
7," Centre for Quantum Computation and Intelligent Systems, University of Technology Sydney, Australia"," State Key Laboratory of Computer Science, Institute of Software, Chinese Academy of Sciences, China",Planning for stochastic games with co-safe objectives
8," Saarland University, Saarbrücken, Germany"," Saarland University, Saarbrücken, Germany",Simulation-based admissible dominance pruning
9," Departamento de Ciencia de la Computación Pontificia Universidad Católica de Chile, Santiago, Chile"," Departamento de Ciencia de la Computación Pontificia Universidad Católica de Chile, Santiago, Chile",Polynomial-time reformulations of LTL temporally extended goals into final-state goals
10, University of Huddersfield, University of Huddersfield,On the effective configuration of planning domain models
11," University of Basel, Switzerland"," IBM Haifa Research Lab, Israel",Integrating partial order reduction and symmetry elimination for cost-optimal classical planning
12," College of Information and Computer Sciences, University of Massachusetts, Amherst, MA"," College of Information and Computer Sciences, University of Massachusetts, Amherst, MA",Multi-objective POMDPs with lexicographic reward preferences
13," Computer Science Department, University of Southern California, Los Angeles, California"," Information Science Institute, University of Southern California, Los Angeles, California",An iterative approach to synthesize data transformation programs
14," Computer Science Dept., Brigham Young University, Provo, UT"," Computer Science Dept., Brigham Young University, Provo, UT",MORRF: sampling-based multi-objective motion planning
15, Technicolor Research, Yahoo! Labs,Optimal greedy diversity for recommendation
16," IDEAS Research Institute and School of Computing Science & Digital Media, Robert Gordon University, Aberdeen, UK"," IDEAS Research Institute and School of Computing Science & Digital Media, Robert Gordon University, Aberdeen, UK",Music recommenders: user evaluation without real users?
17," National Key Laboratory for Novel Software Technology; Nanjing University, Nanjing, China"," National Key Laboratory for Novel Software Technology; Nanjing University, Nanjing, China","A synthetic approach for recommendation: combining ratings, social relations, and reviews"
18," State Key Laboratory for Novel Software Technology, Department of Computer Science and Technology, Nanjing University, China"," State Key Laboratory for Novel Software Technology, Department of Computer Science and Technology, Nanjing University, China",Differentially private matrix factorization
19," Beijing Key Lab of Traffic Data Analysis and Mining, Beijing Jiaotong University Beijing, China"," Beijing Key Lab of Traffic Data Analysis and Mining, Beijing Jiaotong University Beijing, China",Sparse probabilistic matrix factorization by Llaplace distribution for collaborative filtering
20," Department of Computing and Information Systems, The University of Melbourne, Australia and Victoria Research Laboratory, National ICT Australia, Australia"," Department of Computing and Information Systems, The University of Melbourne, Australia",Personalized tour recommendation based on user interests and points of interest visit durations
21," Institute for Infocomm Research, Singapore"," Institute for Infocomm Research, Singapore",Modeling users' dynamic preference for personalized recommendation
22," Joint NTU-UBC Research Centre of Excellence in Active Living for the Elderly (LILY), Nanyang Technological University, Singapore and School of Computer Engineering, Nanyang Technological University, Singapore"," Joint NTU-UBC Research Centre of Excellence in Active Living for the Elderly (LILY), Nanyang Technological University, Singapore and School of Computer Engineering, Nanyang Technological University, Singapore",A boosting algorithm for item recommendation with implicit feedback
23," College of Computer Science and Technology, Zhejiang University, China", University of South Carolina,Simple atom selection strategy for greedy matrix completion
24, Adobe Research, Adobe Research and INRIA,Personalized ad recommendation systems for life-time value optimization with guarantees
25," School of Computing, Informatics, and Decision Systems Engineering, Arizona State University"," School of Computing, Informatics, and Decision Systems Engineering, Arizona State University",Exploring implicit hierarchical structures for recommender systems
26," Institute of Artificial Intelligence, College of Computer Science, Zhejiang University"," Institute of Artificial Intelligence, College of Computer Science, Zhejiang University","Recommendation algorithms for optimizing hit rate, user satisfaction and website revenue"
27," BJ ER Center of HVLIP&CC, School of Comp. Sci., Beijing Institute of Technology, Beijing, China"," Image Processing and Pattern Recognition Lab, Beijing Normal University, Beijing, China",Cross-domain collaborative filtering with review text
28," KU Leuven, Department of Computer Science, Heverlee, Belgium"," Sirris, Brussels and KU Leuven, Department of Computer Science, Heverlee, Belgium",Inducing probabilistic relational rules from probabilistic examples
29, University of Illinois at Urbana-Champaign, University of Illinois at Urbana-Champaign,Saul: towards declarative learning based programming
