,first-author-affiliation,last-author-affiliation,title
0," University of Michigan, Ann Arbor, MI"," University of Michigan, Ann Arbor, MI",Heart rate topic models
1," Department of Computer Science, The University of Illinois at Urbana-Champaign, Urbana, IL"," Department of Computer Science, The University of Illinois at Urbana-Champaign, Urbana, IL",Simple robust grammar induction with combinatory categorial grammars
2," Tsinghua University, Beijing, China"," Microsoft Research Asia, Beijing, China",Generating chinese classical poems with statistical machine translation models
3," State Key Laboratory of Intelligent Technology and Systems, Tsinghua National Laboratory for Information Science and Technology, Department of Computer Science and Technology, Tsinghua University, Beijing, PR China"," State Key Laboratory of Intelligent Technology and Systems, Tsinghua National Laboratory for Information Science and Technology, Department of Computer Science and Technology, Tsinghua University, Beijing, PR China",Using first-order logic to compress sentences
4," School of Computing, University of Utah, Salt Lake City, UT"," School of Computing, University of Utah, Salt Lake City, UT",Modeling textual cohesion for event extraction
5," Natural Language Processing Lab, School of Computer Science and Technology, Soochow University, Suzhou, China"," Natural Language Processing Lab, School of Computer Science and Technology, Soochow University, Suzhou, China",Opinion target extraction using a shallow semantic parsing framework
6," Shanghai Key Laboratory of Scalable Computing and Systems, Department of Computer Science and Engineering, Shanghai Jiao Tong University, China"," Shanghai Key Laboratory of Scalable Computing and Systems, Department of Computer Science and Engineering, Shanghai Jiao Tong University, China",Emoticon smoothed language models for twitter sentiment analysis
7," School of Computer Science and Technology, Harbin Institute of Technology, Harbin, China and Microsoft Research Asia, Beijing, China"," Microsoft Research Asia, Beijing, China",Collective nominal semantic role labeling for tweets
8," School of Computer Science and Technology, Harbin Institute of Technology, Harbin, China and Microsoft Research Asia, Beijing, China"," Microsoft Research Asia, Beijing, China",Exacting social events for tweets using a factor graph
9," Department of Computing, The Hong Kong Polytechnic University, Hung Hom, Kowloon, Hong Kong, P.R. China"," Department of Computing, The Hong Kong Polytechnic University, Hung Hom, Kowloon, Hong Kong, P.R. China",Query-oriented multi-document summarization via unsupervised deep learning
10," Department of Computer Science, National University of Singapore"," Department of Computer Science, National University of Singapore",Sense sentiment similarity: an analysis
11," Shanghai Jiao Tong University, Shanghai, China"," Shanghai Jiao Tong University, Shanghai, China",Sembler: ensembling crowd sequential labeling for improved quality
12," The University of Tokyo, Tokyo, Japan"," The University of Tokyo, Tokyo, Japan",Similarity is not entailment: jointly learning similarity transformations for textual entailment
13, The Hong Kong Polytechnic University, The Hong Kong Polytechnic University,Generating coherent summaries with textual aspects
14," Department of Computer Science, Linköping University, Linköping, Sweden"," Institute of Information Systems, Vienna University of Technology, Vienna, Austria",The complexity of planning revisited: a parameterized analysis
15," Computer Science and Engineering, University of Michigan, Ann Arbor, MI"," Computer Science and Engineering, University of Michigan, Ann Arbor, MI",A distributed approach to summarizing spaces of multiagent schedules
16," Universidad Simón Bolívar, Caracas, Venezuela"," ICREA & Universitat Pompeu Fabra, Barcelona, SPAIN",Action selection for MDPs: anytime AO* versus UCT
17," Universidad Simón Bolívar, Caracas, Venezuela"," ICREA & Universitat Pompeu Fabra, Barcelona, SPAIN",Width and complexity of belief tracking in non-deterministic conformant and contingent planning
18," Institute of Artificial Intelligence, Ulm University, Ulm, Germany"," Institute of Artificial Intelligence, Ulm University, Ulm, Germany",Improving hierarchical planning performance by the use of landmarks
19," National Institute of Informatics, Tokyo, Japan"," National Institute of Informatics, Tokyo, Japan",The linear distance traveling tournament problem
20," Saarland University, Saarbrücken, Germany"," INRIA, Nancy, France",Structural patterns beyond forks: extending the complexity boundaries of classical planning
21," Dept of Computer Science and Engineering, University of Washington, Seattle, WA"," Dept of Computer Science and Engineering, University of Washington, Seattle, WA",LRTDP versus UCT for online probabilistic planning
22, Utah State University, Utah State University,Evaluating temporal plans in incomplete domains
23," School of Electrical Engineering and Computer Science, Oregon State University, Corvallis, OR"," Department of Computer Science, Tufts University, Medford, MA",Planning in factored action spaces with symbolic dynamic programming
24," The Robotics Institute, Carnegie Mellon University, Pittsburgh, PA"," The Robotics Institute, Carnegie Mellon University, Pittsburgh, PA",Incremental management of oversubscribed vehicle schedules in dynamic dial-A-ride problems
25," Core Security & ITBA, Buenos Aires, Argentina"," Saarland University, Saarbrücken, Germany",POMDPs make better hackers: accounting for uncertainty in penetration testing
26," Onera - The French Aerospace Lab, Toulouse, France"," Onera - The French Aerospace Lab, Toulouse, France",Stochastic safest and shortest path problems
27," School of Computing, University of Utah"," Dept. of Computer Science, University of North Carolina at Chapel Hill",Efficient approximate value iteration for continuous Gaussian POMDPs
28," ANU & NICTA, Canberra, Australia"," Department of Aeronautics and Astronautics, MIT",Symbolic dynamic programming for continuous state and action MDPs
29," State Key Laboratory for Novel Software Technology, Nanjing University, Nanjing China"," Department of Computer Science, University of Toronto, Canada",MAXSAT heuristics for cost optimal planning
