,first-author-affiliation,last-author-affiliation,title
0," University of Southampton, UK"," University of Southampton, UK",Interactive scheduling of appliance usage in the home
1," Institute of Information Systems, TU Vienna, Austria"," Institute of Information Systems, TU Vienna, Austria",Polynomial datalog rewritings for expressive description logics with closed predicates
2," Department of Mathematics and Computer Science, University of Calabria, Italy"," Department of Mathematics and Computer Science, University of Calabria, Italy",Completion of disjunctive logic programs
3," LTCI, CNRS, Télécom ParisTech, Université Paris-Saclay", University of Oxford,Query answering with transitive and linear-ordered data
4," IRIT-CNRS, Toulouse, France"," IRIT-CNRS, Toulouse, France",Evaluation of arguments from support relations: axioms and semantics
5, Universidad Católica de Chile," RMIT University, Australia",Incomplete causal laws in the situation calculus using free fluents
6," Texas Tech University, Lubbock Texas"," Texas Tech University, Lubbock Texas",On the relationship between P-log and LPMLN
7," York University, Toronto, Canada"," York University, Toronto, Canada",Online agent supervision in the situation calculus
8," Institute of Information Systems, Vienna University of Technology, Vienna, Austria"," Institute of Information Systems, Vienna University of Technology, Vienna, Austria",Equivalent stream reasoning programs
9, Freie Universität Berlin & Stanford University, Australian National University,The inconsistency in Gödel's ontological argument: a success story for AI in metaphysics
10," Institute of Information Systems, TU Wien, Austria"," Institute of Information Systems, TU Wien, Austria",Ontology-mediated queries distributing over components
11," University of Udine, Italy"," University of Western Australia, Australia",Leviathan: a new LTL satisfiability checking tool based on a one-pass tree-shaped tableau
12," CNRS, Univ. Montpellier, Inria, Montpellier, France"," Univ. Rennes 1, CNRS, Lannion, France",Query-driven repairing of inconsistent DL-Lite knowledge bases
13," CNRS, Univ. Montpellier, Inria, France"," University of Liverpool, UK",First order-rewritability and containment of conjunctive queries in horn description logics
14," Fondazione Bruno Kessler, Trento, Italy and University of Trento"," Fondazione Bruno Kessler, Trento, Italy",Automated synthesis of timed failure propagation graphs
15," TU Wien, Vienna, Austria"," TU Wien, Vienna, Austria",ASP for anytime dynamic programming on tree decompositions
16," Cardiff University, Cardiff, UK"," La Trobe University, Melbourne, Australia",Extending the harper identity to iterated belief change
17," Faculty of Computer Science, Technische Universität Dresden, Germany"," Department of Computer Science, University of Oxford, UK",Preferential query answering in the semantic web with possibilistic networks
18," Faculty of Computer Science, Free University of Bozen-Bolzano"," Department of Computer Science, Birkbeck, University of London",Query-based entailment and inseparability for ALC ontologies
19," TU Wien, Austria"," TU Wien, Austria",Knowledge compilation meets communication complexity
20," University of Corunna, Spain"," University of Potsdam, Germany and INRIA, France",An ASP semantics for default reasoning with constraints
21," Free Univ. of Bozen-Bolzano, Italy"," IMT Lucca, Italy",Plan synthesis for knowledge and action bases
22," Université de Rennes 1, IRISA"," ENS Rennes, IRISA",On the impact of modal depth in epistemic planning
23," SAPIENZA Università di Roma, Rome, Italy"," Università degli Studi di Napoli ""Federico II"", Naples, Italy",Imperfect-information games and generalized planning
24," Sapienza Università di Roma, Roma, Italy"," Rice University, Houston, TX",LTLf and LDLf synthesis under partial observability
25," Department of Computer Science, University of Liverpool, UK"," Institute of Information Systems, TU Wien, Vienna, Austria",Investigating the relationship between argumentation semantics via signatures
26," Institut für Informationssysteme, Technische Universität Wien, Vienna, Austria"," Institut für Informationssysteme, Technische Universität Wien, Vienna, Austria",Exploiting partial assignments for efficient evaluation of answer set programs with external source access
27," Dept. of Computer Science, Sun Yat-sen University, Guangzhou, China and Dept. of Computer Science, Jinan University, Guangzhou, China"," LORIA, CNRS, Université de Lorraine, France",Forgetting in multi-agent modal logics
28," Research School of Computer Science, Australian National University"," Research School of Computer Science, Australian National University",Trend-based prediction of spatial change
29," Insight Centre for Data Analytics, School of Computer Science and IT, University College Cork, Ireland"," Insight Centre for Data Analytics, School of Computer Science and IT, University College Cork, Ireland",Towards fast algorithms for the preference consistency problem based on hierarchical models
