,year,first-author,first-author-affiliation,last-author,last-author-affiliation,journal/conference,title,number-of-authors,paper-url,DBLP-url
113,2020,Qiong Wu 0008,"College of William & Mary, VA, USA",Varun Kanade,nan,NeurIPS,Adaptive Reduced Rank Regression.,5,https://proceedings.neurips.cc/paper/2020/hash/2a27b8144ac02f67687f76782a3b5d8f-Abstract.html,https://dblp.org/rec/conf/nips/0008WLLK20
114,2020,Yao Liu 0009,"Stanford University, CA, USA",Emma Brunskill,"Carnegie Mellon University, Pittsburgh, USA",NeurIPS,Provably Good Batch Off-Policy Reinforcement Learning Without Great Exploration.,4,https://proceedings.neurips.cc/paper/2020/hash/0dc23b6a0e4abc39904388dd3ffadcd1-Abstract.html,https://dblp.org/rec/conf/nips/0009SAB20
115,2020,Yiming Zhang 0010,"New York University, NY, USA",Keith W. Ross,"New York University Tandon School of Engineering, New York City, USA",NeurIPS,First Order Constrained Optimization in Policy Space.,3,https://proceedings.neurips.cc/paper/2020/hash/af5d5ef24881f3c3049a7b9bfe74d58b-Abstract.html,https://dblp.org/rec/conf/nips/0010VR20
116,2020,Yang Song 0011,"Stanford University, CA, USA",Stefano Ermon,Stanford University,NeurIPS,Improved Techniques for Training Score-Based Generative Models.,2,https://proceedings.neurips.cc/paper/2020/hash/92c3b916311a5517d9290576e3ea37ad-Abstract.html,https://dblp.org/rec/conf/nips/0011E20
117,2020,Yang Li 0012,"University of North Carolina-Charlotte, Department of Mathematics and Statistics, NC, USA",Junier B. Oliva,nan,NeurIPS,Exchangeable Neural ODE for Set Modeling.,5,https://proceedings.neurips.cc/paper/2020/hash/4db73860ecb5533b5a6c710341d5bbec-Abstract.html,https://dblp.org/rec/conf/nips/0012YBSO20
118,2020,Gang Wang 0014,"University of Minnesota, Minneapolis, MN, USA",Jian Sun 0003,"Beijing Institute of Technology, School of Automation, China",NeurIPS,Decentralized TD Tracking with Linear Function Approximation and its Finite-Time Analysis.,5,https://proceedings.neurips.cc/paper/2020/hash/9ec51f6eb240fb631a35864e13737bca-Abstract.html,https://dblp.org/rec/conf/nips/0014LGT020
119,2020,Jie Ren 0015,"University of California, Merced, CA, USA",Dong Li 0001,"University of California, Merced, CA, USA",NeurIPS,HM-ANN - Efficient Billion-Point Nearest Neighbor Search on Heterogeneous Memory.,3,https://proceedings.neurips.cc/paper/2020/hash/788d986905533aba051261497ecffcbb-Abstract.html,https://dblp.org/rec/conf/nips/0015ZL20
120,2020,Xu Yang 0019,"Xidian University, School of Electronic Engineering, Xi'an, China",Wei Liu,nan,NeurIPS,Adversarial Learning for Robust Deep Clustering.,5,https://proceedings.neurips.cc/paper/2020/hash/6740526b78c0b230e41ae61d8ca07cf5-Abstract.html,https://dblp.org/rec/conf/nips/0019DWYL20
121,2020,Yu Chen 0022,"Rensselaer Polytechnic Institute, Computer Science Department, Troy, NY, USA",Mohammed J. Zaki,"Rensselaer Polytechnic Institute, Department of Computer Science",NeurIPS,Iterative Deep Graph Learning for Graph Neural Networks - Better and Robust Node Embeddings.,3,https://proceedings.neurips.cc/paper/2020/hash/e05c7ba4e087beea9410929698dc41a6-Abstract.html,https://dblp.org/rec/conf/nips/0022WZ20
122,2020,Peng Chen 0024,"University of Texas at Austin, Institute for Computational Engineering and Sciences, Austin, TX, USA",Omar Ghattas,"University of Texas at Austin, USA",NeurIPS,Projected Stein Variational Gradient Descent.,2,https://proceedings.neurips.cc/paper/2020/hash/14faf969228fc18fcd4fcf59437b0c97-Abstract.html,https://dblp.org/rec/conf/nips/0024G20
