,affiliation,country
105," Department of Computer Science and Information Engineering, National Taiwan University, Taipei, Taiwan",
106," Computer Science Department, University of Basel, Basel, Switzerland",
107," Rutgers University, Piscataway, NJ",
108," Department of Computer and Information Sciences, Temple University, Philadelphia, PA",
109,"Alibaba Research, China",
110," National Key Laboratory for Novel Software Technology, Nanjing University, China",
111," Department of Engineering, University of Cambridge, Cambridge, UK",
112," Department of Computer Science, Hefei University of Technology, Hefei, Anhui, China and Department of Computer Science, University of Vermont, Burlington, VT",
113," EECS Department, UC Berkeley",
114," Cluster of Excellence MMCI, Saarland University and MPI Informatics, Saarbruecken, Germany",
115,Facebook,
116," Department of Computer Science and Engineering, Michigan State University, East Lansing, MI",
117," Department of Computer Science and Engineering, The Chinese University of Hong Kong, Shatin, N.T., Hong Kong",
118," Department of Computer Science, University of Helsinki, Finland",
119," NEC Laboratories America, Cupertino, CA",
120,Carnegie Mellon University,United States
121," Department of Computer Sciences, University of Wisconsin-Madison, Madison, WI",
122,"Johannes Kepler University of Linz, Austria",
123," Dept of Computer Science & Engg, University of Minnesota, Twin Cities",
124," University of California, San Diego, CA",
125,"Rutgers University, USA",
126," University of British Columbia, Canada",
127,"IBISC, EA 4526, Université d'Évry Val d'Essonne, Évry, France",
128," Washington University in Saint Louis, Saint Louis, MO",
129," Department of Electrical and Computer Engineering, The University of Texas at Austin, Austin, TX",
130,"New York University, Courant Institute of Mathematical Sciences",
131," Department of Computer Science, Royal Holloway University of London, Egham, United Kingdom",
132," Stanford University, Stanford, CA",
133, Carnegie Mellon University,United States
134,"Université de Montréal, Department of Computer Science",
135," Graduate School of Informatics, Kyoto University",
136,"Google AI, Accra, Ghana",
137,"Imperial College London, Department of Computing",
138, Microsoft Research,
139," Max Planck Institute for Intelligent Systems, Tübingen, Germany",
140," Massachusetts Institute of Technology, Cambridge, MA",
141," Yahoo! Research, New York, NY",
142,"Google Research, Seattle, WA, USA",
143," Intelligent Systems Laboratory, University of Bristol, UK",
144," Czech Technical University in Prague, Praha, Czech Republic",
145," Electrical Engineering Department, Stanford, CA",
146," Research School of Computer Science, Australian National University and NICTA, Canberra, Australia",
147,Université Laval,Canada
148," INRIA Lille - Nord Europe, Team SequeL, France",
149, MPI for Intelligent Systems and Stanford University,
150," Duke University, Durham, NC",
151," Department of Electrical Engineering, Technion, Haifa, Israel",
152," Computer Science Department, UC Santa Cruz",
153,"Polytechnic University of Valencia, Spain",
154,"Yunnan Normal University, Department of Mathematic, Kunming, China",
155," UT Austin, Austin, TX",
156," Dept. of CSE, IIT-Bombay, Mumbai, INDIA",
157,"Massachusetts Institute of Technology (MIT), CSAIL, Cambridge, MA, USA",
158," Machine Learning and Robotics Lab, FU Berlin, Berlin, Germany",
159," Universidad Autónoma de Madrid and Instituto de Ingeniería del Conocimiento, Madrid, Spain",
160," Department of Computer Science, U. of Southern California, Los Angeles, CA",
