,first-author-affiliation,last-author-affiliation,title
0," Web Information Systems, Delft University of Technology, Delft, The Netherlands"," Web Information Systems, Delft University of Technology, Delft, The Netherlands",Twitter-based user modeling for news recommendations
1," Cornell University, Ithaca, New York"," Cornell University, Ithaca, New York",Language-based games (extended abstract)
2," Lenguajes y Sistemas Informáticos, Universidad Politécnica de Cataluña, Barcelona, Spain"," Deptartment of Mathematics, University of California, San Diego, La Jolla, California",An improved separation of regular resolution from pool resolution and clause learning (extended abstract)
3, Technical University of Madrid," IRISA, INRIA, University of Rennes",The complexity of one-agent refinement modal logic (extended abstract)
4," State Key Laboratory of Intelligent Technology and Systems and Tsinghua National Laboratory for Information Sci. and Tech. and Department of Computer Sci. and Tech., Tsinghua University"," State Key Laboratory of Intelligent Technology and Systems and Tsinghua National Laboratory for Information Sci. and Tech. and Department of Computer Sci. and Tech., Tsinghua University",An introduction to string re-writing kernel
5," Imperial College London, UK"," University of Ferrara, Italy",Optimal valve placement in water distribution networks with CLP(FD)
6," Radboud University Nijmegen, Netherlands"," Radboud University Nijmegen, Netherlands",Bayesian probabilities for constraint-based causal discovery
7," School of Computing, National University of Singapore"," School of Computing, National University of Singapore",Satisfiability modulo constraint handling rules (extended abstract)
8," LORIA, Université de Lorraine, CNRS, UMR, Inria, Vandœuvre"," INRA, ASTER-Mirecourt, Mirecourt",Case adaptation with qualitative algebras
9," Microsoft Research, New York, NY"," Microsoft Research, New York, NY",Improving the effectiveness of time-based display advertising (extended abstract)
10," Department of Mathematics and Computer Science, University of Marburg, Germany"," Department of Mathematics and Computer Science, University of Marburg, Germany",Preference-based CBR: general ideas and basic principles
11," University of Montpellier, France"," University of Montpellier, France","Sound, complete, and minimal query rewriting for existential rules"
12, Google, Analytics Consultant,Collaborative filtering on ordinal user feedback
13," Research Center on Spatial Cognition, University of Bremen and DFKI GmbH Bremen, Germany"," Research Center on Spatial Cognition, University of Bremen, Germany",Three semantics for the core of the distributed ontology language (extended abstract)
14," University of Southern California, Information Sciences Institute, Marina del Rey, CA"," University of Southern California, Information Sciences Institute, Marina del Rey, CA",Discovering alignments in ontologies of linked data
15," Department of Mechano-Informatics, University of Tokyo, Japan"," Department of Mechano-Informatics, University of Tokyo, Japan",A new trajectory deformation algorithm based on affine transformations
16," Universidad Complutense de Madrid, Spain"," Universidad Complutense de Madrid, Spain",A case-based solution to the cold-start problem in group recommenders
17, Kasetsart University, UC Riverside,Data mining a trillion time series subsequences under dynamic time warping
18," School of Informatics, University of Edinburgh"," School of Informatics, University of Edinburgh",On stochastic optimal control and reinforcement learning by approximate inference (extended abstract)
19," The Mixed Reality Laboratory, University of Nottingham, UK"," The Mixed Reality Laboratory, University of Nottingham, UK",At home with agents: exploring attitudes towards future smart energy infrastructures
20," Department of Computer Science, University of Auckland, New Zealand"," Department of Computer Science, University of Auckland, New Zealand",Decision generalisation from game logs in no limit texas Hold'em
21," Department of Computer Science, University of Rochester, Rochester, NY"," Department of Computer Science, University of Rochester, Rochester, NY","Modeling the interplay of people's location, interactions, and social ties"
22," University of Potsdam, Potsdam, Germany"," University of Potsdam, Potsdam, Germany",Active evaluation of ranking functions based on graded relevance (extended abstract)
23, Delft University of Technology, Delft University of Technology,CLiMF: collaborative less-is-more filtering
24," NTT Communication Science Laboratories, NTT Corporation, Kyoto, Japan"," NTT Communication Science Laboratories, NTT Corporation, Kyoto, Japan",Statistical parsing with probabilistic symbol-refined tree substitution grammars
25, Yale University, Columbia University,Exact recovery of sparsely-used dictionaries
26," University of Bremen, Germany"," University of Bremen, Germany","The roboearth language: representing and exchanging knowledge about actions, objects, and environments (extended abstract)"
27," Department of Computer Sciences, University of Wisconsin-Madison, Madison, WI"," Department of Computer Sciences, University of Wisconsin-Madison, Madison, WI and Department of Electrical and Computer Engineering",Socioscope: spatio-temporal signal recovery from social media (extended abstract)
28," RMIT University, Melbourne, Australia"," RMIT University, Melbourne, Australia",Using strategic logics to reason about agent programs
29," University of Manitoba, Winnipeg, MB, Canada and JST, ERATO, Tokyo, Japan"," University of Calgary, Calgary, AB, Calgary",User-centered programming by demonstration: stylistic elements of behavior
